column,subsystem,domain_status,domain_mechanism,domain_direction_hypothesis,p_fdr_is_chip_primary,cliffs_delta_is_chip_primary,p_fdr_is_chip_broad,cliffs_delta_is_chip_broad,importance_mean_is_chip_primary,rank_is_chip_primary,importance_mean_is_chip_broad,rank_is_chip_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
CLN_Time,fdc_cleaning,not_related_to_defect,"세정 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관",not_applicable,0.719681507705198,0.2694582783311332,0.719681507705198,0.2694582783311332,0.007261197230347328,3,0.007261197230347328,3,1,0,2,insufficient_evidence
Coating_Uniformity,response,team_undetermined,"HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후)이 불확실, 팀 미확정",unknown,0.9473872315391509,-0.06251250050002,0.9473872315391509,-0.06251250050002,0.00016887406995770433,10,0.00016887406995770433,10,1,0,2,insufficient_evidence
Process_Time,fdc_motion,not_related_to_defect,"체류시간 계열 — Burn 전용 메커니즘, Chipping과 무관",not_applicable,0.9701131851101975,-0.028863654546181894,0.9701131851101975,-0.028863654546181894,0.0033167710480174724,6,0.0033167710480174724,6,1,0,2,insufficient_evidence
Cleaning_Load_Ratio,engineered,not_related_to_defect,"팀 공용 피처, 세정 계열 — Chipping과 무관",not_applicable,0.10440397056232296,-0.6786021440857635,0.10440397056232296,-0.6786021440857635,-0.014877832417370784,31,-0.014877832417370784,31,0,0,0,insufficient_evidence
CLN_Pressure,fdc_cleaning,not_related_to_defect,"세정 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관",not_applicable,0.14680633388367398,0.626035041401656,0.14680633388367398,0.626035041401656,-0.00010784909419911324,18,-0.00010784909419911324,18,0,0,0,insufficient_evidence
Cooling_Water_Temp,fdc_thermal,not_related_to_defect,"방열 계열 — Burn 전용 메커니즘, Chipping과 직접 연결고리 없음",not_applicable,0.34212970254848907,0.5071577863114525,0.34212970254848907,0.5071577863114525,-0.012544405784550046,29,-0.012544405784550046,29,0,0,0,insufficient_evidence
Power_Efficiency,fdc_laser,not_related_to_defect,"에너지 투입 계열 — Burn 전용 메커니즘, Chipping과 직접 연결고리 없음",not_applicable,0.4518719766471317,-0.453918156726269,0.4518719766471317,-0.453918156726269,-0.05440101741941231,34,-0.05440101741941231,34,0,0,0,insufficient_evidence
Cooling_Flow,fdc_thermal,not_related_to_defect,"방열 계열 — Burn 전용 메커니즘(열 축적), Chipping과 직접 연결고리 없음",not_applicable,0.4895193689879148,0.3798201928077123,0.4895193689879148,0.3798201928077123,-0.0761290912086589,36,-0.0761290912086589,36,0,0,0,insufficient_evidence
Vibration,fdc_mechanical,defect_related,기계적 불안정 — 스테이지 흔들림으로 나이프 자국 형태로 잘려나가는 대형 불량 원인 (HealthIndex 설계서 회의록 명시적 근거),up,0.5600704542873388,0.3412861514460579,0.5600704542873388,0.3412861514460579,-0.07474974473713283,35,-0.07474974473713283,35,0,0,0,insufficient_evidence
Cutting_Y_Index,fdc_motion,defect_related,정렬/센터링 — 위와 동일 이유,either,0.5600704542873388,0.3362359494379774,0.5600704542873388,0.3362359494379774,5.395645822529836e-05,12,5.395645822529836e-05,12,0,0,0,insufficient_evidence
Feed_Speed,fdc_motion,not_related_to_defect,"체류시간 계열 — Burn 전용 메커니즘(열축적), Chipping과 명시적 연결고리 없음",not_applicable,0.6111018555000817,-0.3105474218968759,0.6111018555000817,-0.3105474218968759,7.276393293581979e-05,11,7.276393293581979e-05,11,0,0,0,insufficient_evidence
Coating_Flow,fdc_cleaning,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관",not_applicable,0.7351131127611494,-0.24632485299411977,0.7351131127611494,-0.24632485299411977,-0.1294189838501519,39,-0.1294189838501519,39,0,0,0,insufficient_evidence
Cooling_Thermal_Load,engineered,not_related_to_defect,"팀 공용 피처, 방열 계열 — Burn 전용 메커니즘, Chipping과 무관",not_applicable,0.7351131127611494,0.24085463418536746,0.7351131127611494,0.24085463418536746,0.0,13,0.0,13,0,0,0,insufficient_evidence
Laser_Current,fdc_laser,team_undetermined,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,0.7351131127611494,-0.23547691907676305,0.7351131127611494,-0.23547691907676305,-0.012756515452538088,30,-0.012756515452538088,30,0,0,0,insufficient_evidence
Package_Size_4,response,defect_related,정렬 불량의 동반지표 — 위와 동일 이유,either,0.7846514799762998,0.19021010840433616,0.7846514799762998,0.19021010840433616,-0.083933925910371,37,-0.083933925910371,37,0,0,0,insufficient_evidence
Laser_Head_Remain_Time,fdc_cleaning,defect_related,헤드 노후 — 빔 품질 저하 시 Chipping 위험 증가 가능성(제 추론),down,0.7846514799762998,-0.18798501940077605,0.7846514799762998,-0.18798501940077605,0.0,13,0.0,13,0,0,0,insufficient_evidence
Focus,fdc_thermal,defect_related,빔 집속 — 헤드온도 변화 시 굴절률 변화로 센터링 불량·Chipping·Depth/Width 이상 발생 (HealthIndex 설계서 PDF 근거 명시),either,0.7846514799762998,-0.18131475259010366,0.7846514799762998,-0.18131475259010366,-0.0003319349928442817,22,-0.0003319349928442817,22,0,0,0,insufficient_evidence
Kerf_Angle,response,defect_related,정렬/센터링 — 절단면 수직도 이상이 모서리 파손과 연결될 가능성,either,0.7846514799762998,0.17966218648745946,0.7846514799762998,0.17966218648745946,-0.005257575934762933,28,-0.005257575934762933,28,0,0,0,insufficient_evidence
Package_Size_1,response,defect_related,정렬 불량의 동반지표 — 센터링이 틀어지면 다이 크기 불균형과 동시에 Chipping 위험 증가 가능성,either,0.7846514799762998,-0.17550702028081122,0.7846514799762998,-0.17550702028081122,-0.0005583655198190071,24,-0.0005583655198190071,24,0,0,0,insufficient_evidence
Frequency,fdc_motion,not_related_to_defect,"체류시간/열축적 계열 — Burn 전용 메커니즘, Chipping과 무관",not_applicable,0.8923553253836448,-0.13475039001560063,0.8923553253836448,-0.13475039001560063,-5.231562328739346e-06,16,-5.231562328739346e-06,16,0,0,0,insufficient_evidence
Beam_Diameter,fdc_laser,defect_related,"빔 품질 — 협소 시 Width 감소로 Chipping 증가, 과다 시 Width 증가로 Die 영역 침범·손상 (HealthIndex 설계서 B유형 명시적 근거)",either,0.8945568360395737,-0.124934997399896,0.8945568360395737,-0.124934997399896,-0.00027422104838367294,21,-0.00027422104838367294,21,0,0,0,insufficient_evidence
CLN_Flow,fdc_cleaning,not_related_to_defect,"세정 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관",not_applicable,0.9473872315391509,0.08241329653186136,0.9473872315391509,0.08241329653186136,-9.740892265731535e-05,17,-9.740892265731535e-05,17,0,0,0,insufficient_evidence
Surface_Roughness,response,defect_related,"결과 공변(동반증상 후보) — 모서리 파손 부위가 표면 거칠기를 높일 가능성, 원인 아닐 수 있음",up,0.9473872315391509,0.07112034481379248,0.9473872315391509,0.07112034481379248,-0.0002183693209255359,20,-0.0002183693209255359,20,0,0,0,insufficient_evidence
Cutting_X_Index,fdc_motion,defect_related,"정렬/센터링 — 목표 절단선 이탈이 모서리 파손 유발 가능성 (E유형, Chipping이 이 계열의 알려진 실패모드)",either,0.9473872315391509,-0.06819772790911638,0.9473872315391509,-0.06819772790911638,-0.0001827552516592471,19,-0.0001827552516592471,19,0,0,0,insufficient_evidence
Cutting_Offset,response,defect_related,정렬/센터링 — 위와 동일 이유,either,0.9473872315391509,-0.06555762230489215,0.9473872315391509,-0.06555762230489215,-0.018726208558116676,32,-0.018726208558116676,32,0,0,0,insufficient_evidence
Head_Temp,fdc_thermal,defect_related,방열 능력 — Focus 이상을 매개로 간접적으로 Chipping에 연결 (Focus 메커니즘의 상류 원인),up,0.9473872315391509,0.049961998479939096,0.9473872315391509,0.049961998479939096,-0.0008131690007990922,25,-0.0008131690007990922,25,0,0,0,insufficient_evidence
Package_Size_3,response,defect_related,정렬 불량의 동반지표 — 위와 동일 이유,either,0.9473872315391509,0.04559432377295103,0.9473872315391509,0.04559432377295103,-0.00037778305104276336,23,-0.00037778305104276336,23,0,0,0,insufficient_evidence
Coating_Thickness,response,team_undetermined,"HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후)이 불확실, 팀 미확정",unknown,0.9722965216498363,-0.01052542101684062,0.9722965216498363,-0.01052542101684062,-0.047829849855412505,33,-0.047829849855412505,33,0,0,0,insufficient_evidence
Laser_Centering_Position,fdc_laser,defect_related,정렬/센터링 — 빔 중심 이탈이 비대칭 절단·모서리 손상 유발 가능성,either,0.9722965216498363,-0.01002790111604468,0.9722965216498363,-0.01002790111604468,0.0,13,0.0,13,0,0,0,insufficient_evidence
