column,p_fdr_is_chip_broad,p_fdr_is_chip_primary,cliffs_delta_is_chip_broad,cliffs_delta_is_chip_primary,univariate_flag_is_chip_broad,univariate_flag_is_chip_primary,importance_mean_is_chip_broad,importance_mean_is_chip_primary,rank_is_chip_broad,rank_is_chip_primary,tree_flag_is_chip_broad,tree_flag_is_chip_primary,univariate_any_label,tree_any_label,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,domain_mechanism,domain_direction_hypothesis,has_domain_support,domain_status,subsystem,daeho_followup_status,verdict
Package_Size_3,0.0,0.0,0.5738754862694131,0.5738754862694131,True,True,0.004181111600336954,0.004181111600336954,11,11,False,False,True,False,1,2,0,정렬 불량 동반지표 — 위와 동일,either,True,defect_related,response,,candidate_weak_signal
Kerf_Angle,0.0,0.0,0.8245769191803862,0.8245769191803862,True,True,0.0009224276331186202,0.0009224276331186202,14,14,False,False,True,False,1,2,0,정렬/센터링 — 절단면 수직도 이상이 모서리 파손과 연결 가능,either,True,defect_related,response,,candidate_weak_signal
Cutting_Offset,0.0,0.0,0.6565883498843024,0.6565883498843024,True,True,0.0006476698396824225,0.0006476698396824225,15,15,False,False,True,False,1,2,0,정렬/센터링 — 위와 동일,either,True,defect_related,response,,candidate_weak_signal
Surface_Roughness,0.0,0.0,0.5033954129968765,0.5033954129968765,True,True,0.00029133345036917263,0.00029133345036917263,20,20,False,False,True,False,1,2,0,"결과 공변 — 모서리 파손이 거칠기를 높일 가능성, 원인 아닐 수 있음",up,True,defect_related,response,"검증1: 결과 공변 확정 — 선행신호 잔존율 7.5%. 원인 아님, 탐지지표로만",candidate_weak_signal
Package_Size_1,0.0,0.0,-0.647863183976382,-0.647863183976382,True,True,-0.00015151820833364898,-0.00015151820833364898,30,30,False,False,True,False,1,2,0,정렬 불량 동반지표 — 센터링 틀어짐 시 다이 크기 불균형 동반,either,True,defect_related,response,,candidate_weak_signal
Package_Size_2,0.0,0.0,-0.5788265610886542,-0.5788265610886542,True,True,-0.0007889170651955047,-0.0007889170651955047,36,36,False,False,True,False,1,2,0,정렬 불량 동반지표 — 위와 동일,either,True,defect_related,response,,candidate_weak_signal
Groove_Depth,0.0,0.0,-0.7992895408276921,-0.7992895408276921,True,True,-0.001337029851310767,-0.001337029851310767,38,38,False,False,True,False,1,2,0,가공 깊이 — Depth 부족 시 Low-k 미승화로 Blade 진입 시 Chipping (설계서 C유형 명시),down,True,defect_related,response,,candidate_weak_signal
Package_Size_4,0.0,0.0,0.6465914329418514,0.6465914329418514,True,True,-0.0015677230578036532,-0.0015677230578036532,40,40,False,False,True,False,1,2,0,정렬 불량 동반지표 — 위와 동일,either,True,defect_related,response,,candidate_weak_signal
Cleaning_Load_Ratio,0.0,0.0,-0.5111575232200509,-0.5111575232200509,True,True,0.0026673525342506186,0.0026673525342506186,12,12,False,False,True,False,1,2,0,"팀 공용 피처, 세정 계열 — Chipping과 무관",not_applicable,False,not_related_to_defect,engineered,검증3·4: 기각 — 비율 정의 4종 전부 무신호(최대 |delta| 0.012),insufficient_evidence
Process_Time,0.9771622711689021,0.9771622711689021,-0.0006760301377271016,-0.0006760301377271016,False,False,0.0012366236457994914,0.0012366236457994914,13,13,False,False,False,False,0,0,0,"체류시간 계열 — Burn 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
Cooling_Water_Temp,0.5527625680463661,0.5527625680463661,-0.003559199877781083,-0.003559199877781083,False,False,0.0006087318413844356,0.0006087318413844356,16,16,False,False,False,False,0,0,0,"방열 계열 — Burn 전용, Chipping과 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_thermal,,insufficient_evidence
Cutting_X_Index,0.7513665491584204,0.7513665491584204,-0.0022875441246033024,-0.0022875441246033024,False,False,0.0005899942875958001,0.0005899942875958001,17,17,False,False,False,False,0,0,0,정렬/센터링 — 목표 절단선 이탈이 모서리 파손 유발 (E유형),either,True,defect_related,fdc_motion,,insufficient_evidence
Feed_Speed,0.7186657826293873,0.7186657826293873,0.0025415623289291034,0.0025415623289291034,False,False,0.00041040356259810135,0.00041040356259810135,18,18,False,False,False,False,0,0,0,"체류시간 계열 — Burn 전용(열축적), Chipping과 명시적 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
Coating_Thickness,0.9966942280752407,0.9966942280752407,0.0001622966099688039,0.0001622966099688039,False,False,0.0003896596686437862,0.0003896596686437862,19,19,False,False,False,False,0,0,0,"설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실, 팀 미확정",unknown,False,team_undetermined,response,,insufficient_evidence
Laser_Current,0.038371727200331045,0.038371727200331045,0.009002046931653629,0.009002046931653629,False,False,0.0002212307506241314,0.0002212307506241314,21,21,False,False,False,False,0,0,0,"설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,False,team_undetermined,fdc_laser,,insufficient_evidence
Cooling_Flow,0.0,0.0,-0.49921495964290663,-0.49921495964290663,True,True,0.00016887614904435763,0.00016887614904435763,22,22,False,False,True,False,1,2,0,"방열 계열 — Burn 전용, Chipping과 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_thermal,,insufficient_evidence
Cooling_Thermal_Load,0.0,0.0,0.3256659258737542,0.3256659258737542,True,True,0.0001496030888331094,0.0001496030888331094,23,23,False,False,True,False,1,2,0,"팀 공용 피처, 방열 계열 — Burn 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,engineered,,insufficient_evidence
CLN_Pressure,0.9966942280752407,0.9966942280752407,1.640862525631448e-05,1.640862525631448e-05,False,False,0.000136415600895116,0.000136415600895116,24,24,False,False,False,False,0,0,0,"세정 계열 — Particle/Remain_Coat 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,"검증4: 기각 — particle 단독군 delta -0.002, REM_COAT 전용(-0.536)",insufficient_evidence
CLN_Flow,7.861175263316107e-246,7.861175263316107e-246,0.13268393202028372,0.13268393202028372,False,False,0.0001347940035412091,0.0001347940035412091,25,25,False,False,False,False,0,0,0,"세정 계열 — Particle/Remain_Coat 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,검증4: 기각 — particle 단독군 delta -0.005,insufficient_evidence
Cutting_Y_Index,0.9966942280752407,0.9966942280752407,0.0003400852621067152,0.0003400852621067152,False,False,0.00013302294269093017,0.00013302294269093017,26,26,False,False,False,False,0,0,0,정렬/센터링 — 위와 동일,either,True,defect_related,fdc_motion,,insufficient_evidence
Coating_Uniformity,0.9966942280752407,0.9966942280752407,-0.00013692353862593265,-0.00013692353862593265,False,False,-3.532884245676105e-05,-3.532884245676105e-05,27,27,False,False,False,False,0,0,0,"설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실, 팀 미확정",unknown,False,team_undetermined,response,,insufficient_evidence
Cleaning_Capacity,1.4690983968407853e-84,1.4690983968407853e-84,0.07727959574827548,0.07727959574827548,False,False,-4.605132774682108e-05,-4.605132774682108e-05,28,28,False,False,False,False,0,0,0,"팀 공용 피처, 세정 계열 — Chipping과 무관",not_applicable,False,not_related_to_defect,engineered,검증4: 기각 — particle 단독군 delta -0.004,insufficient_evidence
Maintenance_Count,0.8498525608937,0.8498525608937,-0.0016323481368892834,-0.0016323481368892834,False,False,-0.00010700580177587977,-0.00010700580177587977,29,29,False,False,False,False,0,0,0,정비 이력 프록시 (김시우 decision_note가 Goal2 확인 가치 명시),either,True,defect_related,engineered,,insufficient_evidence
Frequency,0.4725754471435636,0.4725754471435636,-0.004144238205734507,-0.004144238205734507,False,False,-0.0002967916981747143,-0.0002967916981747143,31,31,False,False,False,False,0,0,0,"체류시간/열축적 계열 — Burn 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
Coating_Flow,0.7678126440830517,0.7678126440830517,-0.002105018460026864,-0.002105018460026864,False,False,-0.0004670382024850817,-0.0004670382024850817,32,32,False,False,False,False,0,0,0,"세정/코팅 계열 — Particle/Remain_Coat 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,,insufficient_evidence
Beam_Diameter,0.9771622711689021,0.9771622711689021,0.0006006701161065386,0.0006006701161065386,False,False,-0.0004940249373771059,-0.0004940249373771059,33,33,False,False,False,False,0,0,0,"빔 품질 — 협소 시 Width 감소로 Chipping 증가, 과다 시 Die 영역 침범 (설계서 B유형 명시)",either,True,defect_related,fdc_laser,,insufficient_evidence
Alignment_Time,0.5527625680463661,0.5527625680463661,-0.0035272888588013807,-0.0035272888588013807,False,False,-0.0005851953257511792,-0.0005851953257511792,34,34,False,False,False,False,0,0,0,"체류시간 계열 — Burn 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
CLN_Time,0.9771622711689021,0.9771622711689021,-0.0009035314239518311,-0.0009035314239518311,False,False,-0.0006807782593420519,-0.0006807782593420519,35,35,False,False,False,False,0,0,0,"세정 계열 — Particle/Remain_Coat 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,,insufficient_evidence
Laser_Voltage,0.9771622711689021,0.9771622711689021,0.0007425748697491574,0.0007425748697491574,False,False,-0.001036927243836409,-0.001036927243836409,37,37,False,False,False,False,0,0,0,"설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,False,team_undetermined,fdc_laser,,insufficient_evidence
Laser_Head_Remain_Time,0.5639569636595135,0.5639569636595135,-0.0033702414279498383,-0.0033702414279498383,False,False,-0.0015570831531472873,-0.0015570831531472873,39,39,False,False,False,False,0,0,0,헤드 노후 — 빔 품질 저하 시 Chipping 위험 증가 (추론),down,True,defect_related,fdc_cleaning,,insufficient_evidence
