dataset,variant,column,n_group,n_rest,cliffs_delta,p_value,note
original,A_jh_primary_vs_rest,Kerf_Width_Profile,4,99996,0.9998,0.0005332572262545719,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Top_Kerf,4,99996,0.909,0.00164028128398376,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Bottom_Kerf,4,99996,0.9446,0.0010673511955514377,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Kerf_Angle,4,99996,0.1714,0.5526753433254984,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Groove_Depth,4,99996,-0.834,0.0038635181170508007,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Package_Size_1,4,99996,-0.169,0.5583259483421916,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Package_Size_2,4,99996,0.4005,0.16530840377907352,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Package_Size_3,4,99996,0.0493,0.8645374402314855,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Package_Size_4,4,99996,0.1907,0.5088651308358161,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Coating_Thickness,4,99996,0.0022,0.9940436468390963,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Coating_Uniformity,4,99996,-0.0603,0.8346029206258003,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cutting_Offset,4,99996,-0.0663,0.8183657702986209,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Surface_Roughness,4,99996,0.0691,0.8109305083355642,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cooling_Thermal_Load,4,99996,0.2439,0.3981095425840451,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Laser_Cleaning_Demand,4,99996,-0.9827,0.0006640078939820458,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cleaning_Capacity,4,99996,0.4398,0.12762281025473696,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cleaning_Load_Ratio,4,99996,-0.6781,0.018824820920317776,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Maintenance_Count,4,99996,0.1551,0.5906502067765206,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,B_jun_pure_vs_notpure,Laser_Power,3,99997,-0.976,0.0034108441546761674,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Power_Efficiency,3,99997,-0.3323,0.3188858765018626,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Laser_Centering_Position,3,99997,-0.0209,0.9500208232107008,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Laser_Current,3,99997,-0.4998,0.133810045770011,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Laser_Voltage,3,99997,-0.2391,0.4731784066700204,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Beam_Diameter,3,99997,-0.0571,0.8639943958394648,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Feed_Speed,3,99997,-0.636,0.05640426123222715,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Frequency,3,99997,-0.3409,0.3064023097516869,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Alignment_Time,3,99997,-0.8453,0.011216663770023746,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Process_Time,3,99997,-0.2141,0.5207391272319613,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Cutting_X_Index,3,99997,-0.0787,0.8134618779517787,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Cutting_Y_Index,3,99997,0.2758,0.4079830276706463,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Head_Temp,3,99997,0.2032,0.5420896417387473,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Cooling_Flow,3,99997,0.2892,0.38561949688805097,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Cooling_Water_Temp,3,99997,0.6755,0.0427340235014623,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Focus,3,99997,-0.1092,0.7433023881806893,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,CLN_Flow,3,99997,-0.0133,0.9681645327504095,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,CLN_Pressure,3,99997,0.7224,0.030230914413911725,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,CLN_Time,3,99997,0.2753,0.40880507826758583,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Coating_Flow,3,99997,-0.0061,0.985327583214549,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Laser_Head_Remain_Time,3,99997,-0.2435,0.46509236994535896,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Vibration,3,99997,0.3392,0.30893931850754863,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Kerf_Width_Profile,3,99997,0.9999,0.002703254951996537,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Top_Kerf,3,99997,0.9028,0.006763149193039815,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Bottom_Kerf,3,99997,0.9702,0.003608635460501986,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Kerf_Angle,3,99997,0.5126,0.12407661450615863,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Groove_Depth,3,99997,-0.7948,0.01711332789910511,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Package_Size_1,3,99997,-0.1157,0.7284682981826931,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Package_Size_2,3,99997,0.3382,0.3103439275646389,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Package_Size_3,3,99997,-0.1085,0.7448150834605769,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Package_Size_4,3,99997,0.2166,0.515907415133499,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Coating_Thickness,3,99997,-0.2638,0.4286418258828576,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Coating_Uniformity,3,99997,0.2517,0.45026244980911334,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Cutting_Offset,3,99997,0.0542,0.8708793516920084,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Surface_Roughness,3,99997,0.1284,0.7002049265148829,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Cooling_Thermal_Load,3,99997,0.4534,0.17376233931707707,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Laser_Cleaning_Demand,3,99997,-0.9789,0.0033195020170993413,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Cleaning_Capacity,3,99997,0.4471,0.1798576647132838,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Cleaning_Load_Ratio,3,99997,-0.6659,0.04573834969867882,승준님 방법 G — unified_full_methodology.py:253
original,B_jun_pure_vs_notpure,Maintenance_Count,3,99997,0.4702,0.1579459279320925,승준님 방법 G — unified_full_methodology.py:253
original,C_keep_pure_vs_clean,Laser_Power,3,91176,-0.9759,0.0034157307939114085,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Power_Efficiency,3,91176,-0.3339,0.3165573946821679,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Laser_Centering_Position,3,91176,-0.0209,0.94996051017082,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Laser_Current,3,91176,-0.5003,0.1334099301285461,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Laser_Voltage,3,91176,-0.2394,0.47258690968563677,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Beam_Diameter,3,91176,-0.0574,0.86339110597623,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Feed_Speed,3,91176,-0.6354,0.05662782333975631,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Frequency,3,91176,-0.3432,0.3031507860660846,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Alignment_Time,3,91176,-0.8443,0.011310111088892332,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Process_Time,3,91176,-0.2138,0.5213737160612877,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Cutting_X_Index,3,91176,-0.0785,0.8138668028382063,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Cutting_Y_Index,3,91176,0.2756,0.4084186399527139,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Head_Temp,3,91176,0.2037,0.5410526156902975,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Cooling_Flow,3,91176,0.288,0.3876347874509227,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Cooling_Water_Temp,3,91176,0.6749,0.04291744708037182,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Focus,3,91176,-0.1089,0.7438686863360024,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,CLN_Flow,3,91176,-0.017,0.9593873429406491,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,CLN_Pressure,3,91176,0.7184,0.031162340535963732,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,CLN_Time,3,91176,0.2749,0.4096010801788451,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Coating_Flow,3,91176,-0.0058,0.9862268537774067,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Laser_Head_Remain_Time,3,91176,-0.2442,0.4638827483575756,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Vibration,3,91176,0.3508,0.29267002197310776,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Kerf_Width_Profile,3,91176,0.9999,0.0027032004694861936,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Top_Kerf,3,91176,0.9037,0.006706855216834762,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Bottom_Kerf,3,91176,0.9703,0.003605796409980023,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Kerf_Angle,3,91176,0.5124,0.12427336879862935,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Groove_Depth,3,91176,-0.7944,0.017158985931960875,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Package_Size_1,3,91176,-0.1159,0.7281607623966776,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Package_Size_2,3,91176,0.3384,0.31003590147069615,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Package_Size_3,3,91176,-0.1089,0.7438435301477617,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Package_Size_4,3,91176,0.2175,0.5140971238035851,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Coating_Thickness,3,91176,-0.2721,0.41442014940313077,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Coating_Uniformity,3,91176,0.2512,0.45115361266756815,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Cutting_Offset,3,91176,0.0545,0.8701472491712829,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Surface_Roughness,3,91176,0.1685,0.6132190872296995,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Cooling_Thermal_Load,3,91176,0.4534,0.1737434505374007,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Laser_Cleaning_Demand,3,91176,-0.9787,0.003325402492870603,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Cleaning_Capacity,3,91176,0.4424,0.18445138826805396,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Cleaning_Load_Ratio,3,91176,-0.6626,0.046841857573883476,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,C_keep_pure_vs_clean,Maintenance_Count,3,91176,0.4685,0.15939382189623885,keep 마스크 보정 — 다른 defect 있는 행 제외 (:498의 keep)
original,D_primary_vs_ok_only,Laser_Power,4,90783,-0.979,0.0006959614516466676,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Power_Efficiency,4,90783,-0.4468,0.1216933664459835,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Laser_Centering_Position,4,90783,-0.0119,0.9672505145985506,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Laser_Current,4,90783,-0.24,0.40571918573420973,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Laser_Voltage,4,90783,-0.4112,0.15434159738300482,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Beam_Diameter,4,90783,-0.1194,0.679255918831507,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Feed_Speed,4,90783,-0.3149,0.2754013525594643,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Frequency,4,90783,-0.1285,0.6563361556892294,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Alignment_Time,4,90783,-0.3987,0.1672593647166173,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Process_Time,4,90783,-0.0375,0.8965279917574938,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Cutting_X_Index,4,90783,-0.0709,0.8060233802038141,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Cutting_Y_Index,4,90783,0.335,0.24580760965887916,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Head_Temp,4,90783,0.0425,0.8828385283227645,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Cooling_Flow,4,90783,0.3699,0.20009416991842766,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Cooling_Water_Temp,4,90783,0.5045,0.08051847624711325,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Focus,4,90783,-0.1809,0.530868420972465,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,CLN_Flow,4,90783,0.0779,0.7873664285015668,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,CLN_Pressure,4,90783,0.6183,0.03220960606613006,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,CLN_Time,4,90783,0.2743,0.34200835271801966,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Coating_Flow,4,90783,-0.2526,0.38154435945289267,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Laser_Head_Remain_Time,4,90783,-0.1926,0.5045994289713139,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Vibration,4,90783,0.3581,0.21485291581168098,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Kerf_Width_Profile,4,90783,0.9998,0.0005332709450517801,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Top_Kerf,4,90783,0.9104,0.0016120195803711913,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Bottom_Kerf,4,90783,0.9451,0.0010613915914163012,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Kerf_Angle,4,90783,0.171,0.5537125820959274,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Groove_Depth,4,90783,-0.8337,0.003877966467659983,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Package_Size_1,4,90783,-0.1691,0.558012501517849,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Package_Size_2,4,90783,0.4012,0.1646178782884108,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Package_Size_3,4,90783,0.0489,0.8656035228665447,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Package_Size_4,4,90783,0.1917,0.5067337887008094,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Coating_Thickness,4,90783,-0.0049,0.9864679018683784,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Coating_Uniformity,4,90783,-0.0609,0.8328064617409188,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Cutting_Offset,4,90783,-0.066,0.8191290550773778,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Surface_Roughness,4,90783,0.1159,0.6879696825847648,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Cooling_Thermal_Load,4,90783,0.2441,0.39781480605669584,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Laser_Cleaning_Demand,4,90783,-0.9825,0.0006655659434918138,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Cleaning_Capacity,4,90783,0.4347,0.13212369911459534,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Cleaning_Load_Ratio,4,90783,-0.6746,0.019453505249399938,대호님 규약 — 정상군 = NG_Code=='OK'
original,D_primary_vs_ok_only,Maintenance_Count,4,90783,0.1537,0.5941298956407962,대호님 규약 — 정상군 = NG_Code=='OK'
r1,A_jh_primary_vs_rest,Laser_Power,24171,75829,-0.9071,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Power_Efficiency,24171,75829,-0.9246,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Laser_Centering_Position,24171,75829,0.6478,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Laser_Current,24171,75829,0.0111,0.009391032887597567,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Laser_Voltage,24171,75829,0.0039,0.3595243240346282,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Beam_Diameter,24171,75829,0.0014,0.7419058330129389,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Feed_Speed,24171,75829,0.0018,0.6743373291761972,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Frequency,24171,75829,-0.0031,0.4719097700903002,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Alignment_Time,24171,75829,-0.0056,0.1883995428555314,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Process_Time,24171,75829,0.0002,0.971580053896204,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Cutting_X_Index,24171,75829,-0.0043,0.3104163603212591,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Cutting_Y_Index,24171,75829,-0.0025,0.5510844320330246,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Head_Temp,24171,75829,0.8665,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Cooling_Flow,24171,75829,-0.4623,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Cooling_Water_Temp,24171,75829,-0.0055,0.19486185035089765,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Focus,24171,75829,0.8721,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,CLN_Flow,24171,75829,0.1559,1.1998552285378222e-292,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,CLN_Pressure,24171,75829,-0.0002,0.9611279368938588,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,CLN_Time,24171,75829,0.0003,0.9511650226558344,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Coating_Flow,24171,75829,-0.0016,0.7095651131388172,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Laser_Head_Remain_Time,24171,75829,-0.0032,0.45424825970707705,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Vibration,24171,75829,0.8694,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Kerf_Width_Profile,24171,75829,0.96,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
r1,A_jh_primary_vs_rest,Top_Kerf,24171,75829,0.9537,0.0,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
