defect,factor,threshold_z,threshold_raw_approx,risky_direction,defect_rate_safe_pct,defect_rate_risky_pct,risk_ratio,n_safe,n_risky,source,note,current_status,usable_for_alert
Chipping,Frequency,1.767,,low_is_risky,7.206,5.677,1.27,167453,7064,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Alignment_Time,2.2312,,high_is_risky,7.123,8.732,1.23,172238,2279,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Coating_Flow,2.4704,,low_is_risky,7.152,5.914,1.21,173384,1133,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Coating_Thickness,-1.9187,,high_is_risky,6.326,7.164,1.13,4031,170486,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Feed_Speed,-1.9353,,low_is_risky,7.982,7.122,1.12,4573,169944,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Laser_Head_Remain_Time,1.2876,,high_is_risky,7.126,7.917,1.11,170513,4004,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Maintenance_Count,-1.1446,,low_is_risky,7.635,7.101,1.08,14015,160502,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Laser_Current,0.6948,,high_is_risky,7.033,7.49,1.06,131898,42619,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Cutting_Y_Index,0.2475,,low_is_risky,7.266,6.964,1.04,104217,70300,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Cutting_X_Index,0.1726,,low_is_risky,7.217,7.049,1.02,99127,75390,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Surface_Roughness,-0.0683,,high_is_risky,0.188,5.092,27.07,71768,93987,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Micro_Crack,Surface_Roughness,1.5261,0.62946,high_is_risky,2.282,9.69,4.25,173570,26430,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_monitor,True
Micro_Crack,Process_Time,-1.9829,,high_is_risky,2.132,2.989,1.4,3940,161815,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Micro_Crack,CLN_Flow,-7.0253,,low_is_risky,9.146,2.772,3.3,5128,160627,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Micro_Crack,Cleaning_Load_Ratio,3.1061,,high_is_risky,2.895,9.257,3.2,163843,1912,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Micro_Crack,Cleaning_Capacity,-2.6461,,low_is_risky,8.585,2.885,2.98,2446,163309,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Package_Size_2,-3.6365,,high_is_risky,1.221,2.978,2.44,901,164854,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Micro_Crack,Cooling_Flow,-2.0133,,low_is_risky,5.117,2.883,1.77,6391,159364,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Vibration,1.0027,,high_is_risky,2.592,4.311,1.66,129456,36299,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Vibration,0.0593,0.15591,high_is_risky,2.512,3.842,1.53,87384,112616,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,insufficient,False
Micro_Crack,Cooling_Flow,-2.7474,9.71394,low_is_risky,4.888,3.237,1.51,2864,197136,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,insufficient,False
Micro_Crack,Cooling_Thermal_Load,2.655,2.30122,high_is_risky,3.247,4.843,1.49,198245,1755,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,insufficient,False
Micro_Crack,Coating_Thickness,-2.0176,,high_is_risky,1.997,2.986,1.49,2804,162951,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Package_Size_Asymmetry,5.3134,,low_is_risky,3.003,2.054,1.46,159768,5987,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Micro_Crack,Cooling_Water_Temp,2.8319,22.8501,high_is_risky,3.258,4.656,1.43,199506,494,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,insufficient,False
Micro_Crack,Package_Size_4,3.1559,,low_is_risky,3.001,2.095,1.43,159883,5872,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Micro_Crack,Package_Size_3,2.4638,,low_is_risky,2.991,2.142,1.4,161506,4249,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Micro_Crack,Package_Size_1,-3.2725,,high_is_risky,2.174,2.997,1.38,5658,160097,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Micro_Crack,Cooling_Thermal_Load,1.6344,,high_is_risky,2.907,3.91,1.34,155575,10180,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Maintenance_Count,-1.1017,,high_is_risky,2.564,3.004,1.17,13337,152418,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Feed_Speed,1.3701,251.08891,high_is_risky,3.222,3.67,1.14,182780,17220,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,insufficient,False
Micro_Crack,Coating_Flow,-1.9049,,low_is_risky,3.36,2.957,1.14,4732,161023,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Cutting_X_Index,-1.2888,,high_is_risky,2.66,3.003,1.13,16317,149438,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Micro_Crack,Alignment_Time,0.3803,,high_is_risky,2.847,3.193,1.12,107445,58310,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Micro_Crack,CLN_Pressure,-0.7071,,high_is_risky,2.726,3.044,1.12,39355,126400,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Micro_Crack,Cutting_Y_Index,0.9872,,low_is_risky,3.016,2.723,1.11,139093,26662,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Micro_Crack,Cooling_Water_Temp,-0.6216,,low_is_risky,3.142,2.906,1.08,44399,121356,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,Coating_Uniformity,-1.2008,,low_is_risky,3.143,2.944,1.07,20967,144788,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Micro_Crack,CLN_Time,0.8604,,low_is_risky,2.999,2.843,1.05,133330,32425,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Particle,Surface_Roughness,0.5721,,high_is_risky,0.118,17.066,144.76,111120,60593,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Particle,Top_Kerf,10.4703,,low_is_risky,6.153,3.16,1.95,168580,3133,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Particle,Bottom_Kerf,11.0924,,low_is_risky,6.163,3.226,1.91,167962,3751,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Particle,Kerf_Width_Profile,8.9762,,low_is_risky,6.161,3.235,1.9,168035,3678,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Particle,Vibration,0.0374,,high_is_risky,4.32,7.749,1.79,82643,89070,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_cause,True
Particle,CLN_Flow,-16.5469,,high_is_risky,4.732,6.109,1.29,1268,170445,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Particle,Cleaning_Load_Ratio,-1.897,,high_is_risky,4.926,6.128,1.24,4202,167511,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Particle,CLN_Pressure,-1.0908,,high_is_risky,5.649,6.171,1.09,23916,147797,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Particle,Cleaning_Capacity,1.0531,,low_is_risky,6.157,5.739,1.07,147599,24114,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Particle,Laser_Centering_Position,6.3487,,low_is_risky,6.163,3.209,1.92,167974,3739,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Package_Size_Asymmetry,6.3086,,low_is_risky,6.157,3.258,1.89,168275,3438,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Power_Efficiency,-10.552,,high_is_risky,3.31,6.162,1.86,3807,167906,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Laser_Power,-4.6128,,high_is_risky,3.341,6.162,1.84,3891,167822,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Particle,Package_Size_1,-3.1264,,high_is_risky,3.364,6.161,1.83,3835,167878,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Laser_Cleaning_Demand,-3.8336,,high_is_risky,3.374,6.166,1.83,4149,167564,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Package_Size_4,3.4408,,low_is_risky,6.154,3.363,1.83,168323,3390,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Groove_Depth,-3.0851,,high_is_risky,3.627,6.15,1.7,3474,168239,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Process_Time,2.7775,,low_is_risky,6.104,3.73,1.64,171284,429,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Package_Size_2,-2.4638,,high_is_risky,3.88,6.142,1.58,3299,168414,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Feed_Speed,-2.7198,,low_is_risky,9.122,6.088,1.5,581,171132,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Kerf_Angle,4.4264,,high_is_risky,6.034,8.975,1.49,167936,3777,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Cooling_Thermal_Load,-2.786,,low_is_risky,8.929,6.092,1.47,392,171321,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Head_Temp,7.566,,high_is_risky,6.025,8.719,1.45,167045,4668,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Frequency,-1.224,,low_is_risky,8.095,5.837,1.39,19877,151836,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Cooling_Water_Temp,-2.6499,,low_is_risky,8.424,6.089,1.38,736,170977,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Package_Size_3,2.1593,,low_is_risky,6.147,4.492,1.37,166726,4987,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Coating_Thickness,-1.9872,,high_is_risky,4.672,6.131,1.31,3831,167882,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Coating_Uniformity,-2.2587,,high_is_risky,5.036,6.119,1.22,3197,168516,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Laser_Head_Remain_Time,1.3109,,low_is_risky,6.113,5.147,1.19,169129,2584,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Cutting_X_Index,1.6892,,low_is_risky,6.132,5.393,1.14,163907,7806,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Beam_Diameter,2.0033,,high_is_risky,6.084,6.707,1.1,167717,3996,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Alignment_Time,-1.3006,,high_is_risky,5.631,6.149,1.09,16692,155021,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Cooling_Flow,-0.3473,,low_is_risky,6.377,5.932,1.08,64290,107423,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Laser_Voltage,1.226,,low_is_risky,6.145,5.722,1.07,152961,18752,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Laser_Current,1.0386,,low_is_risky,6.156,5.771,1.07,146135,25578,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,Cutting_Y_Index,-1.1293,,low_is_risky,6.484,6.041,1.07,22410,149303,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Particle,CLN_Time,1.1168,,low_is_risky,6.154,5.741,1.07,148789,22924,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Particle,Coating_Flow,-0.5562,,high_is_risky,5.897,6.181,1.05,49639,122074,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Particle,Maintenance_Count,0.932,,low_is_risky,6.152,5.838,1.05,142354,29359,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,CLN_Flow,-5.0565,,low_is_risky,20.504,0.945,21.7,10388,149728,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Remain_Coat,CLN_Pressure,-1.5343,,low_is_risky,9.756,1.656,5.89,11039,149077,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_cause,True
Remain_Coat,CLN_Time,2.8744,,low_is_risky,2.219,0.0,22185645.98,159788,328,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Remain_Coat,Cleaning_Load_Ratio,1.9863,,high_is_risky,1.443,13.407,9.29,149793,10323,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Remain_Coat,Cleaning_Capacity,-1.8059,,low_is_risky,12.932,1.411,9.17,11166,148950,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,rejected,False
Remain_Coat,Coating_Thickness,-2.044,,low_is_risky,14.629,1.92,7.62,3705,156411,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Coating_Uniformity,-3.2332,,low_is_risky,15.452,2.186,7.07,343,159773,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Remain_Coat,Package_Size_1,-2.8503,,high_is_risky,0.693,2.226,3.21,1298,158818,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Head_Temp,2.4616,,low_is_risky,2.279,0.72,3.17,153445,6671,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Kerf_Width_Profile,2.1502,,low_is_risky,2.285,0.848,2.7,152211,7905,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Vibration,0.7493,,high_is_risky,1.627,3.949,2.43,119647,40469,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Package_Size_4,2.7979,,low_is_risky,2.225,0.959,2.32,158760,1356,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Bottom_Kerf,1.7612,,low_is_risky,2.31,1.008,2.29,148310,11806,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Power_Efficiency,-2.1296,,high_is_risky,1.003,2.267,2.26,6683,153433,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Top_Kerf,1.6935,,low_is_risky,2.306,1.099,2.1,147924,12192,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Coating_Flow,2.5231,,high_is_risky,2.202,4.269,1.94,159179,937,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Kerf_Angle,1.9613,,low_is_risky,2.266,1.173,1.93,152529,7587,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Laser_Cleaning_Demand,-1.3069,,high_is_risky,1.368,2.312,1.69,16665,143451,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Alignment_Time,2.1764,,high_is_risky,2.196,3.375,1.54,157716,2400,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Laser_Centering_Position,1.7584,,low_is_risky,2.251,1.487,1.51,152381,7735,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Cutting_X_Index,2.0652,,high_is_risky,2.197,3.077,1.4,157029,3087,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Remain_Coat,Cooling_Flow,-1.2945,,high_is_risky,1.658,2.278,1.37,16410,143706,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Laser_Power,-0.217,,high_is_risky,1.909,2.428,1.27,66064,94052,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Surface_Roughness,-0.9621,,high_is_risky,1.808,2.295,1.27,26544,133572,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Remain_Coat,Package_Size_Asymmetry,1.6278,,low_is_risky,2.253,1.786,1.26,146791,13325,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Maintenance_Count,1.2441,,low_is_risky,2.224,1.773,1.25,156619,3497,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Cutting_Y_Index,-1.1634,,high_is_risky,1.833,2.267,1.24,19589,140527,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Cooling_Water_Temp,1.6625,,low_is_risky,2.235,1.799,1.24,152335,7781,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Groove_Depth,-0.563,,high_is_risky,1.928,2.329,1.21,46047,114069,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Frequency,1.1637,,low_is_risky,2.259,1.892,1.19,140349,19767,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Process_Time,1.7909,,high_is_risky,2.2,2.586,1.18,154432,5684,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Laser_Current,1.2311,,low_is_risky,2.251,1.917,1.17,142588,17528,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Package_Size_3,1.0961,,low_is_risky,2.254,1.966,1.15,137944,22172,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Cooling_Thermal_Load,0.1944,,low_is_risky,2.326,2.061,1.13,92391,67725,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Laser_Voltage,0.5778,,low_is_risky,2.288,2.025,1.13,115267,44849,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Laser_Head_Remain_Time,0.8714,,low_is_risky,2.258,2.01,1.12,131859,28257,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Feed_Speed,0.8345,,low_is_risky,2.256,2.051,1.1,127344,32772,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Package_Size_2,-0.0196,,high_is_risky,2.103,2.321,1.1,78639,81477,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Remain_Coat,Beam_Diameter,-0.0684,,low_is_risky,2.293,2.144,1.07,75632,84484,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
