target,case_rank,Lot_ID,Strip_ID,Machine_ID,Product_ID,Recipe_ID,source_dataset,predicted_risk,actual_defect,contrib_rank,factor,shap_value,factor_zscore,factor_raw,interpretation
Micro_Crack,1,LOT002059,STRIP678112,DP04,PKG_C,RCP_9,r1,0.8917,0,1,CLN_Flow,0.56194,-17.065,8.978,위험을 높임
Micro_Crack,1,LOT002059,STRIP678112,DP04,PKG_C,RCP_9,r1,0.8917,0,2,Vibration,0.2943,1.967,0.1986,위험을 높임
Micro_Crack,1,LOT002059,STRIP678112,DP04,PKG_C,RCP_9,r1,0.8917,0,3,Cooling_Water_Temp,0.18905,0.917,22.278,위험을 높임
Micro_Crack,1,LOT002059,STRIP678112,DP04,PKG_C,RCP_9,r1,0.8917,0,4,Process_Time,-0.15232,-0.347,4.965,위험을 낮춤
Micro_Crack,1,LOT002059,STRIP678112,DP04,PKG_C,RCP_9,r1,0.8917,0,5,Coating_Flow,0.08859,0.937,50.447,위험을 높임
Micro_Crack,2,LOT002579,STRIP36742,DP04,PKG_A,RCP_9,r1,0.8895,1,1,CLN_Flow,0.34889,-16.101,9.06,위험을 높임
Micro_Crack,2,LOT002579,STRIP36742,DP04,PKG_A,RCP_9,r1,0.8895,1,2,Cutting_X_Index,0.25421,-1.184,-0.583,위험을 높임
Micro_Crack,2,LOT002579,STRIP36742,DP04,PKG_A,RCP_9,r1,0.8895,1,3,Vibration,0.2221,1.118,0.1792,위험을 높임
Micro_Crack,2,LOT002579,STRIP36742,DP04,PKG_A,RCP_9,r1,0.8895,1,4,Cooling_Thermal_Load,0.21193,0.81,2.23305,위험을 높임
Micro_Crack,2,LOT002579,STRIP36742,DP04,PKG_A,RCP_9,r1,0.8895,1,5,Alignment_Time,0.20271,1.294,0.4253,위험을 높임
Micro_Crack,3,LOT003568,STRIP995262,DP04,PKG_C,RCP_2,r1,0.8846,0,1,Vibration,0.42932,2.832,0.2167,위험을 높임
Micro_Crack,3,LOT003568,STRIP995262,DP04,PKG_C,RCP_2,r1,0.8846,0,2,CLN_Flow,0.40443,-12.849,9.229,위험을 높임
Micro_Crack,3,LOT003568,STRIP995262,DP04,PKG_C,RCP_2,r1,0.8846,0,3,Process_Time,-0.11695,1.041,5.109,위험을 낮춤
Micro_Crack,3,LOT003568,STRIP995262,DP04,PKG_C,RCP_2,r1,0.8846,0,4,Alignment_Time,0.11287,-0.679,0.3863,위험을 높임
Micro_Crack,3,LOT003568,STRIP995262,DP04,PKG_C,RCP_2,r1,0.8846,0,5,Cooling_Flow,0.10211,1.677,10.17,위험을 높임
Micro_Crack,4,LOT008637,STRIP681292,DP04,PKG_B,RCP_6,r1,0.8775,0,1,Vibration,0.43492,2.764,0.2169,위험을 높임
Micro_Crack,4,LOT008637,STRIP681292,DP04,PKG_B,RCP_6,r1,0.8775,0,2,CLN_Flow,0.41693,-16.119,9.059,위험을 높임
Micro_Crack,4,LOT008637,STRIP681292,DP04,PKG_B,RCP_6,r1,0.8775,0,3,Feed_Speed,-0.14641,-0.217,249.842,위험을 낮춤
Micro_Crack,4,LOT008637,STRIP681292,DP04,PKG_B,RCP_6,r1,0.8775,0,4,Cutting_X_Index,0.12304,-1.186,-0.605,위험을 높임
Micro_Crack,4,LOT008637,STRIP681292,DP04,PKG_B,RCP_6,r1,0.8775,0,5,Process_Time,0.08419,-1.002,4.898,위험을 높임
Micro_Crack,5,LOT006580,STRIP893431,DP04,PKG_F,RCP_7,r1,0.8769,0,1,Vibration,0.25795,0.683,0.1692,위험을 높임
Micro_Crack,5,LOT006580,STRIP893431,DP04,PKG_F,RCP_7,r1,0.8769,0,2,Feed_Speed,0.21309,-1.737,248.61,위험을 높임
Micro_Crack,5,LOT006580,STRIP893431,DP04,PKG_F,RCP_7,r1,0.8769,0,3,Cutting_X_Index,0.15389,-1.706,-0.842,위험을 높임
Micro_Crack,5,LOT006580,STRIP893431,DP04,PKG_F,RCP_7,r1,0.8769,0,4,Cooling_Flow,0.11617,0.154,10.012,위험을 높임
Micro_Crack,5,LOT006580,STRIP893431,DP04,PKG_F,RCP_7,r1,0.8769,0,5,Coating_Flow,-0.09693,-0.679,49.658,위험을 낮춤
