defect,column,layer,subsystem,domain_status,domain_mechanism,direction_hypothesis,delta_pure,p_fdr_pure,flag_univariate,flag_nonlinear,flag_rf,flag_machine_controlled,flag_shap,shap_mean_abs,n_methods_agree,temporal_status,reproducibility,delta_original,delta_r1,tier
Chipping,Cutting_X_Index,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0012,8.902e-01,False,False,False,False,False,0.07936,0,미검사,direction_only,-0.0768689727358487,-0.0026691582263432823,insufficient_evidence
Chipping,Cutting_Y_Index,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0087,1.698e-01,False,False,False,False,False,0.07602,0,미검사,not_reproduced,0.2766082982489475,-0.011860476598999914,insufficient_evidence
Chipping,Cooling_Water_Temp,FDC,fdc_thermal,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0014,8.803e-01,False,False,False,False,False,0.06112,0,미검사,not_reproduced,0.6829404882146464,-0.003382773874577194,insufficient_evidence
Chipping,CLN_Pressure,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0059,3.915e-01,False,False,False,False,False,0.07815,0,미검사,direction_only,0.7229016870506115,0.006269904621957201,insufficient_evidence
Chipping,CLN_Time,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0016,8.803e-01,False,False,False,False,False,0.0676,0,미검사,direction_only,0.2708114576770637,0.00272647894598399,insufficient_evidence
Chipping,Coating_Flow,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0003,9.538e-01,False,False,False,False,False,0.06626,0,미검사,direction_only,0.0025234090356043293,0.0010020998763407007,insufficient_evidence
Chipping,Laser_Head_Remain_Time,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0016,8.803e-01,False,False,False,False,False,0.05839,0,미검사,direction_only,-0.24813744412332372,-0.0012967987981015172,insufficient_evidence
Chipping,Coating_Thickness,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0084,1.830e-01,False,False,False,False,False,,0,미검사,not_reproduced,-0.27986506261854527,0.006792775640875437,insufficient_evidence
Chipping,Coating_Uniformity,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0019,8.803e-01,False,False,False,False,False,,0,미검사,direction_only,0.24872412839051838,0.00225014801826684,insufficient_evidence
Chipping,Cleaning_Capacity,FDC,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0767,1.592e-46,False,False,False,False,False,0.07942,0,미검사,direction_only,0.4451433543006291,0.11896397271702752,insufficient_evidence
Chipping,Maintenance_Count,Other,undocumented_env_or_infra,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0003,9.538e-01,False,False,False,False,False,,0,미검사,direction_only,0.4404898813631075,0.0025919460878762735,insufficient_evidence
