target,model,factor,layer,process_stage,is_laser_grooving,shap_rank,mean_abs_shap,mean_signed_shap,value_shap_corr,shap_direction,model_roc_auc,model_pr_auc,n_features
Chipping,B_monitor_full,CLN_Pressure,FDC,3_cleaning,False,16,0.069518,-0.040613,-0.1488,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Feed_Speed,FDC,unassigned,False,17,0.066332,-0.038068,-0.468,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Alignment_Time,FDC,unassigned,False,18,0.062036,-0.034616,-0.3749,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Coating_Flow,FDC,1_coating,False,19,0.061191,-0.033205,-0.4008,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Process_Time,FDC,unassigned,False,20,0.060753,-0.027179,0.1194,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cutting_Y_Index,FDC,unassigned,False,21,0.060514,-0.040464,0.0167,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Cooling_Thermal_Load,FDC,unassigned,False,22,0.060021,-0.030011,0.2906,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Current,FDC,2_laser_grooving,True,23,0.059137,-0.028954,-0.1809,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_1,Response,unassigned,False,24,0.058894,-0.033729,-0.3101,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_Asymmetry,Response,unassigned,False,25,0.058311,-0.045786,0.171,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_2,Response,unassigned,False,26,0.058308,-0.034991,-0.0025,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Centering_Position,FDC,2_laser_grooving,True,27,0.056678,-0.025821,0.388,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cutting_X_Index,FDC,unassigned,False,28,0.05648,-0.033267,0.5649,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,CLN_Time,FDC,3_cleaning,False,29,0.056388,-0.011674,0.647,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Coating_Thickness,Response,1_coating,False,30,0.05636,-0.036898,-0.2947,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Voltage,FDC,2_laser_grooving,True,31,0.055174,-0.027625,-0.5261,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cooling_Water_Temp,FDC,unassigned,False,32,0.054893,-0.032621,0.2215,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Frequency,FDC,2_laser_grooving,True,33,0.053189,-0.028188,-0.2197,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cleaning_Capacity,FDC,3_cleaning,False,34,0.051256,-0.015929,-0.0378,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_3,Response,unassigned,False,35,0.051112,-0.024456,-0.0645,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Coating_Uniformity,Response,1_coating,False,36,0.047681,-0.026964,0.0773,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Head_Remain_Time,FDC,2_laser_grooving,True,37,0.046053,-0.02403,-0.0191,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Cooling_Flow,FDC,unassigned,False,38,0.044987,-0.024002,-0.2127,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Maintenance_Count,Other,0_equipment_mechanical,False,39,0.033542,-0.018666,-0.3232,low_is_risky,0.9686,0.6159,39
Micro_Crack,A_cause_FDConly,Vibration,FDC,0_equipment_mechanical,False,1,0.254749,-0.11216,0.5435,high_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,CLN_Time,FDC,3_cleaning,False,2,0.132929,-0.08767,-0.3645,low_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,CLN_Flow,FDC,3_cleaning,False,3,0.124637,-0.083478,-0.4228,low_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Cutting_Y_Index,FDC,unassigned,False,4,0.120474,-0.071133,-0.3609,low_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Cutting_X_Index,FDC,unassigned,False,5,0.105553,-0.07357,-0.2162,low_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Process_Time,FDC,unassigned,False,6,0.103344,-0.072047,-0.1647,low_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Coating_Flow,FDC,1_coating,False,7,0.101125,-0.071694,-0.2835,low_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Cooling_Thermal_Load,FDC,unassigned,False,8,0.099646,-0.055024,-0.0018,nonlinear_or_none,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Cooling_Water_Temp,FDC,unassigned,False,9,0.09836,-0.075492,-0.0515,low_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,CLN_Pressure,FDC,3_cleaning,False,10,0.097374,-0.062546,-0.0113,nonlinear_or_none,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Feed_Speed,FDC,unassigned,False,11,0.084608,-0.058676,0.304,high_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Alignment_Time,FDC,unassigned,False,12,0.083805,-0.058482,0.275,high_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Cooling_Flow,FDC,unassigned,False,13,0.081289,-0.042338,-0.0926,low_is_risky,0.8028,0.0959,14
Micro_Crack,A_cause_FDConly,Cleaning_Capacity,FDC,3_cleaning,False,14,0.08065,-0.048032,-0.2913,low_is_risky,0.8028,0.0959,14
Micro_Crack,B_monitor_full,Surface_Roughness,Response,unassigned,False,1,1.261279,-0.959071,0.85,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_3,Response,unassigned,False,2,0.126276,-0.060579,0.1965,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cleaning_Load_Ratio,Response,3_cleaning,False,3,0.120215,-0.069375,0.6822,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,CLN_Time,FDC,3_cleaning,False,4,0.111516,-0.05409,-0.1795,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_Asymmetry,Response,unassigned,False,5,0.103858,-0.052639,-0.7261,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Coating_Uniformity,Response,1_coating,False,6,0.1029,-0.060665,-0.1204,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Vibration,FDC,0_equipment_mechanical,False,7,0.101416,-0.042402,-0.4584,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Process_Time,FDC,unassigned,False,8,0.091722,-0.059839,-0.1858,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,CLN_Pressure,FDC,3_cleaning,False,9,0.091419,-0.054729,-0.0647,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cutting_X_Index,FDC,unassigned,False,10,0.090445,-0.055371,-0.3199,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_2,Response,unassigned,False,11,0.082797,-0.051524,0.2123,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_1,Response,unassigned,False,12,0.081511,-0.057494,0.1652,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cutting_Y_Index,FDC,unassigned,False,13,0.08136,-0.053266,-0.3399,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cooling_Water_Temp,FDC,unassigned,False,14,0.080526,-0.050207,-0.0451,nonlinear_or_none,0.8986,0.207,24
Micro_Crack,B_monitor_full,CLN_Flow,FDC,3_cleaning,False,15,0.075713,-0.055552,-0.2766,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Coating_Thickness,Response,1_coating,False,16,0.07488,-0.054378,-0.0032,nonlinear_or_none,0.8986,0.207,24
Micro_Crack,B_monitor_full,Coating_Flow,FDC,1_coating,False,17,0.074742,-0.046526,-0.1664,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cleaning_Capacity,FDC,3_cleaning,False,18,0.072363,0.015025,0.2633,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Feed_Speed,FDC,unassigned,False,19,0.070264,-0.047558,0.4867,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cooling_Flow,FDC,unassigned,False,20,0.069063,-0.036248,-0.0436,nonlinear_or_none,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_4,Response,unassigned,False,21,0.068001,-0.034364,-0.1076,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Alignment_Time,FDC,unassigned,False,22,0.066054,-0.046075,0.335,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cooling_Thermal_Load,FDC,unassigned,False,23,0.060672,-0.042722,0.1799,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Maintenance_Count,Other,0_equipment_mechanical,False,24,0.054681,-0.029423,0.1366,high_is_risky,0.8986,0.207,24
