column,subsystem,domain_status,domain_mechanism,domain_direction_hypothesis,p_fdr_is_remcoat_primary,cliffs_delta_is_remcoat_primary,p_fdr_is_remcoat_broad,cliffs_delta_is_remcoat_broad,importance_mean_is_remcoat_primary,rank_is_remcoat_primary,importance_mean_is_remcoat_broad,rank_is_remcoat_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
Frequency,fdc_motion,not_related_to_defect,"방열/체류시간 계열 — Burn 전용 메커니즘(펄스 중첩→열), 세정과 무관",not_applicable,0.11234286720122172,-0.02694546076950155,0.11234286720122172,-0.02694546076950155,-0.0034044928787850073,39,-0.0034044928787850073,39,0,0,0,insufficient_evidence
Package_Size_2,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 세정과 무관",not_applicable,0.15446478973230476,0.02477273008268077,0.15446478973230476,0.02477273008268077,-0.000565215741376555,26,-0.000565215741376555,26,0,0,0,insufficient_evidence
Surface_Roughness,response,defect_related,"결과 공변(동반증상 후보) — 코팅 잔류가 표면 거칠기를 바꿀 가능성, 원인 아닐 수 있음",either,0.25643539790313824,-0.021256617703929392,0.25643539790313824,-0.021256617703929392,-0.0006627114494755041,30,-0.0006627114494755041,30,0,0,0,insufficient_evidence
Top_Kerf,response,not_related_to_defect,"절단 폭, Kerf_Width_Profile과 동일 이유로 무관",not_applicable,0.29085698128642773,-0.02007983113022438,0.29085698128642773,-0.02007983113022438,-0.0012173472522703584,32,-0.0012173472522703584,32,0,0,0,insufficient_evidence
Head_Temp,fdc_thermal,not_related_to_defect,"방열/체류시간 계열 — Burn 전용 메커니즘(열 축적), 세정 효율과 직접 연결고리 없음",not_applicable,0.3895414963701029,-0.017861030377634535,0.3895414963701029,-0.017861030377634535,-0.0007402171319674836,31,-0.0007402171319674836,31,0,0,0,insufficient_evidence
Bottom_Kerf,response,not_related_to_defect,"절단 폭, Kerf_Width_Profile과 동일 이유로 무관",not_applicable,0.400739248786845,-0.017040769826101143,0.400739248786845,-0.017040769826101143,0.0004913217104670298,21,0.0004913217104670298,21,0,0,0,insufficient_evidence
Vibration,fdc_mechanical,not_related_to_defect,기계적 진동 — Particle(디브리 비산)과는 관련 있으나 코팅 화학적/유체적 제거 효율과는 무관,not_applicable,0.400739248786845,0.0164625253009969,0.400739248786845,0.0164625253009969,-0.00023815843083719313,25,-0.00023815843083719313,25,0,0,0,insufficient_evidence
Laser_Head_Remain_Time,fdc_cleaning,defect_related,헤드 노후 — 빔 품질 저하가 코팅 소작(燒灼) 효율에 간접 영향 가능성(약한 가설),down,0.400739248786845,-0.01642032770239721,0.400739248786845,-0.01642032770239721,-0.0006056894351294861,28,-0.0006056894351294861,28,0,0,0,insufficient_evidence
Laser_Voltage,fdc_laser,team_undetermined,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,0.42183068972056126,-0.01568855434284988,0.42183068972056126,-0.01568855434284988,0.0005683127924432337,20,0.0005683127924432337,20,0,0,0,insufficient_evidence
Alignment_Time,fdc_motion,not_related_to_defect,"방열/체류시간 계열 — Burn 전용 메커니즘, 세정과 무관",not_applicable,0.4711545793041094,0.014535972884229809,0.4711545793041094,0.014535972884229809,0.0016170558159963543,11,0.0016170558159963543,11,0,0,0,insufficient_evidence
Cutting_Y_Index,fdc_motion,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 세정과 무관",not_applicable,0.48562148096517627,0.013944877212408002,0.48562148096517627,0.013944877212408002,-0.00016708170465589884,22,-0.00016708170465589884,22,0,0,0,insufficient_evidence
Groove_Depth,response,not_related_to_defect,"절단 깊이 — 코팅층 제거량과는 별개(코팅은 표면층, Groove는 기판 절단 깊이)",not_applicable,0.7538167086302334,0.010054702945414329,0.7538167086302334,0.010054702945414329,0.0011919756833990677,15,0.0011919756833990677,15,0,0,0,insufficient_evidence
Laser_Centering_Position,fdc_laser,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 세정과 무관",not_applicable,0.835894327290057,-0.00835806619281021,0.835894327290057,-0.00835806619281021,-0.0006089866768798025,29,-0.0006089866768798025,29,0,0,0,insufficient_evidence
Package_Size_4,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 세정과 무관",not_applicable,0.835894327290057,0.008294192437277026,0.835894327290057,0.008294192437277026,0.0013504130268974697,14,0.0013504130268974697,14,0,0,0,insufficient_evidence
Kerf_Width_Profile,response,not_related_to_defect,"절단 폭 — 코팅 제거와 무관, Chipping/Particle 계열",not_applicable,0.8992361021614418,-0.006643050588084676,0.8992361021614418,-0.006643050588084676,0.0015989096051522564,12,0.0015989096051522564,12,0,0,0,insufficient_evidence
CLN_Time,fdc_cleaning,defect_related,세정 능력 — 시간 부족 시 코팅 미제거 (HealthIndex 설계서 C유형 추정 근거),down,0.8992361021614418,-0.006362454778188975,0.8992361021614418,-0.006362454778188975,-0.001464637465390974,33,-0.001464637465390974,33,0,0,0,insufficient_evidence
Laser_Current,fdc_laser,team_undetermined,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,0.8992361021614418,-0.005999698562238143,0.8992361021614418,-0.005999698562238143,-0.0023712163290620573,37,-0.0023712163290620573,37,0,0,0,insufficient_evidence
Focus,fdc_thermal,not_related_to_defect,"절단(레이저) 서브시스템 — 코팅 제거는 별도의 세정 서브시스템, 세정 효율과 직접 연결고리 없음",not_applicable,0.8992361021614418,-0.005954980786591735,0.8992361021614418,-0.005954980786591735,0.0011025596821394887,16,0.0011025596821394887,16,0,0,0,insufficient_evidence
Kerf_Angle,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 절단면 수직도, 세정과 무관",not_applicable,0.9317009086513539,-0.005173440516199723,0.9317009086513539,-0.005173440516199723,-0.0005764417334520396,27,-0.0005764417334520396,27,0,0,0,insufficient_evidence
Coating_Flow,fdc_cleaning,defect_related,코팅 도포 균일성 — 불균일 도포 시 일부 영역 과도포되어 제거 어려움 가능성,either,0.9324462862754956,-0.004628270021919789,0.9324462862754956,-0.004628270021919789,-0.0025440777513947225,38,-0.0025440777513947225,38,0,0,0,insufficient_evidence
Package_Size_1,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 세정과 무관",not_applicable,0.9324462862754956,-0.004380739461743555,0.9324462862754956,-0.004380739461743555,0.0008395640551362511,18,0.0008395640551362511,18,0,0,0,insufficient_evidence
Package_Size_3,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 세정과 무관",not_applicable,0.9752325088141791,-0.003105705498186895,0.9752325088141791,-0.003105705498186895,-0.0019335697356417233,36,-0.0019335697356417233,36,0,0,0,insufficient_evidence
Cutting_Offset,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 세정과 무관",not_applicable,0.9752325088141791,-0.00306192291019014,0.9752325088141791,-0.00306192291019014,-0.00022028752383463542,24,-0.00022028752383463542,24,0,0,0,insufficient_evidence
Cooling_Water_Temp,fdc_thermal,not_related_to_defect,"방열/체류시간 계열 — Burn 전용 메커니즘, 세정 효율과 직접 연결고리 없음",not_applicable,0.9824557778429506,0.0024506131353665417,0.9824557778429506,0.0024506131353665417,0.0007832566238710222,19,0.0007832566238710222,19,0,0,0,insufficient_evidence
Beam_Diameter,fdc_laser,not_related_to_defect,"절단(레이저) 서브시스템 — 코팅 제거는 별도의 세정 서브시스템, 세정 효율과 직접 연결고리 없음",not_applicable,0.9824557778429506,0.0021616489326987676,0.9824557778429506,0.0021616489326987676,-0.0015275498207290683,34,-0.0015275498207290683,34,0,0,0,insufficient_evidence
Power_Efficiency,fdc_laser,not_related_to_defect,"절단(레이저) 서브시스템 — 코팅 제거는 별도의 세정 서브시스템, 세정 효율과 직접 연결고리 없음",not_applicable,0.9824557778429506,-0.0013009338318471508,0.9824557778429506,-0.0013009338318471508,-0.0015918292321304946,35,-0.0015918292321304946,35,0,0,0,insufficient_evidence
Cutting_X_Index,fdc_motion,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 세정과 무관",not_applicable,0.9824557778429506,-0.0010311651240373365,0.9824557778429506,-0.0010311651240373365,-0.0001760118835482975,23,-0.0001760118835482975,23,0,0,0,insufficient_evidence
Process_Time,fdc_motion,not_related_to_defect,"방열/체류시간 계열 — Burn 전용 메커니즘, 세정과 무관",not_applicable,0.985305400036307,-0.0006061201419503837,0.985305400036307,-0.0006061201419503837,0.001422007071172952,13,0.001422007071172952,13,0,0,0,insufficient_evidence
Cooling_Thermal_Load,engineered,not_related_to_defect,"팀 공용 피처, 방열 계열 — Burn 전용 메커니즘, 세정과 무관",not_applicable,0.9997275117924685,-4.135900310120455e-06,0.9997275117924685,-4.135900310120455e-06,0.001098550185661242,17,0.001098550185661242,17,0,0,0,insufficient_evidence
