column,p_fdr_is_chip_broad,p_fdr_is_chip_primary,cliffs_delta_is_chip_broad,cliffs_delta_is_chip_primary,univariate_flag_is_chip_broad,univariate_flag_is_chip_primary,importance_mean_is_chip_broad,importance_mean_is_chip_primary,rank_is_chip_broad,rank_is_chip_primary,tree_flag_is_chip_broad,tree_flag_is_chip_primary,univariate_any_label,tree_any_label,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,domain_mechanism,domain_direction_hypothesis,has_domain_support,domain_status,subsystem,is_laser_grooving,verdict
Package_Size_3,0.0,0.0,0.5738754862694131,0.5738754862694131,True,True,0.009156350237640328,0.009156350237640328,11,11,False,False,True,False,1,2,0,정렬 불량 동반지표 — 위와 동일,either,True,defect_related,response,False,candidate_weak_signal
Kerf_Angle,0.0,0.0,0.8245769191803862,0.8245769191803862,True,True,0.003992836948888345,0.003992836948888345,12,12,False,False,True,False,1,2,0,정렬/센터링 — 절단면 수직도 이상이 모서리 파손과 연결 가능,either,True,defect_related,response,True,candidate_weak_signal
Head_Temp,0.0,0.0,0.931890171066788,0.931890171066788,True,True,0.0019459944582450373,0.0019459944582450373,14,14,False,False,True,False,1,2,0,방열 능력 — Focus 이상을 매개로 간접 연결 (Focus 메커니즘의 상류 원인),up,True,defect_related,fdc_thermal,True,candidate_weak_signal
Cutting_Offset,0.0,0.0,0.6565883498843024,0.6565883498843024,True,True,0.0011752190462412492,0.0011752190462412492,15,15,False,False,True,False,1,2,0,정렬/센터링 — 위와 동일,either,True,defect_related,response,False,candidate_weak_signal
Surface_Roughness,0.0,0.0,0.5033954129968765,0.5033954129968765,True,True,0.000823170355240214,0.000823170355240214,17,17,False,False,True,False,1,2,0,"결과 공변 — 모서리 파손이 거칠기를 높일 가능성, 원인 아닐 수 있음",up,True,defect_related,response,False,candidate_weak_signal
Package_Size_4,0.0,0.0,0.6465914329418514,0.6465914329418514,True,True,0.0005631775180890901,0.0005631775180890901,18,18,False,False,True,False,1,2,0,정렬 불량 동반지표 — 위와 동일,either,True,defect_related,response,False,candidate_weak_signal
Package_Size_2,0.0,0.0,-0.5788265610886542,-0.5788265610886542,True,True,-0.0007874351818622172,-0.0007874351818622172,39,39,False,False,True,False,1,2,0,정렬 불량 동반지표 — 위와 동일,either,True,defect_related,response,False,candidate_weak_signal
Package_Size_1,0.0,0.0,-0.647863183976382,-0.647863183976382,True,True,-0.0008869526951617616,-0.0008869526951617616,40,40,False,False,True,False,1,2,0,정렬 불량 동반지표 — 센터링 틀어짐 시 다이 크기 불균형 동반,either,True,defect_related,response,False,candidate_weak_signal
Cleaning_Load_Ratio,0.0,0.0,-0.5111575232200509,-0.5111575232200509,True,True,0.0032437443010431945,0.0032437443010431945,13,13,False,False,True,False,1,2,0,"팀 공용 피처, 세정 계열 — Chipping과 무관",not_applicable,False,not_related_to_defect,engineered,False,insufficient_evidence
Process_Time,0.9771622711689021,0.9771622711689021,-0.0006760301377271016,-0.0006760301377271016,False,False,0.0008383037242387129,0.0008383037242387129,16,16,False,False,False,False,0,0,0,"체류시간 계열 — Burn 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_motion,False,insufficient_evidence
CLN_Time,0.9771622711689021,0.9771622711689021,-0.0009035314239518311,-0.0009035314239518311,False,False,0.0004005670207912241,0.0004005670207912241,19,19,False,False,False,False,0,0,0,"세정 계열 — Particle/Remain_Coat 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,False,insufficient_evidence
CLN_Flow,7.861175263316107e-246,7.861175263316107e-246,0.13268393202028372,0.13268393202028372,False,False,0.00033951425411050305,0.00033951425411050305,20,20,False,False,False,False,0,0,0,"세정 계열 — Particle/Remain_Coat 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,False,insufficient_evidence
Beam_Diameter,0.9771622711689021,0.9771622711689021,0.0006006701161065386,0.0006006701161065386,False,False,0.00012647221017044372,0.00012647221017044372,21,21,False,False,False,False,0,0,0,"빔 품질 — 협소 시 Width 감소로 Chipping 증가, 과다 시 Die 영역 침범 (설계서 B유형 명시)",either,True,defect_related,fdc_laser,True,insufficient_evidence
Maintenance_Count,0.8498525608937,0.8498525608937,-0.0016323481368892834,-0.0016323481368892834,False,False,0.00010304217455897972,0.00010304217455897972,22,22,False,False,False,False,0,0,0,정비 이력 프록시 (김시우 decision_note가 Goal2 확인 가치 명시),either,True,defect_related,engineered,False,insufficient_evidence
Coating_Uniformity,0.9966942280752407,0.9966942280752407,-0.00013692353862593265,-0.00013692353862593265,False,False,7.715511526111829e-05,7.715511526111829e-05,23,23,False,False,False,False,0,0,0,"설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실, 팀 미확정",unknown,False,team_undetermined,response,False,insufficient_evidence
Cooling_Flow,0.0,0.0,-0.49921495964290663,-0.49921495964290663,True,True,6.76214061793449e-05,6.76214061793449e-05,24,24,False,False,True,False,1,2,0,"방열 계열 — Burn 전용, Chipping과 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_thermal,False,insufficient_evidence
Feed_Speed,0.7186657826293873,0.7186657826293873,0.0025415623289291034,0.0025415623289291034,False,False,5.480485224744758e-05,5.480485224744758e-05,25,25,False,False,False,False,0,0,0,"체류시간 계열 — Burn 전용(열축적), Chipping과 명시적 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_motion,True,insufficient_evidence
Laser_Current,0.038371727200331045,0.038371727200331045,0.009002046931653629,0.009002046931653629,False,False,4.0389640279118545e-06,4.0389640279118545e-06,26,26,False,False,False,False,0,0,0,"설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,False,team_undetermined,fdc_laser,True,insufficient_evidence
Coating_Flow,0.7678126440830517,0.7678126440830517,-0.002105018460026864,-0.002105018460026864,False,False,-4.732278378716259e-06,-4.732278378716259e-06,27,27,False,False,False,False,0,0,0,"세정/코팅 계열 — Particle/Remain_Coat 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,False,insufficient_evidence
Laser_Head_Remain_Time,0.5639569636595135,0.5639569636595135,-0.0033702414279498383,-0.0033702414279498383,False,False,-2.4377916119563044e-05,-2.4377916119563044e-05,28,28,False,False,False,False,0,0,0,헤드 노후 — 빔 품질 저하 시 Chipping 위험 증가 (추론),down,True,defect_related,fdc_cleaning,True,insufficient_evidence
Frequency,0.4725754471435636,0.4725754471435636,-0.004144238205734507,-0.004144238205734507,False,False,-6.234045707722568e-05,-6.234045707722568e-05,29,29,False,False,False,False,0,0,0,"체류시간/열축적 계열 — Burn 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_motion,True,insufficient_evidence
Cooling_Water_Temp,0.5527625680463661,0.5527625680463661,-0.003559199877781083,-0.003559199877781083,False,False,-0.0001094441455541532,-0.0001094441455541532,30,30,False,False,False,False,0,0,0,"방열 계열 — Burn 전용, Chipping과 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_thermal,False,insufficient_evidence
Cutting_Y_Index,0.9966942280752407,0.9966942280752407,0.0003400852621067152,0.0003400852621067152,False,False,-0.00016918366112343244,-0.00016918366112343244,31,31,False,False,False,False,0,0,0,정렬/센터링 — 위와 동일,either,True,defect_related,fdc_motion,False,insufficient_evidence
Cleaning_Capacity,1.4690983968407853e-84,1.4690983968407853e-84,0.07727959574827548,0.07727959574827548,False,False,-0.00017980950342224577,-0.00017980950342224577,32,32,False,False,False,False,0,0,0,"팀 공용 피처, 세정 계열 — Chipping과 무관",not_applicable,False,not_related_to_defect,engineered,False,insufficient_evidence
Coating_Thickness,0.9966942280752407,0.9966942280752407,0.0001622966099688039,0.0001622966099688039,False,False,-0.0001872380537115618,-0.0001872380537115618,33,33,False,False,False,False,0,0,0,"설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실, 팀 미확정",unknown,False,team_undetermined,response,False,insufficient_evidence
CLN_Pressure,0.9966942280752407,0.9966942280752407,1.640862525631448e-05,1.640862525631448e-05,False,False,-0.00022013984023448637,-0.00022013984023448637,34,34,False,False,False,False,0,0,0,"세정 계열 — Particle/Remain_Coat 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,False,insufficient_evidence
Cooling_Thermal_Load,0.0,0.0,0.3256659258737542,0.3256659258737542,True,True,-0.00022580709448517163,-0.00022580709448517163,35,35,False,False,True,False,1,2,0,"팀 공용 피처, 방열 계열 — Burn 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,engineered,False,insufficient_evidence
Alignment_Time,0.5527625680463661,0.5527625680463661,-0.0035272888588013807,-0.0035272888588013807,False,False,-0.000366712671902721,-0.000366712671902721,36,36,False,False,False,False,0,0,0,"체류시간 계열 — Burn 전용, Chipping과 무관",not_applicable,False,not_related_to_defect,fdc_motion,False,insufficient_evidence
Cutting_X_Index,0.7513665491584204,0.7513665491584204,-0.0022875441246033024,-0.0022875441246033024,False,False,-0.0004137229606218318,-0.0004137229606218318,37,37,False,False,False,False,0,0,0,정렬/센터링 — 목표 절단선 이탈이 모서리 파손 유발 (E유형),either,True,defect_related,fdc_motion,False,insufficient_evidence
Laser_Voltage,0.9771622711689021,0.9771622711689021,0.0007425748697491574,0.0007425748697491574,False,False,-0.0005798481437874203,-0.0005798481437874203,38,38,False,False,False,False,0,0,0,"설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,False,team_undetermined,fdc_laser,True,insufficient_evidence
