column,p_fdr_is_crack_broad,p_fdr_is_crack_primary,cliffs_delta_is_crack_broad,cliffs_delta_is_crack_primary,univariate_flag_is_crack_broad,univariate_flag_is_crack_primary,importance_mean_is_crack_broad,importance_mean_is_crack_primary,rank_is_crack_broad,rank_is_crack_primary,tree_flag_is_crack_broad,tree_flag_is_crack_primary,univariate_any_label,tree_any_label,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,domain_mechanism,domain_direction_hypothesis,has_domain_support,domain_status,subsystem,is_laser_grooving,verdict
Cooling_Flow,0.0,0.012581326694056776,-0.2775218812072767,-0.02321146976820887,True,False,0.0011128014811679428,0.0001604044202569386,21,22,False,False,True,False,1,1,0,방열 능력 — 냉각 부족 시 급격한 온도구배로 열충격 스트레스 증가,down,True,defect_related,fdc_thermal,False,candidate_weak_signal
Frequency,2.121434215088627e-14,4.894691136260621e-16,0.037368625489535345,0.07058671604047428,False,False,0.004162819957299979,0.006751472334735389,20,2,False,True,False,True,1,0,1,[현업] 레이저 펄스 주파수 = 그루빙 제어인자 — 제외 (Jun 원본의 CRACK 1위 인자였음),not_applicable,False,not_related_to_defect,fdc_motion,True,insufficient_evidence
CLN_Flow,6.527782209735949e-05,0.15528330856110487,0.019954234862764597,-0.014704622726851801,False,False,0.006521387922168198,0.002737979008421541,19,3,False,True,False,True,1,0,1,"세정 계열 — Particle/Remain_Coat 전용, 파단과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,False,insufficient_evidence
CLN_Pressure,0.21494594473198625,0.08156868757652243,0.007053440026645541,0.01722421951932218,False,False,-0.0001055080031659735,0.001071407142733713,35,11,False,False,False,False,0,0,0,"세정 계열 — Particle/Remain_Coat 전용, 파단과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,False,insufficient_evidence
Coating_Thickness,0.629209302912308,0.18749258924735385,0.00312100103191848,0.013582717288449508,False,False,0.0003734271877246324,0.0010711503823073046,26,12,False,False,False,False,0,0,0,"설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실, 팀 미확정",unknown,False,team_undetermined,response,False,insufficient_evidence
Cutting_Offset,0.0,2.7137900328614895e-05,0.35801359267698674,-0.03717901023365122,True,False,0.008065438543946476,0.0009123091150990488,16,13,False,False,True,False,1,1,0,"정렬/센터링 계열(설계서 E유형) — Chipping 메커니즘, 파단과 무관",not_applicable,False,not_related_to_defect,response,False,insufficient_evidence
Laser_Centering_Position,0.0,8.627431013458279e-05,0.3598471032931001,-0.03490733221873188,True,False,0.012527003977493472,0.0008328751854412758,12,14,False,False,True,False,1,1,0,[현업] 레이저 빔 중심 = 그루빙 제어인자 — 제외,not_applicable,False,not_related_to_defect,fdc_laser,True,insufficient_evidence
Feed_Speed,0.3166244221561756,0.20306138969392673,0.005816200935458982,0.013071127383520675,False,False,-0.00013591040850595703,0.0003871439173602757,36,16,False,False,False,False,0,0,0,[현업] 그루빙 이송속도 — 제외,not_applicable,False,not_related_to_defect,fdc_motion,True,insufficient_evidence
Package_Size_1,0.0,1.4747681025569947e-05,-0.35266555221251694,0.03856950875769982,True,False,0.010832592898768763,0.0003446028493728807,14,17,False,False,True,False,1,1,0,정렬/센터링 계열(설계서 E유형) — 파단과 무관,not_applicable,False,not_related_to_defect,response,False,insufficient_evidence
Alignment_Time,0.617817711329847,0.007628030672627657,0.0034227472891570354,0.02485313295805458,False,False,0.00014758490566112818,0.0002859847063592038,29,18,False,False,False,False,0,0,0,누적 스트레스 노출 — 위와 동일,up,True,defect_related,fdc_motion,False,insufficient_evidence
Cutting_Y_Index,0.16538465785817147,0.9895034703682422,0.007791319079260894,-0.00035546226360694266,False,False,0.00014216677015981282,0.0002757463978452288,30,19,False,False,False,False,0,0,0,"정렬/센터링 계열(설계서 E유형) — Chipping 메커니즘, 파단과 무관",not_applicable,False,not_related_to_defect,fdc_motion,False,insufficient_evidence
Laser_Head_Remain_Time,0.6626913429935427,0.6911016865075473,-0.002563423874036297,0.004945455540774413,False,False,0.0008107145851995234,0.0002598095471432813,23,20,False,False,False,False,0,0,0,[현업] 레이저 헤드 수명 = 그루빙 계통 — 제외,not_applicable,False,not_related_to_defect,fdc_cleaning,True,insufficient_evidence
Process_Time,0.1251515284001841,0.20813812489874292,-0.008525068839370986,-0.012788447601226549,False,False,-0.0001762348758635827,0.0002492456864330028,37,21,False,False,False,False,0,0,0,누적 스트레스 노출 — 공정시간이 길수록 누적 응력 노출 증가,up,True,defect_related,fdc_motion,False,insufficient_evidence
Laser_Current,0.7594166942453917,0.2972631418319822,0.0017258534087432054,-0.010490538934211258,False,False,-0.0011838963719054167,0.0001392433229855818,40,23,False,False,False,False,0,0,0,미분류 — 검토 필요,unknown,False,unclassified,fdc_laser,True,insufficient_evidence
Package_Size_4,0.0,5.7831905638442595e-06,0.35412601984425707,-0.04033015625215386,True,False,0.007868774022841715,-6.017276648668986e-05,17,24,False,False,True,False,1,1,0,정렬/센터링 계열(설계서 E유형) — 파단과 무관,not_applicable,False,not_related_to_defect,response,False,insufficient_evidence
Laser_Voltage,0.6626913429935427,0.6911016865075473,-0.0026532447732532383,-0.004962920419573469,False,False,9.24634947982376e-05,-8.206666657834909e-05,32,25,False,False,False,False,0,0,0,미분류 — 검토 필요,unknown,False,unclassified,fdc_laser,True,insufficient_evidence
Maintenance_Count,0.7532037315846656,0.8577517508868819,-0.001884671945694416,0.002302334783561788,False,False,9.199371156950094e-06,-0.00010033706141223304,34,26,False,False,False,False,0,0,0,정비 이력 프록시 (김시우 decision_note가 Goal2 확인 가치 명시),either,True,defect_related,engineered,False,insufficient_evidence
Coating_Uniformity,0.8665483910484106,0.9895034703682422,-0.0009470866978644743,-0.00010963414642517488,False,False,0.0009434889990721655,-0.000112143179543564,22,27,False,False,False,False,0,0,0,"설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실, 팀 미확정",unknown,False,team_undetermined,response,False,insufficient_evidence
Cleaning_Capacity,0.04682054803192027,0.008005024545205812,-0.010630228414574172,-0.024564007233376484,False,False,3.53393331645376e-05,-0.00019516409699256072,33,28,False,False,False,False,0,0,0,"팀 공용 피처, 세정 계열 — 파단과 무관",not_applicable,False,not_related_to_defect,engineered,False,insufficient_evidence
Groove_Depth,0.0,1.2238180205999605e-08,-0.4248179950796611,0.049708158656463164,True,False,0.016998821902117007,-0.00020787547152172718,11,29,False,False,True,False,1,1,0,[현업] 그루브 깊이 = 그루빙 결과값 — 제외,not_applicable,False,not_related_to_defect,response,True,insufficient_evidence
Cooling_Water_Temp,0.3166244221561756,0.21260531144729938,-0.005891887408431495,-0.012523869166832458,False,False,0.00024855621797284326,-0.00031148825727022136,27,30,False,False,False,False,0,0,0,방열 능력 — 냉각수 온도 상승 시 열충격 스트레스 증가,up,True,defect_related,fdc_thermal,False,insufficient_evidence
CLN_Time,0.617817711329847,0.8577517508868819,-0.003308924613635744,-0.002182289002662152,False,False,-0.0003654390000633575,-0.0003638289392907335,38,31,False,False,False,False,0,0,0,"세정 계열 — Particle/Remain_Coat 전용, 파단과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,False,insufficient_evidence
Cooling_Thermal_Load,5.506824857440491e-298,0.5012089618941318,0.17868459201681985,0.007574667729352669,False,False,9.411093105407739e-05,-0.0003868308791166971,31,32,False,False,False,False,0,0,0,"팀 공용 피처, 방열 능력 — 위와 동일 메커니즘",up,True,defect_related,engineered,False,insufficient_evidence
Coating_Flow,0.9610356069726204,0.9895034703682422,-0.00023648986817859097,0.00028918301731395424,False,False,0.0007809248079543381,-0.00046837737137872906,24,33,False,False,False,False,0,0,0,"세정/코팅 계열 — Particle/Remain_Coat 전용, 파단과 무관",not_applicable,False,not_related_to_defect,fdc_cleaning,False,insufficient_evidence
Cutting_X_Index,0.6626913429935427,0.6599725011166119,0.0026861965133866406,0.005686818082929701,False,False,0.000535272324606891,-0.0006749087116695103,25,34,False,False,False,False,0,0,0,"정렬/센터링 계열(설계서 E유형) — Chipping 메커니즘, 파단과 무관",not_applicable,False,not_related_to_defect,fdc_motion,False,insufficient_evidence
Cleaning_Load_Ratio,0.0,2.8581808879921156e-09,-0.22740864395422156,0.05202718018065977,True,False,-0.0009029146289631362,-0.0007452299250341863,39,35,False,False,True,False,1,1,0,"팀 공용 피처, 세정 계열 — 파단과 무관",not_applicable,False,not_related_to_defect,engineered,False,insufficient_evidence
Kerf_Angle,0.0,0.012834853856216294,0.4607192953875092,0.023002349563707503,True,False,0.006783678336308333,-0.0008470134287915321,18,37,False,False,True,False,1,1,0,[현업+Jun] 그루빙 절단면 수직도 — 파단과 무관,not_applicable,False,not_related_to_defect,response,True,insufficient_evidence
Package_Size_2,0.0,8.403329810987003e-09,-0.31414701752862983,0.05039684634914754,True,False,0.008126638943487419,-0.0009105883315063854,15,38,False,False,True,False,1,1,0,정렬/센터링 계열(설계서 E유형) — 파단과 무관,not_applicable,False,not_related_to_defect,response,False,insufficient_evidence
Package_Size_3,0.0,1.8259157374095606e-05,0.3154069062180249,-0.03803286113718518,True,False,0.012494588332553602,-0.0009521510294608081,13,39,False,False,True,False,1,1,0,정렬/센터링 계열(설계서 E유형) — 파단과 무관,not_applicable,False,not_related_to_defect,response,False,insufficient_evidence
Beam_Diameter,0.3192468884130286,0.24135199980518834,-0.005694639878613295,-0.01175649680965074,False,False,0.0001534649533401026,-0.0013204208768600077,28,40,False,False,False,False,0,0,0,[현업] 레이저 빔 직경 = 그루빙 제어인자 — 제외,not_applicable,False,not_related_to_defect,fdc_laser,True,insufficient_evidence
