column,subsystem,domain_status,domain_mechanism,domain_direction_hypothesis,p_fdr_is_crack_primary,cliffs_delta_is_crack_primary,p_fdr_is_crack_broad,cliffs_delta_is_crack_broad,importance_mean_is_crack_primary,rank_is_crack_primary,importance_mean_is_crack_broad,rank_is_crack_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
Coating_Thickness,response,team_undetermined,"HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후)이 불확실, 팀 미확정",unknown,0.9935287109862209,0.025874679744054108,0.9214806481374329,0.014140919728308221,-0.03156421089229096,37,0.013292486484450312,10,1,0,1,insufficient_evidence
Focus,fdc_thermal,defect_related,빔 품질/집속 — 초점 이탈 시 국소 에너지밀도 이상이 응력 집중 유발 가능성(제 추론),either,0.9935287109862209,0.015855685050564228,0.71260296695894,-0.053603684827852605,-0.028569695287052645,35,0.022888771060719737,6,1,0,1,candidate_weak_signal
Cutting_X_Index,fdc_motion,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 파단 스트레스와 무관",not_applicable,0.9935287109862209,-0.002511147907935718,0.9331925784580167,-0.007560416844076823,0.005092549013309644,7,0.008141343203252892,20,1,0,1,insufficient_evidence
Laser_Cleaning_Demand,engineered,not_related_to_defect,"팀 공용 피처, 세정 계열(디브리 발생 수요) — 파단 스트레스와 무관",not_applicable,0.9935287109862209,-0.0017620696919306011,0.644705418154663,-0.08612555538014488,0.010817263490341355,4,0.009457484807846172,16,1,0,1,insufficient_evidence
Power_Efficiency,fdc_laser,defect_related,에너지 변환 이상 — 비정상 에너지 전달이 국소 스트레스 유발 가능성(제 추론),either,0.9935287109862209,-0.0008035084870032794,0.644705418154663,-0.07841776103812315,0.00132909749578989,9,0.0026013958022964357,27,1,0,1,candidate_weak_signal
Cleaning_Load_Ratio,engineered,not_related_to_defect,"팀 공용 피처, 세정 계열 — 파단 스트레스와 무관",not_applicable,0.05269152407749877,0.2618078381943978,0.23539222144691752,0.17452984992139453,-0.008041903482982088,25,0.005403870100471716,21,0,0,0,insufficient_evidence
Package_Size_3,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 파단과 무관",not_applicable,0.13223844834766907,0.21523200241023122,0.05507485130630894,0.238199369058387,-0.0017301181630313392,16,0.002478437814140866,28,0,0,0,insufficient_evidence
Laser_Power,fdc_laser,defect_related,에너지 투입 — 급격한 국소 가열이 열충격 스트레스 유발(제 추론),up,0.7646684629808211,-0.11080796882704824,0.26411281439424195,-0.16578284901687745,-0.0011983231285399188,14,0.0035724758123676444,25,0,0,0,insufficient_evidence
Cooling_Water_Temp,fdc_thermal,defect_related,방열 능력 — 냉각수 온도 상승 시 열충격 스트레스 증가(제 추론),up,0.7646684629808211,-0.10140241799859007,0.644705418154663,-0.09680041987946764,-0.002191997008744436,17,-0.013724787870724812,33,0,0,0,insufficient_evidence
Package_Size_1,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 파단과 무관",not_applicable,0.8233332805100947,0.09257059164821912,0.644705418154663,0.07908827985327638,-0.014991040259304412,32,-0.02315781271503629,36,0,0,0,insufficient_evidence
Vibration,fdc_mechanical,defect_related,기계적 스트레스 — 진동에 의한 반복 응력이 피로파괴형 미세균열 유발(제 추론),up,0.8416816135451298,0.08716728393536166,0.3633368026324841,0.14837888412297828,-0.00573597526786598,21,0.011585786398796923,11,0,0,0,insufficient_evidence
Cooling_Flow,fdc_thermal,defect_related,방열 능력 — 냉각 부족 시 급격한 온도구배로 열충격 스트레스 증가(제 추론),down,0.9395080776081326,0.0684059050665462,0.728397602665486,0.04955007162692793,-0.0012916591476394123,15,0.008565959132466867,18,0,0,0,insufficient_evidence
Laser_Head_Remain_Time,fdc_cleaning,defect_related,헤드 노후 — 빔 품질 저하 시 국소 응력집중 가능성(제 추론),down,0.9395080776081326,0.06195783036820757,0.644705418154663,0.06719535497358797,-0.01972271525381021,33,-0.02898837414349258,39,0,0,0,insufficient_evidence
Package_Size_4,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 파단과 무관",not_applicable,0.9395080776081326,0.05797000391897944,0.6271965015121506,0.11073125347246027,-0.005773735119705579,22,-0.0019486932445692698,30,0,0,0,insufficient_evidence
Beam_Diameter,fdc_laser,defect_related,빔 품질/집속 — 위와 동일 이유(제 추론),either,0.9395080776081326,0.05717620461545159,0.7487488540054145,0.045010893490721404,-0.0027796409344858276,18,0.011220231464237078,12,0,0,0,insufficient_evidence
CLN_Pressure,fdc_cleaning,not_related_to_defect,"세정 계열 — Particle/Remain_Coat 전용 메커니즘, 파단 스트레스와 무관",not_applicable,0.9763163065644658,-0.05048598876559207,0.644705418154663,-0.06737908884105903,-0.011792987529559729,29,-0.048988831012990466,40,0,0,0,insufficient_evidence
Laser_Current,fdc_laser,team_undetermined,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,0.9935287109862209,0.03792230534852448,0.644705418154663,0.06553809012914802,0.0011337358057243415,11,0.004240569194554589,24,0,0,0,insufficient_evidence
Laser_Voltage,fdc_laser,team_undetermined,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,0.9935287109862209,0.022714781849358268,0.8493324644689412,-0.029550896355310607,-0.004126968574753665,19,-0.014497376867833837,34,0,0,0,insufficient_evidence
CLN_Flow,fdc_cleaning,not_related_to_defect,"세정 계열 — Particle/Remain_Coat 전용 메커니즘, 파단 스트레스와 무관",not_applicable,0.9935287109862209,-0.014492868751846189,0.8497121098920362,-0.026989358319837953,-0.00471596882601628,20,-0.02826216303728528,38,0,0,0,insufficient_evidence
Coating_Uniformity,response,team_undetermined,"HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후)이 불확실, 팀 미확정",unknown,0.9935287109862209,-0.010479739582046177,0.9121024499179997,0.017782168737963122,-0.014975721924375155,31,-0.020969130300768253,35,0,0,0,insufficient_evidence
Feed_Speed,fdc_motion,defect_related,"기계적/열적 스트레스 — 빠를수록 기계적 응력속도 증가, 느릴수록 열축적 증가로 상충되는 두 메커니즘이 공존(제 추론)",either,0.9935287109862209,0.010070482787677193,0.644705418154663,0.0691363947023158,-0.03152512981257769,36,0.011001245747889788,13,0,0,0,insufficient_evidence
Maintenance_Count,undocumented_env_or_infra,defect_related,"정비 이력 프록시(00_column_classification.csv decision_note가 Goal2 확인 가치 있다고 명시) — 정비 직후 재교정 스트레스 또는 정비 주기가 긴 설비의 누적 피로, 상충 가능성 있어 미특정",either,0.9935287109862209,-0.006802312786347353,0.792915327642977,-0.03789748919008018,-0.006675141812047893,23,0.008892080087524235,17,0,0,0,insufficient_evidence
Kerf_Angle,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 절단면 수직도, 파단 스트레스와 무관",not_applicable,0.9935287109862209,0.0034888332621325624,0.9331925784580167,-0.008121622548171614,0.000649408761821028,12,-0.02538900145151879,37,0,0,0,insufficient_evidence
