column,matched_defect,group_key,threshold,n_NG,NG_rate_below,NG_rate_above,risky_direction
CLN_Pressure,Remain_Coat,PKG_C|RCP_7,296.97249,41,0.2206,0.0065,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_8,296.94749,53,0.2477,0.0149,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_9,296.9675,37,0.1146,0.0141,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_1,296.8255,37,0.2043,0.0101,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_2,296.98401,54,0.2276,0.0157,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_3,296.718,44,0.2577,0.0109,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_4,296.77951,31,0.1266,0.0125,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_5,297.1015,40,0.1913,0.0104,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_6,296.97951,36,0.193,0.008,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_7,296.9635,53,0.2128,0.0136,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_8,297.058,36,0.188,0.0084,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_9,296.972,39,0.1732,0.0097,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_1,297.006,42,0.1639,0.0126,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_2,296.94701,40,0.211,0.0097,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_3,296.239,41,0.3077,0.0137,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_4,296.97549,43,0.2049,0.0101,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_5,296.83551,47,0.2162,0.0133,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_6,296.8405,34,0.1935,0.0059,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_7,296.757,40,0.2371,0.0098,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_8,296.8125,51,0.287,0.0108,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_9,296.99249,44,0.2558,0.0064,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_1,296.76549,47,0.2213,0.011,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_2,296.98849,47,0.2296,0.0092,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_3,296.5585,35,0.2375,0.0092,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_4,296.9915,40,0.156,0.0099,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_5,297.0305,51,0.2047,0.0144,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_6,296.991,42,0.1966,0.0108,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_7,296.98401,42,0.2097,0.0093,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_8,296.98851,41,0.1679,0.0109,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_9,296.955,52,0.2742,0.0108,low_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_1,0.60015,150,0.0111,0.2109,high_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_2,0.60005,177,0.0124,0.2527,high_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_3,0.60005,139,0.0164,0.2041,high_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_4,0.60385,140,0.0169,0.2245,high_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_5,0.60005,150,0.0177,0.2032,high_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_6,0.60005,151,0.0135,0.2206,high_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_7,0.60005,157,0.0112,0.2238,high_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_8,0.60005,141,0.0118,0.2069,high_is_risky
Surface_Roughness,Particle(제안),PKG_A|RCP_9,0.60005,152,0.0117,0.2182,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_1,0.60015,145,0.0136,0.2042,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_2,0.60005,135,0.0101,0.1933,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_3,0.60125,151,0.0111,0.2346,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_4,0.6002,160,0.0101,0.2434,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_5,0.60085,136,0.0075,0.2075,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_6,0.6001,169,0.0151,0.2424,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_7,0.60035,171,0.0094,0.2516,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_8,0.60005,129,0.0132,0.1955,high_is_risky
Surface_Roughness,Particle(제안),PKG_B|RCP_9,0.60005,149,0.016,0.2083,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_1,0.60075,137,0.0133,0.209,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_2,0.60235,129,0.015,0.1943,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_3,0.60035,137,0.0088,0.2059,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_4,0.60035,150,0.0139,0.2258,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_5,0.60025,137,0.0065,0.2025,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_6,0.60225,121,0.0145,0.1922,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_7,0.60035,133,0.0106,0.1983,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_8,0.60005,139,0.0133,0.2096,high_is_risky
Surface_Roughness,Particle(제안),PKG_C|RCP_9,0.60035,121,0.0097,0.1821,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_1,0.6023,130,0.0115,0.2061,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_2,0.59975,139,0.0167,0.2066,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_3,0.60005,152,0.0154,0.2177,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_4,0.60025,137,0.0088,0.2039,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_5,0.60095,132,0.0114,0.1941,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_6,0.60015,147,0.0072,0.224,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_7,0.60015,143,0.0145,0.2133,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_8,0.60005,128,0.0076,0.1983,high_is_risky
Surface_Roughness,Particle(제안),PKG_D|RCP_9,0.6006,134,0.0134,0.1902,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_1,0.60035,140,0.0079,0.2192,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_2,0.60015,142,0.0089,0.2093,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_3,0.60055,161,0.016,0.2263,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_4,0.60015,144,0.0108,0.2135,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_5,0.60195,142,0.0157,0.2163,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_6,0.60015,143,0.0082,0.2188,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_7,0.60015,142,0.0115,0.2123,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_8,0.60185,172,0.0211,0.2278,high_is_risky
Surface_Roughness,Particle(제안),PKG_E|RCP_9,0.60025,135,0.0148,0.1831,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_1,0.60035,154,0.0168,0.2119,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_2,0.60055,149,0.0119,0.2197,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_3,0.60015,126,0.0121,0.1891,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_4,0.60045,149,0.015,0.2074,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_5,0.60015,164,0.0146,0.231,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_6,0.60035,154,0.0107,0.2159,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_7,0.60025,141,0.0132,0.1997,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_8,0.60025,128,0.0102,0.1933,high_is_risky
Surface_Roughness,Particle(제안),PKG_F|RCP_9,0.60005,158,0.0168,0.2296,high_is_risky
