variable_1,variable_2,spearman_r,absolute_r
Vibration,Kerf_Width_Profile,0.0446,0.0446
Bottom_Kerf,Surface_Roughness,0.0437,0.0437
Focus,Kerf_Width_Profile,0.0427,0.0427
Top_Kerf,Surface_Roughness,0.0424,0.0424
Vibration,CLN_Flow,-0.0412,0.0412
Power_Efficiency,Vibration,-0.0394,0.0394
Kerf_Width_Profile,Surface_Roughness,0.0372,0.0372
Focus,Head_Temp,0.0371,0.0371
Focus,Kerf_Angle,0.0317,0.0317
Laser_Power,CLN_Flow,-0.0293,0.0293
CLN_Flow,Top_Kerf,0.0288,0.0288
CLN_Flow,Bottom_Kerf,0.0285,0.0285
Power_Efficiency,CLN_Flow,-0.0255,0.0255
Laser_Power,Focus,-0.024,0.024
CLN_Flow,Kerf_Width_Profile,0.0224,0.0224
Vibration,Groove_Depth,-0.0213,0.0213
Head_Temp,CLN_Flow,0.02,0.02
Head_Temp,Top_Kerf,0.02,0.02
Laser_Centering_Position,Kerf_Width_Profile,0.0182,0.0182
Power_Efficiency,Laser_Centering_Position,-0.0182,0.0182
Head_Temp,Bottom_Kerf,0.018,0.018
Power_Efficiency,Cutting_Offset,-0.0174,0.0174
Laser_Power,Head_Temp,-0.0166,0.0166
CLN_Flow,Surface_Roughness,-0.0164,0.0164
Laser_Power,Surface_Roughness,-0.0161,0.0161
Kerf_Width_Profile,Cutting_Offset,0.0157,0.0157
Focus,CLN_Flow,0.0156,0.0156
Head_Temp,Kerf_Width_Profile,0.0155,0.0155
Head_Temp,Surface_Roughness,0.0152,0.0152
Focus,Surface_Roughness,0.0152,0.0152
CLN_Flow,Groove_Depth,-0.014,0.014
Power_Efficiency,Surface_Roughness,-0.014,0.014
Focus,Groove_Depth,-0.0131,0.0131
Power_Efficiency,Focus,-0.0126,0.0126
Vibration,Cooling_Flow,-0.0114,0.0114
CLN_Time,Fan_RPM,0.0101,0.0101
Laser_Power,Laser_Centering_Position,-0.0101,0.0101
Head_Temp,Cooling_Flow,-0.01,0.01
Power_Efficiency,Head_Temp,-0.01,0.01
Cutting_Offset,Network_Latency,0.0099,0.0099
Vibration,Cutting_Offset,0.0096,0.0096
Kerf_Width_Profile,Package_Size_1,-0.0095,0.0095
Groove_Depth,Surface_Roughness,-0.0094,0.0094
Laser_Power,Cutting_Offset,-0.0094,0.0094
Head_Temp,Kerf_Angle,0.0088,0.0088
Cutting_Y_Index,Door_Open_Count,-0.0087,0.0087
Coating_Thickness,Maintenance_Count,0.0084,0.0084
Laser_Centering_Position,Network_Latency,0.0083,0.0083
Laser_Head_Remain_Time,Groove_Depth,-0.0083,0.0083
Kerf_Width_Profile,Package_Size_3,0.0082,0.0082
Laser_Power,Kerf_Angle,-0.0082,0.0082
PLC_Memory,Door_Open_Count,0.0082,0.0082
Laser_Head_Remain_Time,Surface_Roughness,-0.0081,0.0081
Alignment_Time,Laser_Head_Remain_Time,-0.008,0.008
Vibration,Kerf_Angle,0.0078,0.0078
Package_Size_3,Maintenance_Count,0.0078,0.0078
Power_Efficiency,Vision_Exposure,-0.0078,0.0078
Package_Size_4,Network_Latency,0.0078,0.0078
Process_Time,Package_Size_3,-0.0077,0.0077
Power_Efficiency,Package_Size_1,0.0077,0.0077
CLN_Time,Kerf_Angle,0.0076,0.0076
Cutting_Y_Index,Coating_Flow,0.0075,0.0075
Coating_Flow,Kerf_Width_Profile,-0.0074,0.0074
CLN_Flow,Cutting_Offset,0.0074,0.0074
Head_Temp,Groove_Depth,-0.0074,0.0074
Beam_Diameter,Factory_Power,-0.0073,0.0073
Power_Efficiency,Package_Size_4,-0.0072,0.0072
Alignment_Time,Kerf_Angle,-0.0071,0.0071
Laser_Centering_Position,Vibration,0.0071,0.0071
Vibration,Cutting_Y_Index,0.007,0.007
PLC_CPU_Load,Network_Latency,0.007,0.007
Frequency,LED_Brightness,0.007,0.007
Cooling_Water_Temp,Cutting_Offset,0.0069,0.0069
Cutting_X_Index,Cooling_Flow,-0.0068,0.0068
Coating_Thickness,Room_Noise,-0.0067,0.0067
Head_Temp,PLC_Memory,0.0067,0.0067
Laser_Power,CLN_Time,-0.0067,0.0067
Laser_Centering_Position,CLN_Flow,0.0066,0.0066
Cooling_Flow,Factory_Power,0.0066,0.0066
Power_Efficiency,Door_Open_Count,-0.0064,0.0064
Kerf_Angle,Cutting_Offset,0.0063,0.0063
CLN_Flow,CLN_Pressure,0.0063,0.0063
Beam_Diameter,Kerf_Angle,0.0063,0.0063
Cutting_Y_Index,Network_Latency,-0.0063,0.0063
Laser_Voltage,Package_Size_3,0.0063,0.0063
Cooling_Water_Temp,LED_Brightness,0.0063,0.0063
PLC_CPU_Load,Fan_RPM,-0.0062,0.0062
Alignment_Time,Process_Time,0.0062,0.0062
CLN_Flow,Package_Size_1,-0.0062,0.0062
Package_Size_1,Surface_Roughness,-0.0062,0.0062
Process_Time,Room_Noise,-0.0061,0.0061
Power_Efficiency,PLC_CPU_Load,-0.0061,0.0061
Focus,Laser_Head_Remain_Time,-0.0061,0.0061
Frequency,CLN_Time,-0.0061,0.0061
Frequency,Groove_Depth,0.0061,0.0061
Bottom_Kerf,PLC_Memory,-0.0061,0.0061
Kerf_Angle,Maintenance_Count,-0.0061,0.0061
Beam_Diameter,Room_Noise,0.0061,0.0061
LED_Brightness,Maintenance_Count,-0.0061,0.0061
Laser_Voltage,Maintenance_Count,-0.0061,0.0061
Cutting_Offset,Surface_Roughness,0.0061,0.0061
Cooling_Flow,Kerf_Angle,0.006,0.006
Cutting_Y_Index,Package_Size_1,0.006,0.006
Cutting_X_Index,PLC_CPU_Load,-0.006,0.006
CLN_Flow,Vision_Exposure,0.0059,0.0059
Bottom_Kerf,PLC_CPU_Load,0.0058,0.0058
Power_Efficiency,PLC_Memory,0.0058,0.0058
Cooling_Water_Temp,Door_Open_Count,0.0058,0.0058
Beam_Diameter,Cooling_Water_Temp,0.0058,0.0058
Cutting_X_Index,PLC_Memory,0.0057,0.0057
Laser_Voltage,Cooling_Flow,0.0057,0.0057
Coating_Uniformity,PLC_Memory,-0.0057,0.0057
PLC_Memory,Room_Noise,0.0056,0.0056
Beam_Diameter,Coating_Uniformity,0.0056,0.0056
CLN_Time,LED_Brightness,-0.0056,0.0056
Cooling_Flow,Coating_Thickness,0.0056,0.0056
Frequency,CLN_Flow,0.0056,0.0056
Feed_Speed,Room_Noise,0.0056,0.0056
Vibration,CLN_Time,0.0056,0.0056
PLC_Memory,Maintenance_Count,-0.0055,0.0055
Power_Efficiency,Cutting_Y_Index,0.0055,0.0055
Cutting_Y_Index,Kerf_Angle,0.0055,0.0055
Package_Size_3,Network_Latency,0.0054,0.0054
Kerf_Width_Profile,Package_Size_4,0.0054,0.0054
Frequency,Alignment_Time,0.0054,0.0054
Process_Time,Vision_Exposure,-0.0054,0.0054
Laser_Power,Package_Size_1,0.0054,0.0054
Laser_Head_Remain_Time,Package_Size_2,0.0054,0.0054
Laser_Current,Groove_Depth,0.0054,0.0054
Head_Temp,Coating_Flow,0.0054,0.0054
Laser_Current,Process_Time,0.0053,0.0053
Cooling_Flow,Surface_Roughness,-0.0053,0.0053
CLN_Pressure,Coating_Flow,0.0053,0.0053
Laser_Power,PLC_CPU_Load,-0.0053,0.0053
Package_Size_2,Coating_Thickness,-0.0053,0.0053
Network_Latency,LED_Brightness,-0.0053,0.0053
Frequency,Package_Size_1,0.0053,0.0053
Fan_RPM,Factory_Power,-0.0053,0.0053
Room_Noise,Vision_Exposure,0.0053,0.0053
Laser_Current,Kerf_Width_Profile,0.0052,0.0052
Package_Size_4,Room_Noise,-0.0052,0.0052
Laser_Current,Vision_Exposure,0.0052,0.0052
Bottom_Kerf,Fan_RPM,-0.0052,0.0052
Cooling_Flow,LED_Brightness,-0.0052,0.0052
Laser_Centering_Position,Surface_Roughness,0.0052,0.0052
Process_Time,Fan_RPM,0.0051,0.0051
Frequency,Coating_Flow,-0.0051,0.0051
Vibration,Process_Time,0.0051,0.0051
Focus,Coating_Flow,0.0051,0.0051
Coating_Flow,Door_Open_Count,-0.0051,0.0051
Kerf_Width_Profile,Package_Size_2,-0.005,0.005
Laser_Head_Remain_Time,Coating_Uniformity,0.005,0.005
PLC_CPU_Load,Room_Noise,0.005,0.005
Cooling_Flow,Bottom_Kerf,-0.005,0.005
Cooling_Water_Temp,Maintenance_Count,0.005,0.005
CLN_Time,Surface_Roughness,0.0049,0.0049
Cooling_Flow,CLN_Flow,-0.0049,0.0049
Cutting_X_Index,Room_Noise,0.0049,0.0049
Package_Size_2,Maintenance_Count,0.0049,0.0049
Coating_Uniformity,Network_Latency,0.0048,0.0048
Beam_Diameter,Cutting_X_Index,0.0048,0.0048
Kerf_Angle,Package_Size_3,0.0048,0.0048
Frequency,Vision_Exposure,0.0048,0.0048
Cutting_Offset,Vision_Exposure,0.0048,0.0048
Vision_Exposure,Maintenance_Count,0.0048,0.0048
Frequency,Kerf_Width_Profile,-0.0048,0.0048
LED_Brightness,Vision_Exposure,-0.0048,0.0048
Laser_Current,Package_Size_1,-0.0048,0.0048
Cutting_Y_Index,Package_Size_3,0.0047,0.0047
Package_Size_2,PLC_CPU_Load,0.0047,0.0047
Feed_Speed,Bottom_Kerf,0.0047,0.0047
PLC_Memory,Vision_Exposure,0.0047,0.0047
Kerf_Angle,Package_Size_2,-0.0047,0.0047
Frequency,Bottom_Kerf,-0.0047,0.0047
Cutting_Y_Index,LED_Brightness,-0.0047,0.0047
Cooling_Flow,Cooling_Water_Temp,0.0047,0.0047
Power_Efficiency,Laser_Current,-0.0047,0.0047
Power_Efficiency,Laser_Head_Remain_Time,0.0047,0.0047
Laser_Power,Factory_Power,-0.0047,0.0047
Network_Latency,Room_Noise,0.0047,0.0047
Focus,Coating_Thickness,0.0047,0.0047
Kerf_Angle,Coating_Uniformity,-0.0047,0.0047
Groove_Depth,Network_Latency,0.0047,0.0047
Groove_Depth,Factory_Power,-0.0046,0.0046
Focus,Room_Noise,-0.0046,0.0046
Laser_Head_Remain_Time,Door_Open_Count,-0.0046,0.0046
Laser_Head_Remain_Time,Maintenance_Count,-0.0046,0.0046
PLC_Memory,Network_Latency,0.0046,0.0046
Laser_Power,Alignment_Time,0.0046,0.0046
Alignment_Time,CLN_Flow,0.0046,0.0046
Alignment_Time,Room_Noise,0.0045,0.0045
Head_Temp,Beam_Diameter,-0.0045,0.0045
Cooling_Flow,Package_Size_2,0.0045,0.0045
Focus,Maintenance_Count,-0.0045,0.0045
Vibration,Laser_Voltage,0.0045,0.0045
Feed_Speed,Package_Size_4,0.0045,0.0045
Laser_Voltage,Network_Latency,-0.0045,0.0045
Focus,Vision_Exposure,0.0044,0.0044
Cutting_Y_Index,Cooling_Water_Temp,0.0044,0.0044
Cooling_Water_Temp,Package_Size_3,-0.0044,0.0044
PLC_CPU_Load,Door_Open_Count,-0.0044,0.0044
Coating_Uniformity,LED_Brightness,0.0044,0.0044
Process_Time,Factory_Power,-0.0044,0.0044
Groove_Depth,Fan_RPM,-0.0044,0.0044
Package_Size_3,PLC_CPU_Load,0.0044,0.0044
Cooling_Water_Temp,PLC_Memory,-0.0044,0.0044
CLN_Flow,Coating_Uniformity,0.0043,0.0043
Power_Efficiency,Feed_Speed,0.0043,0.0043
Cutting_X_Index,CLN_Flow,0.0043,0.0043
CLN_Flow,Package_Size_2,0.0043,0.0043
Package_Size_4,PLC_CPU_Load,-0.0043,0.0043
Laser_Current,LED_Brightness,0.0043,0.0043
Laser_Centering_Position,Kerf_Angle,0.0043,0.0043
Coating_Flow,Coating_Thickness,-0.0043,0.0043
Laser_Centering_Position,Cooling_Flow,-0.0043,0.0043
Beam_Diameter,Cutting_Y_Index,0.0042,0.0042
Door_Open_Count,Vision_Exposure,0.0042,0.0042
Laser_Power,CLN_Pressure,-0.0042,0.0042
Alignment_Time,Cutting_X_Index,0.0042,0.0042
Coating_Thickness,Surface_Roughness,0.0042,0.0042
Head_Temp,Laser_Head_Remain_Time,-0.0042,0.0042
Cooling_Water_Temp,Coating_Thickness,0.0042,0.0042
Laser_Voltage,CLN_Flow,0.0042,0.0042
Laser_Head_Remain_Time,Top_Kerf,-0.0042,0.0042
Laser_Head_Remain_Time,Kerf_Angle,-0.0042,0.0042
Cooling_Flow,Package_Size_1,0.0042,0.0042
Laser_Current,Room_Noise,-0.0042,0.0042
Focus,Package_Size_2,-0.0042,0.0042
CLN_Time,Kerf_Width_Profile,0.0042,0.0042
Cooling_Flow,Coating_Flow,-0.0042,0.0042
Power_Efficiency,Package_Size_2,0.0041,0.0041
Cutting_X_Index,Maintenance_Count,-0.0041,0.0041
Laser_Voltage,PLC_Memory,0.0041,0.0041
Feed_Speed,Cooling_Water_Temp,0.0041,0.0041
Package_Size_1,Door_Open_Count,0.0041,0.0041
Coating_Flow,Cutting_Offset,-0.0041,0.0041
Kerf_Angle,Package_Size_4,0.0041,0.0041
Package_Size_2,Door_Open_Count,0.0041,0.0041
Laser_Current,CLN_Flow,0.004,0.004
CLN_Flow,Network_Latency,-0.004,0.004
Bottom_Kerf,Factory_Power,0.004,0.004
Head_Temp,Coating_Uniformity,0.004,0.004
Frequency,Package_Size_2,-0.004,0.004
Frequency,Coating_Thickness,0.004,0.004
Vibration,Package_Size_1,-0.0039,0.0039
Power_Efficiency,Kerf_Angle,0.0039,0.0039
Frequency,Vibration,-0.0039,0.0039
Package_Size_1,PLC_CPU_Load,-0.0039,0.0039
Cooling_Flow,Vision_Exposure,-0.0039,0.0039
Beam_Diameter,Door_Open_Count,0.0039,0.0039
Process_Time,Network_Latency,-0.0039,0.0039
Surface_Roughness,PLC_Memory,0.0039,0.0039
Head_Temp,Package_Size_3,0.0039,0.0039
Network_Latency,Factory_Power,-0.0039,0.0039
Top_Kerf,Coating_Thickness,-0.0039,0.0039
Vibration,Package_Size_4,0.0038,0.0038
Power_Efficiency,Process_Time,-0.0038,0.0038
Cutting_Offset,Fan_RPM,-0.0038,0.0038
Package_Size_3,Surface_Roughness,0.0038,0.0038
CLN_Flow,Fan_RPM,0.0038,0.0038
Focus,Fan_RPM,-0.0038,0.0038
Laser_Centering_Position,Frequency,-0.0038,0.0038
CLN_Pressure,Fan_RPM,-0.0038,0.0038
Process_Time,Bottom_Kerf,-0.0038,0.0038
Feed_Speed,Coating_Flow,-0.0038,0.0038
Bottom_Kerf,Network_Latency,0.0038,0.0038
Coating_Uniformity,Cutting_Offset,0.0038,0.0038
Laser_Head_Remain_Time,Package_Size_3,-0.0037,0.0037
Process_Time,Cutting_Y_Index,0.0037,0.0037
Package_Size_2,Room_Noise,0.0037,0.0037
Laser_Power,Package_Size_4,-0.0037,0.0037
Package_Size_4,Fan_RPM,0.0037,0.0037
Laser_Voltage,Package_Size_4,-0.0037,0.0037
Laser_Current,Coating_Thickness,0.0037,0.0037
Coating_Flow,Package_Size_2,0.0037,0.0037
Focus,PLC_CPU_Load,0.0037,0.0037
Feed_Speed,Coating_Thickness,0.0037,0.0037
CLN_Time,PLC_CPU_Load,0.0037,0.0037
Cutting_X_Index,LED_Brightness,-0.0037,0.0037
Package_Size_4,Coating_Uniformity,-0.0037,0.0037
Frequency,Laser_Head_Remain_Time,0.0037,0.0037
Laser_Centering_Position,Cutting_X_Index,-0.0037,0.0037
Process_Time,Package_Size_2,-0.0036,0.0036
Process_Time,LED_Brightness,-0.0036,0.0036
CLN_Pressure,Groove_Depth,0.0036,0.0036
Cutting_X_Index,CLN_Pressure,0.0036,0.0036
Cooling_Water_Temp,Package_Size_2,-0.0036,0.0036
Kerf_Angle,Network_Latency,-0.0036,0.0036
Laser_Current,Cutting_X_Index,-0.0036,0.0036
Process_Time,Coating_Uniformity,-0.0036,0.0036
Cutting_X_Index,Network_Latency,0.0036,0.0036
Laser_Current,Coating_Uniformity,-0.0036,0.0036
CLN_Pressure,Cutting_Offset,0.0036,0.0036
Cooling_Water_Temp,CLN_Pressure,0.0036,0.0036
Process_Time,Door_Open_Count,-0.0035,0.0035
Coating_Flow,Package_Size_3,-0.0035,0.0035
Process_Time,PLC_Memory,0.0035,0.0035
Coating_Uniformity,Fan_RPM,0.0035,0.0035
Coating_Flow,Kerf_Angle,0.0035,0.0035
Process_Time,Cooling_Water_Temp,-0.0035,0.0035
Beam_Diameter,Fan_RPM,0.0035,0.0035
Surface_Roughness,Vision_Exposure,-0.0035,0.0035
Alignment_Time,Bottom_Kerf,-0.0035,0.0035
Laser_Centering_Position,Vision_Exposure,0.0035,0.0035
Laser_Current,Network_Latency,-0.0035,0.0035
Frequency,Cutting_Offset,-0.0035,0.0035
Alignment_Time,CLN_Time,-0.0035,0.0035
Head_Temp,Package_Size_2,-0.0035,0.0035
Fan_RPM,Vision_Exposure,-0.0035,0.0035
Frequency,Cutting_Y_Index,-0.0034,0.0034
Laser_Centering_Position,Coating_Thickness,0.0034,0.0034
Laser_Head_Remain_Time,Factory_Power,0.0034,0.0034
Cutting_Y_Index,CLN_Pressure,0.0034,0.0034
Head_Temp,Process_Time,-0.0034,0.0034
Head_Temp,Room_Noise,0.0034,0.0034
Kerf_Width_Profile,Door_Open_Count,0.0034,0.0034
CLN_Time,Factory_Power,0.0034,0.0034
Power_Efficiency,Coating_Uniformity,0.0034,0.0034
CLN_Pressure,Factory_Power,0.0034,0.0034
Vibration,Cooling_Water_Temp,-0.0034,0.0034
Cutting_X_Index,Coating_Thickness,0.0034,0.0034
Beam_Diameter,CLN_Time,-0.0034,0.0034
Laser_Power,Package_Size_3,-0.0034,0.0034
Cooling_Water_Temp,Laser_Head_Remain_Time,0.0034,0.0034
Bottom_Kerf,Vision_Exposure,0.0033,0.0033
Beam_Diameter,Laser_Head_Remain_Time,0.0033,0.0033
Focus,Cooling_Water_Temp,-0.0033,0.0033
Head_Temp,Fan_RPM,-0.0033,0.0033
Cutting_Offset,PLC_Memory,-0.0033,0.0033
Coating_Flow,Maintenance_Count,-0.0033,0.0033
Focus,Cooling_Flow,-0.0032,0.0032
Coating_Flow,Fan_RPM,0.0032,0.0032
Laser_Voltage,Vision_Exposure,-0.0032,0.0032
Package_Size_2,LED_Brightness,-0.0032,0.0032
Surface_Roughness,Room_Noise,0.0032,0.0032
CLN_Pressure,Laser_Head_Remain_Time,-0.0032,0.0032
Cutting_Y_Index,Coating_Uniformity,0.0032,0.0032
Laser_Power,Coating_Flow,0.0032,0.0032
Cutting_Y_Index,CLN_Flow,0.0032,0.0032
Laser_Power,Frequency,0.0032,0.0032
Kerf_Width_Profile,Room_Noise,-0.0032,0.0032
Laser_Power,Feed_Speed,-0.0032,0.0032
PLC_CPU_Load,PLC_Memory,0.0032,0.0032
Laser_Centering_Position,Laser_Current,0.0032,0.0032
Laser_Current,Cooling_Water_Temp,0.0032,0.0032
Vibration,LED_Brightness,-0.0032,0.0032
Alignment_Time,Vision_Exposure,-0.0032,0.0032
Laser_Voltage,Laser_Head_Remain_Time,0.0032,0.0032
Vibration,Room_Noise,0.0032,0.0032
Cooling_Water_Temp,Top_Kerf,0.0031,0.0031
Vibration,Package_Size_2,-0.0031,0.0031
Alignment_Time,Coating_Uniformity,-0.0031,0.0031
Head_Temp,Laser_Current,0.0031,0.0031
Alignment_Time,Cutting_Offset,-0.0031,0.0031
CLN_Time,Groove_Depth,-0.0031,0.0031
Kerf_Angle,Groove_Depth,-0.0031,0.0031
Coating_Flow,PLC_CPU_Load,-0.0031,0.0031
Groove_Depth,Cutting_Offset,-0.0031,0.0031
Process_Time,CLN_Pressure,-0.0031,0.0031
Kerf_Width_Profile,Fan_RPM,-0.0031,0.0031
CLN_Flow,LED_Brightness,-0.003,0.003
Top_Kerf,Coating_Uniformity,-0.003,0.003
Top_Kerf,Network_Latency,-0.003,0.003
CLN_Flow,Door_Open_Count,0.003,0.003
Laser_Power,Fan_RPM,0.003,0.003
Laser_Centering_Position,Fan_RPM,-0.003,0.003
Feed_Speed,LED_Brightness,0.003,0.003
Frequency,Factory_Power,-0.003,0.003
Head_Temp,Door_Open_Count,0.0029,0.0029
Feed_Speed,Door_Open_Count,0.0029,0.0029
Process_Time,Laser_Head_Remain_Time,-0.0029,0.0029
Vibration,Beam_Diameter,-0.0029,0.0029
Laser_Voltage,Cutting_Offset,0.0029,0.0029
Vibration,Package_Size_3,0.0029,0.0029
Laser_Power,Room_Noise,0.0029,0.0029
Laser_Voltage,Process_Time,0.0029,0.0029
Cooling_Flow,Cutting_Offset,-0.0029,0.0029
Laser_Voltage,Surface_Roughness,0.0029,0.0029
Frequency,Cooling_Flow,-0.0029,0.0029
CLN_Time,Bottom_Kerf,0.0029,0.0029
Frequency,Fan_RPM,-0.0029,0.0029
Feed_Speed,CLN_Flow,-0.0029,0.0029
CLN_Flow,Package_Size_3,0.0029,0.0029
Focus,Cutting_Y_Index,-0.0028,0.0028
Power_Efficiency,Package_Size_3,-0.0028,0.0028
Focus,Network_Latency,-0.0028,0.0028
Package_Size_2,Factory_Power,-0.0028,0.0028
Feed_Speed,Laser_Current,-0.0028,0.0028
Laser_Centering_Position,Door_Open_Count,-0.0028,0.0028
Laser_Current,Bottom_Kerf,0.0028,0.0028
CLN_Flow,Factory_Power,-0.0028,0.0028
Beam_Diameter,Network_Latency,-0.0028,0.0028
Cutting_Y_Index,Bottom_Kerf,-0.0028,0.0028
Beam_Diameter,CLN_Pressure,0.0028,0.0028
Laser_Current,Maintenance_Count,0.0028,0.0028
Alignment_Time,Fan_RPM,0.0028,0.0028
Frequency,Focus,0.0027,0.0027
Power_Efficiency,Factory_Power,0.0027,0.0027
Cooling_Flow,Package_Size_3,0.0027,0.0027
Cooling_Flow,Package_Size_4,-0.0027,0.0027
Beam_Diameter,LED_Brightness,-0.0027,0.0027
Frequency,Package_Size_4,-0.0027,0.0027
Vibration,Laser_Head_Remain_Time,-0.0027,0.0027
Laser_Current,Cutting_Offset,0.0027,0.0027
Beam_Diameter,PLC_Memory,-0.0027,0.0027
Head_Temp,Network_Latency,-0.0027,0.0027
Frequency,Surface_Roughness,0.0027,0.0027
Beam_Diameter,Package_Size_2,-0.0027,0.0027
Vibration,Coating_Flow,-0.0027,0.0027
Top_Kerf,PLC_CPU_Load,0.0027,0.0027
Top_Kerf,Door_Open_Count,0.0027,0.0027
Cutting_Y_Index,Cooling_Flow,-0.0027,0.0027
Power_Efficiency,Beam_Diameter,0.0027,0.0027
Cooling_Water_Temp,Fan_RPM,0.0027,0.0027
Laser_Power,PLC_Memory,0.0027,0.0027
Coating_Thickness,Fan_RPM,-0.0027,0.0027
Feed_Speed,Vision_Exposure,-0.0026,0.0026
CLN_Pressure,PLC_Memory,-0.0026,0.0026
Cutting_X_Index,Cutting_Offset,-0.0026,0.0026
Feed_Speed,Cooling_Flow,-0.0026,0.0026
Coating_Thickness,Factory_Power,-0.0026,0.0026
CLN_Pressure,Kerf_Width_Profile,0.0026,0.0026
Laser_Voltage,Kerf_Width_Profile,0.0026,0.0026
Coating_Thickness,Cutting_Offset,0.0026,0.0026
Alignment_Time,Package_Size_2,0.0026,0.0026
Package_Size_4,Surface_Roughness,0.0026,0.0026
Laser_Current,CLN_Pressure,-0.0026,0.0026
Laser_Power,Process_Time,0.0026,0.0026
Frequency,Room_Noise,-0.0026,0.0026
Door_Open_Count,Factory_Power,-0.0026,0.0026
Groove_Depth,Vision_Exposure,-0.0026,0.0026
Laser_Power,Coating_Uniformity,-0.0026,0.0026
Groove_Depth,Coating_Uniformity,0.0026,0.0026
Laser_Current,Laser_Voltage,0.0026,0.0026
Alignment_Time,LED_Brightness,-0.0026,0.0026
Network_Latency,Door_Open_Count,-0.0025,0.0025
CLN_Flow,Coating_Flow,-0.0025,0.0025
Power_Efficiency,Laser_Voltage,0.0025,0.0025
Coating_Uniformity,Maintenance_Count,-0.0025,0.0025
Cutting_Offset,LED_Brightness,-0.0025,0.0025
Alignment_Time,Top_Kerf,-0.0025,0.0025
CLN_Pressure,Package_Size_1,0.0025,0.0025
Laser_Head_Remain_Time,PLC_Memory,0.0025,0.0025
Package_Size_1,Maintenance_Count,0.0025,0.0025
Coating_Flow,Coating_Uniformity,-0.0025,0.0025
Surface_Roughness,LED_Brightness,0.0025,0.0025
CLN_Time,Package_Size_1,0.0025,0.0025
Kerf_Angle,PLC_CPU_Load,0.0025,0.0025
Laser_Current,PLC_CPU_Load,0.0025,0.0025
Cooling_Water_Temp,Kerf_Width_Profile,-0.0025,0.0025
Cutting_Y_Index,Package_Size_4,-0.0025,0.0025
Package_Size_3,PLC_Memory,-0.0025,0.0025
Focus,CLN_Time,-0.0024,0.0024
Laser_Current,Kerf_Angle,0.0024,0.0024
Laser_Centering_Position,Cooling_Water_Temp,0.0024,0.0024
Laser_Current,CLN_Time,-0.0024,0.0024
Package_Size_1,Factory_Power,0.0024,0.0024
Kerf_Width_Profile,Network_Latency,0.0024,0.0024
CLN_Pressure,Door_Open_Count,-0.0024,0.0024
