variable_1,variable_2,spearman_r,absolute_r
Micro_Crack_Die,Fail_Die,0.0624,0.0624
Micro_Crack,Yield,-0.0624,0.0624
Micro_Crack_Die,Yield,-0.0624,0.0624
Top_Kerf,Package_Size_2,0.0607,0.0607
Top_Kerf,Kerf_Angle,0.0606,0.0606
Top_Kerf,Package_Size_3,-0.0596,0.0596
Focus,Top_Kerf,0.0554,0.0554
Kerf_Width_Profile,Kerf_Angle,0.0539,0.0539
Vibration,Bottom_Kerf,0.0535,0.0535
Focus,Vibration,0.0519,0.0519
Head_Temp,Vibration,0.0513,0.0513
Laser_Power,Vibration,-0.0506,0.0506
Focus,Bottom_Kerf,0.0504,0.0504
Vibration,Top_Kerf,0.0501,0.0501
Laser_Power,Power_Efficiency,0.0488,0.0488
Vibration,Kerf_Width_Profile,0.0446,0.0446
Bottom_Kerf,Surface_Roughness,0.0437,0.0437
CLN_Pressure,Particle_Die,-0.0437,0.0437
Focus,Kerf_Width_Profile,0.0427,0.0427
Top_Kerf,Surface_Roughness,0.0424,0.0424
CLN_Pressure,Particle,-0.0418,0.0418
Vibration,CLN_Flow,-0.0412,0.0412
Power_Efficiency,Vibration,-0.0394,0.0394
Coating_Thickness,Fail_Die,-0.0392,0.0392
Coating_Thickness,Yield,0.0392,0.0392
CLN_Flow,Remain_Coat_Die,-0.0385,0.0385
CLN_Flow,Remain_Coat,-0.038,0.038
Kerf_Width_Profile,Surface_Roughness,0.0372,0.0372
Focus,Head_Temp,0.0371,0.0371
Focus,Kerf_Angle,0.0317,0.0317
Laser_Power,CLN_Flow,-0.0293,0.0293
CLN_Flow,Top_Kerf,0.0288,0.0288
Micro_Crack_Die,Edge_Burn_Die,0.0287,0.0287
Micro_Crack,Edge_Burn_Die,0.0287,0.0287
Micro_Crack_Die,Edge_Burn,0.0285,0.0285
Micro_Crack,Edge_Burn,0.0285,0.0285
CLN_Flow,Bottom_Kerf,0.0285,0.0285
Frequency,Micro_Crack,0.0275,0.0275
Frequency,Micro_Crack_Die,0.0275,0.0275
Surface_Roughness,Edge_Burn,0.0271,0.0271
Surface_Roughness,Edge_Burn_Die,0.0269,0.0269
Power_Efficiency,CLN_Flow,-0.0255,0.0255
Top_Kerf,Edge_Burn,0.0244,0.0244
Laser_Power,Focus,-0.024,0.024
Top_Kerf,Edge_Burn_Die,0.0239,0.0239
CLN_Flow,Kerf_Width_Profile,0.0224,0.0224
Bottom_Kerf,Edge_Burn,0.0224,0.0224
Kerf_Width_Profile,Edge_Burn,0.0221,0.0221
Bottom_Kerf,Edge_Burn_Die,0.0219,0.0219
Kerf_Width_Profile,Edge_Burn_Die,0.0216,0.0216
CLN_Flow,Yield,0.0216,0.0216
CLN_Flow,Fail_Die,-0.0216,0.0216
Chipping,Yield,-0.0213,0.0213
Vibration,Groove_Depth,-0.0213,0.0213
Chipping,Fail_Die,0.0213,0.0213
Chipping_Die,Fail_Die,0.0213,0.0213
Chipping_Die,Yield,-0.0213,0.0213
Coating_Thickness,Particle_Die,-0.0209,0.0209
Head_Temp,CLN_Flow,0.02,0.02
Head_Temp,Top_Kerf,0.02,0.02
Coating_Thickness,Particle,-0.0199,0.0199
Frequency,Yield,-0.0183,0.0183
Frequency,Fail_Die,0.0183,0.0183
Power_Efficiency,Laser_Centering_Position,-0.0182,0.0182
Laser_Centering_Position,Kerf_Width_Profile,0.0182,0.0182
Head_Temp,Bottom_Kerf,0.018,0.018
Power_Efficiency,Cutting_Offset,-0.0174,0.0174
Laser_Power,Head_Temp,-0.0166,0.0166
CLN_Flow,Surface_Roughness,-0.0164,0.0164
Laser_Power,Surface_Roughness,-0.0161,0.0161
Kerf_Width_Profile,Cutting_Offset,0.0157,0.0157
Focus,CLN_Flow,0.0156,0.0156
Surface_Roughness,Micro_Crack_Die,0.0155,0.0155
Head_Temp,Kerf_Width_Profile,0.0155,0.0155
Surface_Roughness,Micro_Crack,0.0155,0.0155
Focus,Surface_Roughness,0.0152,0.0152
Head_Temp,Surface_Roughness,0.0152,0.0152
Top_Kerf,Micro_Crack_Die,0.0145,0.0145
Top_Kerf,Micro_Crack,0.0145,0.0145
CLN_Flow,Particle_Die,-0.0144,0.0144
CLN_Flow,Groove_Depth,-0.014,0.014
Power_Efficiency,Surface_Roughness,-0.014,0.014
CLN_Flow,Particle,-0.014,0.014
Bottom_Kerf,Yield,-0.014,0.014
Bottom_Kerf,Fail_Die,0.014,0.014
Top_Kerf,Yield,-0.0134,0.0134
Top_Kerf,Fail_Die,0.0134,0.0134
Focus,Groove_Depth,-0.0131,0.0131
Power_Efficiency,Focus,-0.0126,0.0126
Bottom_Kerf,Micro_Crack,0.0121,0.0121
Bottom_Kerf,Micro_Crack_Die,0.0121,0.0121
Kerf_Width_Profile,Micro_Crack_Die,0.0115,0.0115
Kerf_Width_Profile,Micro_Crack,0.0115,0.0115
Vibration,Cooling_Flow,-0.0114,0.0114
Bottom_Kerf,Particle,0.0112,0.0112
Kerf_Width_Profile,Chipping_Die,0.011,0.011
Kerf_Width_Profile,Chipping,0.011,0.011
Kerf_Width_Profile,Yield,-0.0109,0.0109
Kerf_Width_Profile,Fail_Die,0.0109,0.0109
Laser_Power,Chipping_Die,-0.0108,0.0108
Laser_Power,Chipping,-0.0108,0.0108
Bottom_Kerf,Particle_Die,0.0105,0.0105
Bottom_Kerf,Chipping_Die,0.0104,0.0104
Bottom_Kerf,Chipping,0.0104,0.0104
Laser_Power,Laser_Centering_Position,-0.0101,0.0101
CLN_Time,Fan_RPM,0.0101,0.0101
Power_Efficiency,Head_Temp,-0.01,0.01
Head_Temp,Cooling_Flow,-0.01,0.01
Cutting_Offset,Network_Latency,0.0099,0.0099
Top_Kerf,Chipping_Die,0.0099,0.0099
Top_Kerf,Chipping,0.0099,0.0099
Top_Kerf,Particle,0.0097,0.0097
Vibration,Cutting_Offset,0.0096,0.0096
Kerf_Width_Profile,Package_Size_1,-0.0095,0.0095
Groove_Depth,Surface_Roughness,-0.0094,0.0094
Laser_Power,Cutting_Offset,-0.0094,0.0094
Groove_Depth,Chipping_Die,-0.0092,0.0092
Groove_Depth,Chipping,-0.0092,0.0092
Top_Kerf,Particle_Die,0.0091,0.0091
Edge_Burn,Network_Latency,-0.009,0.009
Alignment_Time,Yield,-0.0088,0.0088
Head_Temp,Kerf_Angle,0.0088,0.0088
Alignment_Time,Fail_Die,0.0088,0.0088
Laser_Power,Remain_Coat,0.0087,0.0087
Laser_Power,Remain_Coat_Die,0.0087,0.0087
Cutting_Y_Index,Door_Open_Count,-0.0087,0.0087
Cooling_Flow,Particle_Die,-0.0086,0.0086
Cooling_Flow,Particle,-0.0085,0.0085
Coating_Thickness,Maintenance_Count,0.0084,0.0084
Package_Size_3,Micro_Crack,0.0083,0.0083
Laser_Head_Remain_Time,Groove_Depth,-0.0083,0.0083
Package_Size_3,Micro_Crack_Die,0.0083,0.0083
Laser_Centering_Position,Network_Latency,0.0083,0.0083
Laser_Power,Kerf_Angle,-0.0082,0.0082
PLC_Memory,Door_Open_Count,0.0082,0.0082
Kerf_Width_Profile,Package_Size_3,0.0082,0.0082
Laser_Head_Remain_Time,Surface_Roughness,-0.0081,0.0081
Coating_Uniformity,Remain_Coat,-0.0081,0.0081
Coating_Uniformity,Remain_Coat_Die,-0.0081,0.0081
Alignment_Time,Laser_Head_Remain_Time,-0.008,0.008
Edge_Burn_Die,Network_Latency,-0.0079,0.0079
Package_Size_4,Network_Latency,0.0078,0.0078
Yield,Maintenance_Count,0.0078,0.0078
Power_Efficiency,Vision_Exposure,-0.0078,0.0078
Package_Size_3,Maintenance_Count,0.0078,0.0078
Vibration,Kerf_Angle,0.0078,0.0078
Fail_Die,Maintenance_Count,-0.0078,0.0078
Process_Time,Package_Size_3,-0.0077,0.0077
Remain_Coat_Die,PLC_Memory,-0.0077,0.0077
Power_Efficiency,Package_Size_1,0.0077,0.0077
Remain_Coat,PLC_Memory,-0.0077,0.0077
CLN_Time,Micro_Crack_Die,-0.0076,0.0076
CLN_Time,Kerf_Angle,0.0076,0.0076
CLN_Time,Micro_Crack,-0.0076,0.0076
Cutting_Y_Index,Coating_Flow,0.0075,0.0075
Head_Temp,Groove_Depth,-0.0074,0.0074
CLN_Flow,Cutting_Offset,0.0074,0.0074
Coating_Flow,Kerf_Width_Profile,-0.0074,0.0074
Beam_Diameter,Factory_Power,-0.0073,0.0073
Alignment_Time,Particle_Die,0.0073,0.0073
Power_Efficiency,Particle,-0.0072,0.0072
Micro_Crack_Die,PLC_CPU_Load,-0.0072,0.0072
Power_Efficiency,Package_Size_4,-0.0072,0.0072
Micro_Crack,PLC_CPU_Load,-0.0072,0.0072
Alignment_Time,Kerf_Angle,-0.0071,0.0071
Laser_Centering_Position,Vibration,0.0071,0.0071
Frequency,Remain_Coat,-0.0071,0.0071
Frequency,Remain_Coat_Die,-0.0071,0.0071
Alignment_Time,Particle,0.007,0.007
PLC_CPU_Load,Network_Latency,0.007,0.007
Vibration,Cutting_Y_Index,0.007,0.007
Frequency,LED_Brightness,0.007,0.007
Cooling_Water_Temp,Cutting_Offset,0.0069,0.0069
CLN_Pressure,Chipping,0.0068,0.0068
Cutting_X_Index,Cooling_Flow,-0.0068,0.0068
CLN_Pressure,Chipping_Die,0.0068,0.0068
Coating_Thickness,Room_Noise,-0.0067,0.0067
Laser_Power,CLN_Time,-0.0067,0.0067
Head_Temp,PLC_Memory,0.0067,0.0067
Laser_Centering_Position,CLN_Flow,0.0066,0.0066
Cooling_Flow,Factory_Power,0.0066,0.0066
Kerf_Width_Profile,Particle,0.0065,0.0065
Package_Size_2,Remain_Coat,0.0065,0.0065
Power_Efficiency,Door_Open_Count,-0.0064,0.0064
Particle_Die,Maintenance_Count,-0.0064,0.0064
Cooling_Flow,Fail_Die,-0.0064,0.0064
Cooling_Flow,Yield,0.0064,0.0064
Power_Efficiency,Particle_Die,-0.0064,0.0064
Feed_Speed,Remain_Coat_Die,0.0064,0.0064
Power_Efficiency,Yield,0.0064,0.0064
Package_Size_4,Particle,0.0064,0.0064
Feed_Speed,Remain_Coat,0.0064,0.0064
Power_Efficiency,Fail_Die,-0.0064,0.0064
Package_Size_2,Remain_Coat_Die,0.0064,0.0064
Cutting_Y_Index,Network_Latency,-0.0063,0.0063
Beam_Diameter,Kerf_Angle,0.0063,0.0063
Cooling_Water_Temp,LED_Brightness,0.0063,0.0063
CLN_Flow,CLN_Pressure,0.0063,0.0063
Laser_Voltage,Package_Size_3,0.0063,0.0063
Kerf_Angle,Cutting_Offset,0.0063,0.0063
Package_Size_4,Particle_Die,0.0062,0.0062
Alignment_Time,Process_Time,0.0062,0.0062
Package_Size_1,Surface_Roughness,-0.0062,0.0062
CLN_Flow,Package_Size_1,-0.0062,0.0062
PLC_CPU_Load,Fan_RPM,-0.0062,0.0062
Particle,Maintenance_Count,-0.0062,0.0062
Cutting_Offset,Surface_Roughness,0.0061,0.0061
Process_Time,Room_Noise,-0.0061,0.0061
Frequency,CLN_Time,-0.0061,0.0061
LED_Brightness,Maintenance_Count,-0.0061,0.0061
Power_Efficiency,PLC_CPU_Load,-0.0061,0.0061
Kerf_Angle,Maintenance_Count,-0.0061,0.0061
Focus,Laser_Head_Remain_Time,-0.0061,0.0061
Laser_Voltage,Maintenance_Count,-0.0061,0.0061
Beam_Diameter,Room_Noise,0.0061,0.0061
Bottom_Kerf,PLC_Memory,-0.0061,0.0061
Frequency,Groove_Depth,0.0061,0.0061
Cutting_Y_Index,Package_Size_1,0.006,0.006
Chipping_Die,Vision_Exposure,-0.006,0.006
Chipping,Vision_Exposure,-0.006,0.006
Edge_Burn_Die,Door_Open_Count,0.006,0.006
Cutting_X_Index,PLC_CPU_Load,-0.006,0.006
Cooling_Flow,Kerf_Angle,0.006,0.006
CLN_Flow,Vision_Exposure,0.0059,0.0059
Kerf_Width_Profile,Particle_Die,0.0059,0.0059
Laser_Power,Micro_Crack,-0.0059,0.0059
Laser_Power,Micro_Crack_Die,-0.0059,0.0059
Alignment_Time,Edge_Burn,0.0059,0.0059
Edge_Burn,PLC_CPU_Load,-0.0059,0.0059
Cooling_Water_Temp,Door_Open_Count,0.0058,0.0058
Beam_Diameter,Cooling_Water_Temp,0.0058,0.0058
Power_Efficiency,PLC_Memory,0.0058,0.0058
Bottom_Kerf,PLC_CPU_Load,0.0058,0.0058
Micro_Crack,Vision_Exposure,-0.0057,0.0057
Micro_Crack_Die,Vision_Exposure,-0.0057,0.0057
Alignment_Time,Edge_Burn_Die,0.0057,0.0057
Coating_Uniformity,PLC_Memory,-0.0057,0.0057
Laser_Voltage,Cooling_Flow,0.0057,0.0057
Cutting_X_Index,PLC_Memory,0.0057,0.0057
Vibration,Micro_Crack_Die,0.0056,0.0056
Cooling_Flow,Coating_Thickness,0.0056,0.0056
Frequency,CLN_Flow,0.0056,0.0056
Feed_Speed,Room_Noise,0.0056,0.0056
Vibration,Micro_Crack,0.0056,0.0056
Vibration,CLN_Time,0.0056,0.0056
Surface_Roughness,Remain_Coat,-0.0056,0.0056
Surface_Roughness,Remain_Coat_Die,-0.0056,0.0056
PLC_Memory,Room_Noise,0.0056,0.0056
Beam_Diameter,Coating_Uniformity,0.0056,0.0056
CLN_Time,LED_Brightness,-0.0056,0.0056
Cooling_Water_Temp,Chipping,0.0055,0.0055
PLC_Memory,Maintenance_Count,-0.0055,0.0055
Cutting_Y_Index,Kerf_Angle,0.0055,0.0055
Power_Efficiency,Cutting_Y_Index,0.0055,0.0055
Cooling_Water_Temp,Chipping_Die,0.0055,0.0055
Laser_Head_Remain_Time,Package_Size_2,0.0054,0.0054
Package_Size_3,Network_Latency,0.0054,0.0054
Kerf_Width_Profile,Package_Size_4,0.0054,0.0054
Laser_Current,Groove_Depth,0.0054,0.0054
Head_Temp,Coating_Flow,0.0054,0.0054
Frequency,Alignment_Time,0.0054,0.0054
Process_Time,Vision_Exposure,-0.0054,0.0054
Edge_Burn_Die,Room_Noise,-0.0054,0.0054
Laser_Power,Package_Size_1,0.0054,0.0054
Package_Size_2,Coating_Thickness,-0.0053,0.0053
Laser_Current,Process_Time,0.0053,0.0053
Room_Noise,Vision_Exposure,0.0053,0.0053
Top_Kerf,Remain_Coat_Die,-0.0053,0.0053
Fan_RPM,Factory_Power,-0.0053,0.0053
Laser_Power,PLC_CPU_Load,-0.0053,0.0053
Chipping_Die,Factory_Power,0.0053,0.0053
Network_Latency,LED_Brightness,-0.0053,0.0053
Edge_Burn_Die,PLC_CPU_Load,-0.0053,0.0053
CLN_Pressure,Coating_Flow,0.0053,0.0053
Cooling_Flow,Surface_Roughness,-0.0053,0.0053
Top_Kerf,Remain_Coat,-0.0053,0.0053
Frequency,Package_Size_1,0.0053,0.0053
Particle,Edge_Burn_Die,0.0053,0.0053
Edge_Burn,Door_Open_Count,0.0053,0.0053
Chipping,Factory_Power,0.0053,0.0053
Laser_Centering_Position,Surface_Roughness,0.0052,0.0052
Bottom_Kerf,Fan_RPM,-0.0052,0.0052
Laser_Current,Kerf_Width_Profile,0.0052,0.0052
Package_Size_4,Room_Noise,-0.0052,0.0052
Cooling_Flow,LED_Brightness,-0.0052,0.0052
Laser_Current,Vision_Exposure,0.0052,0.0052
Coating_Flow,Door_Open_Count,-0.0051,0.0051
Process_Time,Fan_RPM,0.0051,0.0051
Vibration,Process_Time,0.0051,0.0051
Feed_Speed,Yield,-0.0051,0.0051
Feed_Speed,Fail_Die,0.0051,0.0051
Head_Temp,Particle,0.0051,0.0051
Edge_Burn,Room_Noise,-0.0051,0.0051
Focus,Coating_Flow,0.0051,0.0051
Head_Temp,Particle_Die,0.0051,0.0051
Frequency,Coating_Flow,-0.0051,0.0051
Particle_Die,Edge_Burn_Die,0.0051,0.0051
Cooling_Flow,Bottom_Kerf,-0.005,0.005
Cooling_Water_Temp,Maintenance_Count,0.005,0.005
PLC_CPU_Load,Room_Noise,0.005,0.005
Laser_Head_Remain_Time,Coating_Uniformity,0.005,0.005
Kerf_Width_Profile,Package_Size_2,-0.005,0.005
Chipping,Room_Noise,-0.005,0.005
Chipping_Die,Room_Noise,-0.005,0.005
Package_Size_4,Yield,-0.0049,0.0049
Remain_Coat,Fan_RPM,0.0049,0.0049
Package_Size_4,Fail_Die,0.0049,0.0049
Package_Size_2,Maintenance_Count,0.0049,0.0049
Cooling_Flow,CLN_Flow,-0.0049,0.0049
CLN_Time,Surface_Roughness,0.0049,0.0049
Remain_Coat_Die,Fan_RPM,0.0049,0.0049
Laser_Head_Remain_Time,Particle_Die,-0.0049,0.0049
Power_Efficiency,Chipping,-0.0049,0.0049
Power_Efficiency,Chipping_Die,-0.0049,0.0049
Cutting_X_Index,Room_Noise,0.0049,0.0049
Laser_Head_Remain_Time,Fail_Die,-0.0049,0.0049
Laser_Head_Remain_Time,Yield,0.0049,0.0049
Particle,Edge_Burn,0.0049,0.0049
Cutting_Offset,Vision_Exposure,0.0048,0.0048
Kerf_Angle,Package_Size_3,0.0048,0.0048
Laser_Current,Package_Size_1,-0.0048,0.0048
Alignment_Time,Micro_Crack_Die,0.0048,0.0048
Alignment_Time,Micro_Crack,0.0048,0.0048
Frequency,Vision_Exposure,0.0048,0.0048
LED_Brightness,Vision_Exposure,-0.0048,0.0048
Vision_Exposure,Maintenance_Count,0.0048,0.0048
Frequency,Kerf_Width_Profile,-0.0048,0.0048
Coating_Uniformity,Network_Latency,0.0048,0.0048
Beam_Diameter,Cutting_X_Index,0.0048,0.0048
Head_Temp,Remain_Coat,-0.0048,0.0048
Head_Temp,Remain_Coat_Die,-0.0048,0.0048
Power_Efficiency,Laser_Current,-0.0047,0.0047
Cutting_Y_Index,Package_Size_3,0.0047,0.0047
Focus,Coating_Thickness,0.0047,0.0047
Cooling_Flow,Cooling_Water_Temp,0.0047,0.0047
Power_Efficiency,Laser_Head_Remain_Time,0.0047,0.0047
Cutting_Y_Index,LED_Brightness,-0.0047,0.0047
Laser_Head_Remain_Time,Particle,-0.0047,0.0047
Laser_Power,Factory_Power,-0.0047,0.0047
Frequency,Bottom_Kerf,-0.0047,0.0047
Package_Size_2,PLC_CPU_Load,0.0047,0.0047
Groove_Depth,Network_Latency,0.0047,0.0047
Particle_Die,Edge_Burn,0.0047,0.0047
Feed_Speed,Bottom_Kerf,0.0047,0.0047
Kerf_Angle,Coating_Uniformity,-0.0047,0.0047
PLC_Memory,Vision_Exposure,0.0047,0.0047
Network_Latency,Room_Noise,0.0047,0.0047
Kerf_Angle,Package_Size_2,-0.0047,0.0047
Micro_Crack,Fan_RPM,0.0046,0.0046
Focus,Room_Noise,-0.0046,0.0046
Laser_Head_Remain_Time,Maintenance_Count,-0.0046,0.0046
Alignment_Time,CLN_Flow,0.0046,0.0046
Laser_Head_Remain_Time,Door_Open_Count,-0.0046,0.0046
PLC_Memory,Network_Latency,0.0046,0.0046
Laser_Power,Alignment_Time,0.0046,0.0046
Groove_Depth,Factory_Power,-0.0046,0.0046
Micro_Crack_Die,Fan_RPM,0.0046,0.0046
Focus,Maintenance_Count,-0.0045,0.0045
Cooling_Flow,Package_Size_2,0.0045,0.0045
Feed_Speed,Edge_Burn_Die,0.0045,0.0045
Head_Temp,Beam_Diameter,-0.0045,0.0045
Alignment_Time,Room_Noise,0.0045,0.0045
Cutting_Y_Index,Particle,-0.0045,0.0045
Cutting_Y_Index,Particle_Die,-0.0045,0.0045
Vibration,Laser_Voltage,0.0045,0.0045
Bottom_Kerf,Remain_Coat,-0.0045,0.0045
Feed_Speed,Package_Size_4,0.0045,0.0045
Laser_Voltage,Network_Latency,-0.0045,0.0045
Bottom_Kerf,Remain_Coat_Die,-0.0045,0.0045
Coating_Uniformity,LED_Brightness,0.0044,0.0044
Groove_Depth,Fan_RPM,-0.0044,0.0044
Cutting_Y_Index,Cooling_Water_Temp,0.0044,0.0044
Remain_Coat_Die,PLC_CPU_Load,-0.0044,0.0044
Remain_Coat,PLC_CPU_Load,-0.0044,0.0044
Package_Size_2,Chipping,0.0044,0.0044
Package_Size_2,Chipping_Die,0.0044,0.0044
PLC_CPU_Load,Door_Open_Count,-0.0044,0.0044
Process_Time,Factory_Power,-0.0044,0.0044
Focus,Vision_Exposure,0.0044,0.0044
Laser_Head_Remain_Time,Remain_Coat_Die,-0.0044,0.0044
Cooling_Water_Temp,PLC_Memory,-0.0044,0.0044
Chipping_Die,Door_Open_Count,-0.0044,0.0044
Package_Size_3,PLC_CPU_Load,0.0044,0.0044
Laser_Head_Remain_Time,Remain_Coat,-0.0044,0.0044
Laser_Voltage,Chipping_Die,-0.0044,0.0044
Cooling_Water_Temp,Package_Size_3,-0.0044,0.0044
Chipping,Door_Open_Count,-0.0044,0.0044
Laser_Voltage,Chipping,-0.0044,0.0044
Alignment_Time,Chipping,-0.0043,0.0043
Alignment_Time,Chipping_Die,-0.0043,0.0043
Coating_Flow,Coating_Thickness,-0.0043,0.0043
Cutting_X_Index,CLN_Flow,0.0043,0.0043
Power_Efficiency,Feed_Speed,0.0043,0.0043
Laser_Centering_Position,Cooling_Flow,-0.0043,0.0043
Laser_Centering_Position,Kerf_Angle,0.0043,0.0043
Vibration,Remain_Coat_Die,0.0043,0.0043
Package_Size_4,PLC_CPU_Load,-0.0043,0.0043
CLN_Flow,Coating_Uniformity,0.0043,0.0043
Laser_Current,LED_Brightness,0.0043,0.0043
CLN_Flow,Package_Size_2,0.0043,0.0043
Vibration,Remain_Coat,0.0043,0.0043
Laser_Voltage,CLN_Flow,0.0042,0.0042
Beam_Diameter,Cutting_Y_Index,0.0042,0.0042
Laser_Head_Remain_Time,Kerf_Angle,-0.0042,0.0042
Focus,Package_Size_2,-0.0042,0.0042
Laser_Power,CLN_Pressure,-0.0042,0.0042
Alignment_Time,Cutting_X_Index,0.0042,0.0042
Laser_Voltage,Remain_Coat_Die,-0.0042,0.0042
Laser_Head_Remain_Time,Top_Kerf,-0.0042,0.0042
Door_Open_Count,Vision_Exposure,0.0042,0.0042
CLN_Time,Kerf_Width_Profile,0.0042,0.0042
Coating_Flow,Edge_Burn_Die,0.0042,0.0042
Coating_Thickness,Surface_Roughness,0.0042,0.0042
Laser_Voltage,Remain_Coat,-0.0042,0.0042
Cooling_Water_Temp,Coating_Thickness,0.0042,0.0042
Coating_Flow,Edge_Burn,0.0042,0.0042
Laser_Current,Room_Noise,-0.0042,0.0042
Cooling_Flow,Coating_Flow,-0.0042,0.0042
Head_Temp,Laser_Head_Remain_Time,-0.0042,0.0042
Cooling_Flow,Package_Size_1,0.0042,0.0042
Package_Size_1,Door_Open_Count,0.0041,0.0041
Coating_Flow,Cutting_Offset,-0.0041,0.0041
Kerf_Angle,Package_Size_4,0.0041,0.0041
Power_Efficiency,Package_Size_2,0.0041,0.0041
Feed_Speed,Cooling_Water_Temp,0.0041,0.0041
Cutting_X_Index,Maintenance_Count,-0.0041,0.0041
Laser_Voltage,PLC_Memory,0.0041,0.0041
Cooling_Flow,Chipping,0.0041,0.0041
Package_Size_2,Door_Open_Count,0.0041,0.0041
Cooling_Flow,Chipping_Die,0.0041,0.0041
Alignment_Time,Remain_Coat,0.004,0.004
Alignment_Time,Remain_Coat_Die,0.004,0.004
Bottom_Kerf,Factory_Power,0.004,0.004
CLN_Flow,Network_Latency,-0.004,0.004
Cooling_Water_Temp,Particle,-0.004,0.004
Head_Temp,Coating_Uniformity,0.004,0.004
Laser_Current,CLN_Flow,0.004,0.004
