,Laser_Power,Power_Efficiency,Laser_Centering_Position,Frequency,Feed_Speed,Focus,Head_Temp,Vibration,Laser_Current,Laser_Voltage,Beam_Diameter,Alignment_Time,Process_Time,Cutting_X_Index,Cutting_Y_Index,Cooling_Flow,Cooling_Water_Temp,CLN_Flow,CLN_Pressure,Coating_Flow,CLN_Time,Laser_Head_Remain_Time,Kerf_Width_Profile,Top_Kerf,Bottom_Kerf,Kerf_Angle,Groove_Depth,Package_Size_1,Package_Size_2,Package_Size_3,Package_Size_4,Coating_Thickness,Coating_Uniformity,Cutting_Offset,Surface_Roughness,Chipping,Chipping_Die,Remain_Coat,Remain_Coat_Die,Particle,Particle_Die,Micro_Crack,Micro_Crack_Die,Laser_Paim,Laser_Paim_Die,Fail_Die,Yield,PLC_CPU_Load,PLC_Memory,Network_Latency,LED_Brightness,Room_Noise,Door_Open_Count,Fan_RPM,Vision_Exposure,Maintenance_Count,Factory_Power
CLN_Time,-0.0067,0.0017,0.002,-0.0061,0.002,-0.0024,-0.0011,0.0056,-0.0024,0.0021,-0.0034,-0.0035,0.0023,0.0002,-0.0003,-0.0017,-0.0013,0.0014,0.0003,-0.0001,1.0,0.002,0.0042,0.0013,0.0029,0.0076,-0.0031,0.0025,-0.0002,0.0012,0.001,0.0014,0.0004,-0.0,0.0049,0.003,0.003,-0.0017,-0.0016,-0.0008,-0.0002,-0.0076,-0.0076,,,-0.0017,0.0017,0.0037,0.0019,-0.0005,-0.0056,-0.0003,-0.0023,0.0101,0.0007,-0.0021,0.0034
Laser_Head_Remain_Time,0.0011,0.0047,0.0008,0.0037,0.0024,-0.0061,-0.0042,-0.0027,0.0014,0.0032,0.0033,-0.008,-0.0029,-0.0023,0.0004,-0.0016,0.0034,-0.0024,-0.0032,-0.0016,0.002,1.0,0.001,-0.0042,-0.0002,-0.0042,-0.0083,-0.0004,0.0054,-0.0037,0.0002,-0.002,0.005,0.0019,-0.0081,-0.0022,-0.0022,-0.0044,-0.0044,-0.0047,-0.0049,0.0024,0.0024,,,-0.0049,0.0049,-0.0003,0.0025,-0.0004,0.0006,-0.0017,-0.0046,-0.0009,-0.0009,-0.0046,0.0034
Kerf_Width_Profile,-0.5788,-0.2245,0.0182,-0.0048,0.0007,0.0427,0.0155,0.0446,0.0052,0.0026,0.0019,-0.0015,-0.0011,-0.0023,0.0001,0.0,-0.0025,0.0224,0.0026,-0.0074,0.0042,0.001,1.0,0.5684,0.5689,0.0539,-0.2269,-0.0095,-0.005,0.0082,0.0054,-0.001,0.0001,0.0157,0.0372,0.011,0.011,-0.0017,-0.0017,0.0065,0.0059,0.0115,0.0115,,,0.0109,-0.0109,0.002,-0.0021,0.0024,-0.0009,-0.0032,0.0034,-0.0031,0.0007,-0.0009,0.001
Top_Kerf,-0.681,-0.2623,-0.1992,-0.0016,0.0013,0.0554,0.02,0.0501,0.0005,-0.0012,-0.0011,-0.0025,-0.0022,-0.0008,-0.0002,-0.002,0.0031,0.0288,0.0012,-0.0023,0.0013,-0.0042,0.5684,1.0,0.6139,0.0606,-0.262,0.1019,0.0607,-0.0596,-0.1026,-0.0039,-0.003,-0.1636,0.0424,0.0099,0.0099,-0.0053,-0.0053,0.0097,0.0091,0.0145,0.0145,,,0.0134,-0.0134,0.0027,0.0002,-0.003,0.0014,-0.0023,0.0027,-0.0017,-0.0024,-0.0016,0.0011
Bottom_Kerf,-0.6808,-0.2641,0.2414,-0.0047,0.0047,0.0504,0.018,0.0535,0.0028,-0.001,0.0005,-0.0035,-0.0038,-0.0013,-0.0028,-0.005,0.0006,0.0285,0.0015,-0.0013,0.0029,-0.0002,0.5689,0.6139,1.0,0.0664,-0.2665,-0.1217,-0.0683,0.0719,0.1229,-0.0012,0.002,0.2006,0.0437,0.0104,0.0104,-0.0045,-0.0045,0.0112,0.0105,0.0121,0.0121,,,0.014,-0.014,0.0058,-0.0061,0.0038,-0.0012,-0.0017,-0.0002,-0.0052,0.0033,-0.0004,0.004
Kerf_Angle,-0.0082,0.0039,0.0043,0.0014,0.0018,0.0317,0.0088,0.0078,0.0024,-0.0002,0.0063,-0.0071,0.0014,0.0007,0.0055,0.006,-0.0015,-0.0003,0.0005,0.0035,0.0076,-0.0042,0.0539,0.0606,0.0664,1.0,-0.0031,-0.0021,-0.0047,0.0048,0.0041,0.0022,-0.0047,0.0063,-0.0023,0.0019,0.0019,-0.0011,-0.0012,-0.0024,-0.0025,-0.0003,-0.0003,,,-0.0024,0.0024,0.0025,-0.0008,-0.0036,0.0018,0.0014,-0.0024,-0.0003,-0.0016,-0.0061,-0.0001
Groove_Depth,0.3501,0.1051,-0.0023,0.0061,0.002,-0.0131,-0.0074,-0.0213,0.0054,0.0012,0.0016,0.0024,0.0018,-0.0013,-0.0023,-0.001,-0.0018,-0.014,0.0036,0.0021,-0.0031,-0.0083,-0.2269,-0.262,-0.2665,-0.0031,1.0,0.0002,0.0001,0.0011,-0.0012,0.001,0.0026,-0.0031,-0.0094,-0.0092,-0.0092,0.0027,0.0028,-0.0033,-0.0032,0.0024,0.0024,,,-0.0018,0.0018,-0.0007,0.0018,0.0047,0.0012,-0.0017,0.0015,-0.0044,-0.0026,0.0022,-0.0046
Package_Size_1,0.0054,0.0077,-0.4948,0.0053,-0.002,0.0019,0.0013,-0.0039,-0.0048,0.0,0.001,-0.0004,-0.0012,-0.0003,0.006,0.0042,-0.0014,-0.0062,0.0025,0.0001,0.0025,-0.0004,-0.0095,0.1019,-0.1217,-0.0021,0.0002,1.0,0.1427,-0.1434,-0.2539,-0.0011,0.0021,-0.4095,-0.0062,-0.0019,-0.0019,-0.001,-0.001,-0.0036,-0.0037,0.0025,0.0025,,,-0.0029,0.0029,-0.0039,0.0001,-0.0022,0.0022,0.0023,0.0041,0.0004,-0.0012,0.0025,0.0024
Package_Size_2,0.0013,0.0041,-0.2794,-0.004,-0.0019,-0.0042,-0.0035,-0.0031,0.0006,-0.0017,-0.0027,0.0026,-0.0036,0.0021,0.0017,0.0045,-0.0036,0.0043,0.0022,0.0037,-0.0002,0.0054,-0.005,0.0607,-0.0683,-0.0047,0.0001,0.1427,1.0,-0.0822,-0.1416,-0.0053,0.0018,-0.2317,-0.0013,0.0044,0.0044,0.0065,0.0064,0.0008,0.0007,0.0026,0.0026,,,0.0029,-0.0029,0.0047,-0.0006,-0.0002,-0.0032,0.0037,0.0041,0.0004,-0.0022,0.0049,-0.0028
Package_Size_3,-0.0034,-0.0028,0.2818,0.0002,-0.0013,-0.002,0.0039,0.0029,-0.0001,0.0063,0.0003,-0.002,-0.0077,-0.0011,0.0047,0.0027,-0.0044,0.0029,-0.0005,-0.0035,0.0012,-0.0037,0.0082,-0.0596,0.0719,0.0048,0.0011,-0.1434,-0.0822,1.0,0.1503,-0.0021,-0.0011,0.2323,0.0038,0.0006,0.0006,-0.0008,-0.0009,-0.0005,-0.0001,0.0083,0.0083,,,-0.0007,0.0007,0.0044,-0.0025,0.0054,-0.0017,0.0009,0.0009,-0.0004,0.001,0.0078,-0.0002
Package_Size_4,-0.0037,-0.0072,0.5021,-0.0027,0.0045,-0.0011,-0.0001,0.0038,0.0012,-0.0037,-0.0009,-0.0009,-0.0008,-0.0012,-0.0025,-0.0027,-0.0016,0.0007,-0.0011,0.0011,0.001,0.0002,0.0054,-0.1026,0.1229,0.0041,-0.0012,-0.2539,-0.1416,0.1503,1.0,0.0023,-0.0037,0.4151,0.0026,0.0022,0.0022,0.0021,0.002,0.0064,0.0062,0.0039,0.0039,,,0.0049,-0.0049,-0.0043,0.0013,0.0078,-0.0013,-0.0052,-0.0022,0.0037,-0.0005,0.0005,-0.0021
Coating_Thickness,-0.0006,0.0012,0.0034,0.004,0.0037,0.0047,-0.0003,0.0022,0.0037,0.0021,-0.001,-0.0017,0.0004,0.0034,0.0001,0.0056,0.0042,0.0007,-0.0005,-0.0043,0.0014,-0.002,-0.001,-0.0039,-0.0012,0.0022,0.001,-0.0011,-0.0053,-0.0021,0.0023,1.0,0.0008,0.0026,0.0042,0.0001,0.0001,-0.0729,-0.0731,-0.0199,-0.0209,0.0004,0.0004,,,-0.0392,0.0392,0.0005,0.0002,-0.0023,-0.0001,-0.0067,0.0019,-0.0027,0.0017,0.0084,-0.0026
Coating_Uniformity,-0.0026,0.0034,0.0015,0.0009,0.0019,0.0021,0.004,0.0003,-0.0036,-0.0006,0.0056,-0.0031,-0.0036,0.0021,0.0032,0.0015,-0.0017,0.0043,0.0014,-0.0025,0.0004,0.005,0.0001,-0.003,0.002,-0.0047,0.0026,0.0021,0.0018,-0.0011,-0.0037,0.0008,1.0,0.0038,0.0019,-0.0007,-0.0007,-0.0081,-0.0081,0.0003,0.0003,0.0005,0.0005,,,-0.0022,0.0022,0.0021,-0.0057,0.0048,0.0044,0.0008,-0.0003,0.0035,-0.0016,-0.0025,0.0003
Cutting_Offset,-0.0094,-0.0174,0.8191,-0.0035,-0.0016,0.0013,0.0022,0.0096,0.0027,0.0029,0.0016,-0.0031,-0.001,-0.0026,0.0012,-0.0029,0.0069,0.0074,0.0036,-0.0041,-0.0,0.0019,0.0157,-0.1636,0.2006,0.0063,-0.0031,-0.4095,-0.2317,0.2323,0.4151,0.0026,0.0038,1.0,0.0061,-0.0006,-0.0006,-0.0008,-0.0008,0.0013,0.0011,0.0022,0.0022,,,0.0016,-0.0016,0.0016,-0.0033,0.0099,-0.0025,-0.0018,-0.0022,-0.0038,0.0048,0.0001,-0.0017
Surface_Roughness,-0.0161,-0.014,0.0052,0.0027,-0.0014,0.0152,0.0152,0.3152,-0.001,0.0029,-0.0021,0.0005,0.0015,-0.0009,-0.001,-0.0053,-0.0019,-0.0164,-0.0003,0.0001,0.0049,-0.0081,0.0372,0.0424,0.0437,-0.0023,-0.0094,-0.0062,-0.0013,0.0038,0.0026,0.0042,0.0019,0.0061,1.0,0.0006,0.0006,-0.0056,-0.0056,0.2835,0.2805,0.0155,0.0155,,,0.256,-0.256,-0.0004,0.0039,-0.0003,0.0025,0.0032,-0.0021,0.0018,-0.0035,-0.0021,-0.0018
Chipping,-0.0108,-0.0049,-0.0,-0.0014,-0.0035,-0.0019,0.0006,0.0038,-0.0027,-0.0044,-0.0013,-0.0043,-0.0005,-0.0007,0.0035,0.0041,0.0055,0.0008,0.0068,-0.0028,0.003,-0.0022,0.011,0.0099,0.0104,0.0019,-0.0092,-0.0019,0.0044,0.0006,0.0022,0.0001,-0.0007,-0.0006,0.0006,1.0,1.0,-0.001,-0.001,-0.0018,-0.0018,0.078,0.078,,,0.0213,-0.0213,-0.0001,0.0012,0.001,-0.0031,-0.005,-0.0044,0.0014,-0.006,0.0016,0.0053
Chipping_Die,-0.0108,-0.0049,-0.0,-0.0014,-0.0035,-0.0019,0.0006,0.0038,-0.0027,-0.0044,-0.0013,-0.0043,-0.0005,-0.0007,0.0035,0.0041,0.0055,0.0008,0.0068,-0.0028,0.003,-0.0022,0.011,0.0099,0.0104,0.0019,-0.0092,-0.0019,0.0044,0.0006,0.0022,0.0001,-0.0007,-0.0006,0.0006,1.0,1.0,-0.001,-0.001,-0.0018,-0.0018,0.078,0.078,,,0.0213,-0.0213,-0.0001,0.0012,0.001,-0.0031,-0.005,-0.0044,0.0014,-0.006,0.0016,0.0053
Remain_Coat,0.0087,-0.0002,-0.0021,-0.0071,0.0064,-0.0014,-0.0048,0.0043,-0.0017,-0.0042,0.0005,0.004,-0.0004,-0.0001,0.0036,0.0003,0.0006,-0.038,-0.142,-0.0012,-0.0017,-0.0044,-0.0017,-0.0053,-0.0045,-0.0011,0.0027,-0.001,0.0065,-0.0008,0.0021,-0.0729,-0.0081,-0.0008,-0.0056,-0.001,-0.001,1.0,0.9999,0.2856,0.3015,0.0001,0.0001,,,0.5136,-0.5136,-0.0044,-0.0077,0.0013,-0.0037,-0.0,0.0036,0.0049,-0.0022,-0.0028,-0.0006
Remain_Coat_Die,0.0087,-0.0001,-0.0021,-0.0071,0.0064,-0.0014,-0.0048,0.0043,-0.0017,-0.0042,0.0005,0.004,-0.0004,-0.0002,0.0037,0.0003,0.0006,-0.0385,-0.1414,-0.0012,-0.0016,-0.0044,-0.0017,-0.0053,-0.0045,-0.0012,0.0028,-0.001,0.0064,-0.0009,0.002,-0.0731,-0.0081,-0.0008,-0.0056,-0.001,-0.001,0.9999,1.0,0.2857,0.3016,0.0001,0.0001,,,0.5137,-0.5137,-0.0044,-0.0077,0.0013,-0.0037,0.0,0.0035,0.0049,-0.0023,-0.0029,-0.0005
Particle,-0.0022,-0.0072,0.0017,-0.0029,0.0039,0.002,0.0051,0.0896,-0.002,-0.0024,0.0036,0.007,0.0028,-0.002,-0.0045,-0.0085,-0.004,-0.014,-0.0418,0.002,-0.0008,-0.0047,0.0065,0.0097,0.0112,-0.0024,-0.0033,-0.0036,0.0008,-0.0005,0.0064,-0.0199,0.0003,0.0013,0.2835,-0.0018,-0.0018,0.2856,0.2857,1.0,0.9976,0.0033,0.0033,,,0.9095,-0.9095,0.0001,-0.0004,0.001,0.0026,-0.0012,-0.0012,0.0011,-0.0008,-0.0062,-0.0022
Particle_Die,-0.0018,-0.0064,0.0016,-0.0026,0.0039,0.0021,0.0051,0.0891,-0.0023,-0.0023,0.0032,0.0073,0.0031,-0.0017,-0.0045,-0.0086,-0.0039,-0.0144,-0.0437,0.002,-0.0002,-0.0049,0.0059,0.0091,0.0105,-0.0025,-0.0032,-0.0037,0.0007,-0.0001,0.0062,-0.0209,0.0003,0.0011,0.2805,-0.0018,-0.0018,0.3015,0.3016,0.9976,1.0,0.0034,0.0034,,,0.912,-0.912,0.0001,-0.0006,0.0012,0.0024,-0.0011,-0.0014,0.0011,-0.0013,-0.0064,-0.0023
Micro_Crack,-0.0059,-0.0028,0.0022,0.0275,0.0024,-0.0018,-0.0023,0.0056,0.0022,-0.001,0.0016,0.0048,-0.0039,-0.0004,-0.0025,0.0018,-0.0034,-0.0009,-0.0023,-0.0031,-0.0076,0.0024,0.0115,0.0145,0.0121,-0.0003,0.0024,0.0025,0.0026,0.0083,0.0039,0.0004,0.0005,0.0022,0.0155,0.078,0.078,0.0001,0.0001,0.0033,0.0034,1.0,1.0,,,0.0624,-0.0624,-0.0072,0.0014,-0.0012,-0.0001,0.0016,-0.0002,0.0046,-0.0057,-0.0017,0.0036
