variable,target,bin,bin_left,bin_right,n,n_defect,defect_rate_pct,lift_vs_overall,overall_rate_pct
Maintenance_Count,Chipping,"(6.0, 9.0]",6.0,9.0,29709,2291,7.7115,1.009,7.642
Maintenance_Count,Chipping,"(9.0, 12.0]",9.0,12.0,30089,2291,7.6141,0.996,7.642
Maintenance_Count,Chipping,"(12.0, 15.0]",12.0,15.0,29897,2282,7.6329,0.999,7.642
Maintenance_Count,Chipping,"(15.0, 18.0]",15.0,18.0,30163,2289,7.5888,0.993,7.642
Maintenance_Count,Chipping,"(18.0, 21.0]",18.0,21.0,10003,770,7.6977,1.007,7.642
Maintenance_Count,Micro_Crack,"(-0.001, 3.0]",-0.001,3.0,40148,1299,3.2355,0.992,3.261
Maintenance_Count,Micro_Crack,"(3.0, 6.0]",3.0,6.0,29991,1025,3.4177,1.048,3.261
Maintenance_Count,Micro_Crack,"(6.0, 9.0]",6.0,9.0,29709,934,3.1438,0.964,3.261
Maintenance_Count,Micro_Crack,"(9.0, 12.0]",9.0,12.0,30089,1020,3.3899,1.04,3.261
Maintenance_Count,Micro_Crack,"(12.0, 15.0]",12.0,15.0,29897,944,3.1575,0.968,3.261
Maintenance_Count,Micro_Crack,"(15.0, 18.0]",15.0,18.0,30163,983,3.259,0.999,3.261
Maintenance_Count,Micro_Crack,"(18.0, 21.0]",18.0,21.0,10003,317,3.169,0.972,3.261
Power_Efficiency,Chipping,"(91.866, 94.396]",91.866,94.396,20007,10653,53.2464,6.968,7.642
Power_Efficiency,Chipping,"(94.396, 94.746]",94.396,94.746,20069,3784,18.855,2.467,7.642
Power_Efficiency,Chipping,"(94.746, 94.839]",94.746,94.839,20089,473,2.3545,0.308,7.642
Power_Efficiency,Chipping,"(94.839, 94.9]",94.839,94.9,19946,160,0.8022,0.105,7.642
Power_Efficiency,Chipping,"(94.9, 94.95]",94.9,94.95,20063,90,0.4486,0.059,7.642
Power_Efficiency,Chipping,"(94.95, 94.996]",94.95,94.996,19963,49,0.2455,0.032,7.642
Power_Efficiency,Chipping,"(94.996, 95.043]",94.996,95.043,20013,27,0.1349,0.018,7.642
Power_Efficiency,Chipping,"(95.043, 95.096]",95.043,95.096,19861,17,0.0856,0.011,7.642
Power_Efficiency,Chipping,"(95.096, 95.168]",95.096,95.168,20155,15,0.0744,0.01,7.642
Power_Efficiency,Chipping,"(95.168, 95.701]",95.168,95.701,19834,16,0.0807,0.011,7.642
Power_Efficiency,Micro_Crack,"(91.866, 94.396]",91.866,94.396,20007,376,1.8793,0.576,3.261
Power_Efficiency,Micro_Crack,"(94.396, 94.746]",94.396,94.746,20069,819,4.0809,1.251,3.261
Power_Efficiency,Micro_Crack,"(94.746, 94.839]",94.746,94.839,20089,648,3.2256,0.989,3.261
Power_Efficiency,Micro_Crack,"(94.839, 94.9]",94.839,94.9,19946,632,3.1686,0.972,3.261
Power_Efficiency,Micro_Crack,"(94.9, 94.95]",94.9,94.95,20063,629,3.1351,0.961,3.261
Power_Efficiency,Micro_Crack,"(94.95, 94.996]",94.95,94.996,19963,646,3.236,0.992,3.261
Power_Efficiency,Micro_Crack,"(94.996, 95.043]",94.996,95.043,20013,694,3.4677,1.063,3.261
Power_Efficiency,Micro_Crack,"(95.043, 95.096]",95.043,95.096,19861,705,3.5497,1.089,3.261
Power_Efficiency,Micro_Crack,"(95.096, 95.168]",95.096,95.168,20155,671,3.3292,1.021,3.261
Power_Efficiency,Micro_Crack,"(95.168, 95.701]",95.168,95.701,19834,702,3.5394,1.085,3.261
Vibration,Chipping,"(0.0636, 0.13]",0.0636,0.13,20109,36,0.179,0.023,7.642
Vibration,Chipping,"(0.13, 0.14]",0.13,0.14,19966,46,0.2304,0.03,7.642
Vibration,Chipping,"(0.14, 0.147]",0.14,0.147,20078,64,0.3188,0.042,7.642
Vibration,Chipping,"(0.147, 0.154]",0.147,0.154,20147,89,0.4418,0.058,7.642
Vibration,Chipping,"(0.154, 0.16]",0.154,0.16,19985,123,0.6155,0.081,7.642
Vibration,Chipping,"(0.16, 0.167]",0.16,0.167,19759,209,1.0577,0.138,7.642
Vibration,Chipping,"(0.167, 0.175]",0.167,0.175,19968,423,2.1184,0.277,7.642
Vibration,Chipping,"(0.175, 0.187]",0.175,0.187,20043,1079,5.3834,0.704,7.642
Vibration,Chipping,"(0.187, 0.211]",0.187,0.211,20002,3519,17.5932,2.302,7.642
Vibration,Chipping,"(0.211, 0.31]",0.211,0.31,19943,9696,48.6186,6.362,7.642
Vibration,Micro_Crack,"(0.0636, 0.13]",0.0636,0.13,20109,378,1.8798,0.576,3.261
Vibration,Micro_Crack,"(0.13, 0.14]",0.13,0.14,19966,495,2.4792,0.76,3.261
Vibration,Micro_Crack,"(0.14, 0.147]",0.14,0.147,20078,539,2.6845,0.823,3.261
Vibration,Micro_Crack,"(0.147, 0.154]",0.147,0.154,20147,592,2.9384,0.901,3.261
Vibration,Micro_Crack,"(0.154, 0.16]",0.154,0.16,19985,641,3.2074,0.984,3.261
Vibration,Micro_Crack,"(0.16, 0.167]",0.16,0.167,19759,671,3.3959,1.041,3.261
Vibration,Micro_Crack,"(0.167, 0.175]",0.167,0.175,19968,724,3.6258,1.112,3.261
Vibration,Micro_Crack,"(0.175, 0.187]",0.175,0.187,20043,837,4.176,1.281,3.261
Vibration,Micro_Crack,"(0.187, 0.211]",0.187,0.211,20002,1037,5.1845,1.59,3.261
Vibration,Micro_Crack,"(0.211, 0.31]",0.211,0.31,19943,608,3.0487,0.935,3.261
Kerf_Width_Profile,Chipping,"(49.614000000000004, 49.958]",49.614000000000004,49.958,20033,0,0.0,0.0,7.642
Kerf_Width_Profile,Chipping,"(49.958, 50.01]",49.958,50.01,19977,0,0.0,0.0,7.642
Kerf_Width_Profile,Chipping,"(50.01, 50.05]",50.01,50.05,20000,0,0.0,0.0,7.642
Kerf_Width_Profile,Chipping,"(50.05, 50.084]",50.05,50.084,20003,0,0.0,0.0,7.642
Kerf_Width_Profile,Chipping,"(50.084, 50.118]",50.084,50.118,20000,0,0.0,0.0,7.642
Kerf_Width_Profile,Chipping,"(50.118, 50.155]",50.118,50.155,20025,0,0.0,0.0,7.642
Kerf_Width_Profile,Chipping,"(50.155, 50.201]",50.155,50.201,19982,0,0.0,0.0,7.642
Kerf_Width_Profile,Chipping,"(50.201, 50.281]",50.201,50.281,19980,0,0.0,0.0,7.642
Kerf_Width_Profile,Chipping,"(50.281, 50.902]",50.281,50.902,20001,4241,21.2039,2.775,7.642
Kerf_Width_Profile,Chipping,"(50.902, 51.978]",50.902,51.978,19999,11043,55.2178,7.226,7.642
Kerf_Width_Profile,Micro_Crack,"(49.614000000000004, 49.958]",49.614000000000004,49.958,20033,689,3.4393,1.055,3.261
Kerf_Width_Profile,Micro_Crack,"(49.958, 50.01]",49.958,50.01,19977,676,3.3839,1.038,3.261
Kerf_Width_Profile,Micro_Crack,"(50.01, 50.05]",50.01,50.05,20000,678,3.39,1.04,3.261
Kerf_Width_Profile,Micro_Crack,"(50.05, 50.084]",50.05,50.084,20003,613,3.0645,0.94,3.261
Kerf_Width_Profile,Micro_Crack,"(50.084, 50.118]",50.084,50.118,20000,684,3.42,1.049,3.261
Kerf_Width_Profile,Micro_Crack,"(50.118, 50.155]",50.118,50.155,20025,611,3.0512,0.936,3.261
Kerf_Width_Profile,Micro_Crack,"(50.155, 50.201]",50.155,50.201,19982,653,3.2679,1.002,3.261
Kerf_Width_Profile,Micro_Crack,"(50.201, 50.281]",50.201,50.281,19980,660,3.3033,1.013,3.261
Kerf_Width_Profile,Micro_Crack,"(50.281, 50.902]",50.281,50.902,20001,906,4.5298,1.389,3.261
Kerf_Width_Profile,Micro_Crack,"(50.902, 51.978]",50.902,51.978,19999,352,1.7601,0.54,3.261
Groove_Depth,Chipping,"(43.622, 44.649]",43.622,44.649,20002,9504,47.5152,6.218,7.642
Groove_Depth,Chipping,"(44.649, 44.792]",44.649,44.792,19998,2086,10.431,1.365,7.642
Groove_Depth,Chipping,"(44.792, 44.862]",44.792,44.862,20002,1130,5.6494,0.739,7.642
Groove_Depth,Chipping,"(44.862, 44.916]",44.862,44.916,20021,755,3.771,0.493,7.642
Groove_Depth,Chipping,"(44.916, 44.963]",44.916,44.963,19994,545,2.7258,0.357,7.642
Groove_Depth,Chipping,"(44.963, 45.009]",44.963,45.009,20001,441,2.2049,0.289,7.642
Groove_Depth,Chipping,"(45.009, 45.056]",45.009,45.056,19997,315,1.5752,0.206,7.642
Groove_Depth,Chipping,"(45.056, 45.111]",45.056,45.111,20006,260,1.2996,0.17,7.642
Groove_Depth,Chipping,"(45.111, 45.186]",45.111,45.186,19996,160,0.8002,0.105,7.642
Groove_Depth,Chipping,"(45.186, 45.703]",45.186,45.703,19983,88,0.4404,0.058,7.642
Groove_Depth,Micro_Crack,"(43.622, 44.649]",43.622,44.649,20002,347,1.7348,0.532,3.261
Groove_Depth,Micro_Crack,"(44.649, 44.792]",44.649,44.792,19998,710,3.5504,1.089,3.261
Groove_Depth,Micro_Crack,"(44.792, 44.862]",44.792,44.862,20002,679,3.3947,1.041,3.261
Groove_Depth,Micro_Crack,"(44.862, 44.916]",44.862,44.916,20021,707,3.5313,1.083,3.261
Groove_Depth,Micro_Crack,"(44.916, 44.963]",44.916,44.963,19994,627,3.1359,0.962,3.261
Groove_Depth,Micro_Crack,"(44.963, 45.009]",44.963,45.009,20001,675,3.3748,1.035,3.261
Groove_Depth,Micro_Crack,"(45.009, 45.056]",45.009,45.056,19997,664,3.3205,1.018,3.261
Groove_Depth,Micro_Crack,"(45.056, 45.111]",45.056,45.111,20006,671,3.354,1.029,3.261
Groove_Depth,Micro_Crack,"(45.111, 45.186]",45.111,45.186,19996,715,3.5757,1.097,3.261
Groove_Depth,Micro_Crack,"(45.186, 45.703]",45.186,45.703,19983,727,3.6381,1.116,3.261
