target,model,factor,layer,process_stage,is_laser_grooving,shap_rank,mean_abs_shap,mean_signed_shap,value_shap_corr,shap_direction,model_roc_auc,model_pr_auc,n_features
Chipping,B_monitor_full,Laser_Head_Remain_Time,FDC,2_laser_grooving,True,37,0.046053,-0.02403,-0.0191,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Cooling_Flow,FDC,4_blade_dicing,False,38,0.044987,-0.024002,-0.2127,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Maintenance_Count,Engineered,0_equipment,False,39,0.033542,-0.018666,-0.3232,low_is_risky,0.9686,0.6159,39
Micro_Crack,A_cause_FDConly,Vibration,FDC,4_blade_dicing,False,1,0.249362,-0.108711,0.7166,high_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Cleaning_Load_Ratio,Engineered,3_cleaning,False,2,0.150052,0.012038,0.7707,high_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,CLN_Time,FDC,3_cleaning,False,3,0.132231,-0.098387,0.0994,high_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Cutting_Y_Index,FDC,4_blade_dicing,False,4,0.104103,-0.062262,-0.2862,low_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Process_Time,FDC,4_blade_dicing,False,5,0.103189,-0.071392,-0.171,low_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Cleaning_Capacity,Engineered,3_cleaning,False,6,0.099138,-0.05659,0.3196,high_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Coating_Flow,FDC,1_coating,False,7,0.097816,-0.064439,-0.241,low_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Cutting_X_Index,FDC,4_blade_dicing,False,8,0.097018,-0.06398,-0.2923,low_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,CLN_Pressure,FDC,3_cleaning,False,9,0.095114,-0.060934,0.1964,high_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,CLN_Flow,FDC,3_cleaning,False,10,0.09359,-0.074616,-0.2588,low_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Cooling_Water_Temp,FDC,4_blade_dicing,False,11,0.089852,-0.061477,-0.0659,low_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Cooling_Flow,FDC,4_blade_dicing,False,12,0.082041,-0.05531,-0.1247,low_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Feed_Speed,FDC,4_blade_dicing,False,13,0.081885,-0.058795,0.2631,high_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Cooling_Thermal_Load,Engineered,4_blade_dicing,False,14,0.081116,-0.051962,-0.1612,low_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Alignment_Time,FDC,4_blade_dicing,False,15,0.08093,-0.055233,0.4345,high_is_risky,0.8031,0.0943,16
Micro_Crack,A_cause_FDConly,Maintenance_Count,Engineered,0_equipment,False,16,0.062773,-0.031615,-0.0079,nonlinear_or_none,0.8031,0.0943,16
Micro_Crack,B_monitor_full,Surface_Roughness,Response,4R_dicing_result,False,1,1.261279,-0.959071,0.85,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_3,Response,4R_dicing_result,False,2,0.126276,-0.060579,0.1965,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cleaning_Load_Ratio,Engineered,3_cleaning,False,3,0.120215,-0.069375,0.6822,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,CLN_Time,FDC,3_cleaning,False,4,0.111516,-0.05409,-0.1795,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_Asymmetry,Response,4R_dicing_result,False,5,0.103858,-0.052639,-0.7261,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Coating_Uniformity,Response,1_coating,False,6,0.1029,-0.060665,-0.1204,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Vibration,FDC,4_blade_dicing,False,7,0.101416,-0.042402,-0.4584,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Process_Time,FDC,4_blade_dicing,False,8,0.091722,-0.059839,-0.1858,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,CLN_Pressure,FDC,3_cleaning,False,9,0.091419,-0.054729,-0.0647,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cutting_X_Index,FDC,4_blade_dicing,False,10,0.090445,-0.055371,-0.3199,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_2,Response,4R_dicing_result,False,11,0.082797,-0.051524,0.2123,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_1,Response,4R_dicing_result,False,12,0.081511,-0.057494,0.1652,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cutting_Y_Index,FDC,4_blade_dicing,False,13,0.08136,-0.053266,-0.3399,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cooling_Water_Temp,FDC,4_blade_dicing,False,14,0.080526,-0.050207,-0.0451,nonlinear_or_none,0.8986,0.207,24
Micro_Crack,B_monitor_full,CLN_Flow,FDC,3_cleaning,False,15,0.075713,-0.055552,-0.2766,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Coating_Thickness,Response,1_coating,False,16,0.07488,-0.054378,-0.0032,nonlinear_or_none,0.8986,0.207,24
Micro_Crack,B_monitor_full,Coating_Flow,FDC,1_coating,False,17,0.074742,-0.046526,-0.1664,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cleaning_Capacity,Engineered,3_cleaning,False,18,0.072363,0.015025,0.2633,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Feed_Speed,FDC,4_blade_dicing,False,19,0.070264,-0.047558,0.4867,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cooling_Flow,FDC,4_blade_dicing,False,20,0.069063,-0.036248,-0.0436,nonlinear_or_none,0.8986,0.207,24
Micro_Crack,B_monitor_full,Package_Size_4,Response,4R_dicing_result,False,21,0.068001,-0.034364,-0.1076,low_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Alignment_Time,FDC,4_blade_dicing,False,22,0.066054,-0.046075,0.335,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Cooling_Thermal_Load,Engineered,4_blade_dicing,False,23,0.060672,-0.042722,0.1799,high_is_risky,0.8986,0.207,24
Micro_Crack,B_monitor_full,Maintenance_Count,Engineered,0_equipment,False,24,0.054681,-0.029423,0.1366,high_is_risky,0.8986,0.207,24
