column,subsystem,domain_status,domain_mechanism,domain_direction_hypothesis,p_fdr_is_particle_primary,cliffs_delta_is_particle_primary,p_fdr_is_particle_broad,cliffs_delta_is_particle_broad,importance_mean_is_particle_primary,rank_is_particle_primary,importance_mean_is_particle_broad,rank_is_particle_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
Cutting_X_Index,fdc_motion,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 디브리 발생과 무관",not_applicable,0.8085592410823832,-0.0029077014219039965,0.665194428840657,-0.004702287788059589,-0.00163809786947966,40,0.000753017831256723,10,1,0,1,insufficient_evidence
Laser_Voltage,fdc_laser,team_undetermined,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,0.9205200352910045,-0.0011216727605841692,0.6330662792854297,-0.005223558430613617,0.0007991004893423525,9,0.0004154878399365569,13,1,0,1,insufficient_evidence
Cleaning_Capacity,engineered,defect_related,팀 공용 피처(CLN_Flow×Pressure×Time) — 세정 능력 종합지표,down,0.9205200352910045,0.0009968137298232982,4.104169753042951e-06,-0.03420232994344363,-0.00033050744753778484,22,0.0009891353233030715,7,1,0,1,candidate_weak_signal
CLN_Flow,fdc_cleaning,defect_related,세정 능력 — 유량 부족 시 디브리 잔류,down,0.9205200352910045,-0.0009570560468314948,4.739427532274113e-05,-0.03036121841842443,0.0001426139489374034,13,0.001486405013291527,5,1,0,1,candidate_weak_signal
Cooling_Thermal_Load,engineered,not_related_to_defect,"팀 공용 피처, 방열 계열 — Burn 전용 메커니즘, 디브리 발생과 무관",not_applicable,0.9721289221991579,-0.00025958999672048844,0.7100012087941712,0.00336533662978189,-9.327688597213964e-05,19,0.0007531213678328708,9,1,0,1,insufficient_evidence
Bottom_Kerf,response,defect_related,"가공 제거량, Kerf_Width_Profile과 동일 메커니즘 상속",up,8.358069036996372e-05,0.03356178585642833,0.0015611780115602194,0.02455442560717125,-0.0016029206306926872,39,0.000653916696463815,12,0,0,0,insufficient_evidence
Top_Kerf,response,defect_related,"가공 제거량, Kerf_Width_Profile과 동일 메커니즘 상속",up,0.00037936700437921637,0.030608967653679375,0.009827226692560954,0.020844781036517324,-0.00013729216371013802,21,-0.00014520023988488136,24,0,0,0,insufficient_evidence
Power_Efficiency,fdc_laser,defect_related,에너지 변환 효율 이상 — 비정상 어블레이션 가능성,either,0.04641808737296885,-0.02005050320413526,0.07214213375844857,-0.015866189535862274,-0.0004249393293987454,25,-0.001577738885052508,39,0,0,0,insufficient_evidence
Head_Temp,fdc_thermal,not_related_to_defect,"방열 계열 — Burn 전용 메커니즘(열 축적), 디브리 발생과 직접 연결고리 없음",not_applicable,0.10382330257421209,0.01755057845259289,0.24418552788115075,0.011281187468400233,0.0005564613662268662,11,0.0006754908096475572,11,0,0,0,insufficient_evidence
Laser_Cleaning_Demand,engineered,defect_related,팀 공용 피처(Laser_Power×Groove_Depth) — 디브리 발생 수요 지표,up,0.17832331001144616,-0.015056353952845991,0.42149704427566065,-0.008262822719173224,-0.001312286752505761,37,3.587147411536762e-05,22,0,0,0,insufficient_evidence
Maintenance_Count,undocumented_env_or_infra,defect_related,정비 이력 프록시(00_column_classification.csv decision_note가 Goal2 확인 가치 있다고 명시) — 정비 시 세정계 부품 교체/재교정과 연관될 수 있으나 방향(정비 직후 안정 vs 정비 주기가 긴 설비의 누적 오염) 상충 가능성이 있어 특정하지 않음,either,0.17832331001144616,-0.014906511192105731,0.12522610136457077,-0.013516333073497644,0.0005118775107508763,12,0.00023777408994672585,16,0,0,0,insufficient_evidence
Laser_Power,fdc_laser,defect_related,에너지 투입 — 어블레이션(재질 제거)량 증가로 디브리 발생 소스,up,0.2490829158036521,-0.013241196375537445,0.665194428840657,-0.004595840154355102,-0.0004251201508017906,26,-0.00023065476436364327,31,0,0,0,insufficient_evidence
Cooling_Water_Temp,fdc_thermal,not_related_to_defect,"방열 계열 — Burn 전용 메커니즘(열 축적), 디브리 발생과 직접 연결고리 없음",not_applicable,0.31918008985484553,-0.012034115891070729,0.4194144889622642,-0.008721494954626263,-2.1143769028273788e-05,18,-1.9611972606622027e-05,23,0,0,0,insufficient_evidence
Package_Size_4,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 디브리와 무관",not_applicable,0.31918008985484553,0.011817559317624182,0.11541236445677493,0.013961165070596637,-0.00035365565522565236,24,0.00030040183332451876,15,0,0,0,insufficient_evidence
Cutting_Y_Index,fdc_motion,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 디브리 발생과 무관",not_applicable,0.3602060929833376,-0.010853276106691623,0.3341557899166161,-0.009796248475903546,2.550601864717191e-05,17,0.0001997431000249572,17,0,0,0,insufficient_evidence
Package_Size_1,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 디브리와 무관",not_applicable,0.6124003994307133,-0.007881308568814083,0.4331352130757442,-0.007851114599044196,-0.00045427899814535583,29,9.010365870159021e-05,21,0,0,0,insufficient_evidence
Laser_Centering_Position,fdc_laser,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 디브리 발생과 무관",not_applicable,0.6124003994307133,0.007847247825443882,0.6703110331542096,0.0038715589359437086,-0.0015934878687233977,38,-0.0003535685883300684,34,0,0,0,insufficient_evidence
Focus,fdc_thermal,defect_related,빔 품질/집속 — 초점 이탈 시 비정상 어블레이션(스패터) 증가 가능성,either,0.6366939240457794,0.00741400881593135,0.665194428840657,0.0041702556086034015,-0.00011071666242263671,20,-0.00017550218195609238,26,0,0,0,insufficient_evidence
Cutting_Offset,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 디브리 발생과 무관",not_applicable,0.677110239509081,0.006865280916465322,0.740609017752018,0.002934943352784103,-0.0009747619301239981,35,-0.00021200554944139638,30,0,0,0,insufficient_evidence
Laser_Head_Remain_Time,fdc_cleaning,defect_related,헤드 노후 — 빔 품질 저하 시 스패터 증가 가능성,down,0.7157128422038235,-0.006337939725799213,0.30566097378875856,-0.010315597017777178,-0.0006711544703773849,33,-0.000559145086304419,35,0,0,0,insufficient_evidence
Process_Time,fdc_motion,not_related_to_defect,"체류시간/열축적 계열 — Burn 전용 메커니즘, 디브리 발생과 직접 연결고리 약함",not_applicable,0.7394145939929407,0.005715615315642575,0.5737288099339721,0.006253313083605994,-0.0005024461792590566,30,-0.00016063456556656604,25,0,0,0,insufficient_evidence
Beam_Diameter,fdc_laser,defect_related,빔 품질/집속 — 빔 이상 시 비정상 어블레이션(스패터) 증가 가능성,either,0.7394145939929407,0.005524471398734132,0.42149704427566065,0.008144154923285685,-0.0005568214607568641,32,0.0001635226198281085,18,0,0,0,insufficient_evidence
Coating_Uniformity,response,team_undetermined,"HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후)이 불확실, 팀 미확정",unknown,0.7394145939929407,0.0054634859913040845,0.9646293384735622,0.00030205095407898064,-0.0003495274179213988,23,-0.0007271698934634622,37,0,0,0,insufficient_evidence
Kerf_Angle,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 절단면 수직도, 디브리 발생과 무관",not_applicable,0.7808132560688789,-0.004699542948942148,0.6215374485723192,-0.005498276862488605,-0.000713037656727857,34,0.00014714532196328974,19,0,0,0,insufficient_evidence
Coating_Flow,fdc_cleaning,defect_related,코팅 불균일 — 코팅 박리가 particle 소스가 될 가능성,down,0.7879137632063583,0.004395677463623127,0.665194428840657,0.0040839545406849975,-0.0005109849396399783,31,-0.00028689947712064455,33,0,0,0,insufficient_evidence
Cleaning_Load_Ratio,engineered,defect_related,팀 공용 피처(수요/능력) — 핵심 밸런스 가설을 직접 수식화,up,0.7879137632063583,-0.0037843527839797053,1.4072477794666448e-05,0.03230286022388085,-0.0004535437384117121,28,-0.00018962270318622075,27,0,0,0,insufficient_evidence
Frequency,fdc_motion,not_related_to_defect,"체류시간/열축적 계열 — Burn 전용 메커니즘(펄스 중첩→열), 디브리 발생과 직접 연결고리 약함",not_applicable,0.7879137632063583,-0.0037830842212617233,0.5910931372868143,-0.005926990215140759,5.1953944141704585e-05,16,-0.00023736351383529068,32,0,0,0,insufficient_evidence
Package_Size_2,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 디브리와 무관",not_applicable,0.8085592410823832,-0.003000038214209799,0.8694561857733668,0.0015065831544680552,-0.0012074290069664928,36,-0.00019747330229560878,28,0,0,0,insufficient_evidence
Feed_Speed,fdc_motion,not_related_to_defect,체류시간 계열로 확립된 것은 Burn 메커니즘(열축적) — 디브리 발생량과의 관계는 방향을 특정할 근거가 약해 무관으로 분류,not_applicable,0.8085592410823832,0.002787924922450724,0.4194144889622642,0.008543951864831367,0.00010167287599121184,15,-0.0015775936365817662,38,0,0,0,insufficient_evidence
CLN_Time,fdc_cleaning,defect_related,세정 능력 — 시간 부족 시 디브리 잔류,down,0.8207060702542036,-0.002479069646701526,0.8694561857733668,-0.0014975154600918028,-0.00045095763397890267,27,-0.00020844697561775427,29,0,0,0,insufficient_evidence
