Machine_ID,Product_ID,Recipe_ID,column,cusum_date,days,ctrl_date,lead
DP02,PKG_E,RCP_7,Power_Efficiency,2026-03-11,18.773611111111112,,
DP02,PKG_F,RCP_2,Power_Efficiency,2026-03-15,14.754166666666666,,
DP03,PKG_D,RCP_5,Head_Temp,2026-02-19,18.22361111111111,,
DP03,PKG_A,RCP_1,Vibration,2026-02-28,29.898611111111112,,
DP03,PKG_A,RCP_3,Vibration,2026-03-01,24.040277777777778,,
DP03,PKG_A,RCP_4,Vibration,2026-03-15,15.3,,
DP03,PKG_A,RCP_5,Vibration,2026-02-26,32.615972222222226,,
DP03,PKG_A,RCP_6,Vibration,2026-02-23,15.493055555555555,,
DP03,PKG_A,RCP_7,Vibration,2026-03-04,25.724305555555556,,
DP03,PKG_A,RCP_8,Vibration,2026-03-07,14.241666666666667,,
DP03,PKG_A,RCP_9,Vibration,2026-03-07,23.825694444444444,,
DP03,PKG_B,RCP_1,Vibration,2026-02-28,23.861805555555556,,
DP03,PKG_B,RCP_2,Vibration,2026-03-09,21.146527777777777,,
DP03,PKG_B,RCP_3,Vibration,2026-03-06,24.01875,,
DP03,PKG_B,RCP_4,Vibration,2026-02-24,34.34166666666667,,
DP03,PKG_B,RCP_5,Vibration,2026-02-24,33.87291666666667,,
DP03,PKG_B,RCP_6,Vibration,2026-03-13,16.79861111111111,,
DP03,PKG_B,RCP_7,Vibration,2026-02-28,30.930555555555557,,
DP03,PKG_B,RCP_9,Vibration,2026-03-08,21.571527777777778,,
DP03,PKG_C,RCP_1,Vibration,2026-02-25,14.770833333333334,,
DP03,PKG_C,RCP_2,Vibration,2026-02-24,33.84722222222222,,
DP03,PKG_C,RCP_3,Vibration,2026-03-15,15.515277777777778,,
DP03,PKG_C,RCP_4,Vibration,2026-02-25,17.405555555555555,,
DP03,PKG_C,RCP_7,Vibration,2026-03-13,16.85972222222222,,
DP03,PKG_C,RCP_8,Vibration,2026-03-01,29.242361111111112,,
DP03,PKG_C,RCP_9,Vibration,2026-02-24,34.019444444444446,,
DP03,PKG_D,RCP_2,Vibration,2026-02-25,33.84513888888889,,
DP03,PKG_D,RCP_3,Vibration,2026-03-02,14.05625,,
DP03,PKG_D,RCP_4,Vibration,2026-03-12,18.67222222222222,,
DP03,PKG_D,RCP_5,Vibration,2026-02-25,27.55763888888889,,
DP03,PKG_D,RCP_6,Vibration,2026-03-03,27.479166666666668,,
DP03,PKG_D,RCP_7,Vibration,2026-02-28,30.650694444444444,,
DP03,PKG_D,RCP_8,Vibration,2026-03-09,21.444444444444443,,
DP03,PKG_D,RCP_9,Vibration,2026-02-24,22.699305555555554,,
DP03,PKG_E,RCP_1,Vibration,2026-03-07,23.441666666666666,,
DP03,PKG_E,RCP_2,Vibration,2026-03-16,14.906944444444445,,
DP03,PKG_E,RCP_3,Vibration,2026-02-28,30.96875,,
DP03,PKG_E,RCP_4,Vibration,2026-03-09,21.385416666666668,,
DP03,PKG_E,RCP_6,Vibration,2026-03-08,15.970833333333333,,
DP03,PKG_E,RCP_7,Vibration,2026-02-23,28.471527777777776,,
DP03,PKG_E,RCP_8,Vibration,2026-02-20,28.38125,,
DP03,PKG_E,RCP_9,Vibration,2026-03-07,23.33888888888889,,
DP03,PKG_F,RCP_1,Vibration,2026-03-09,21.45486111111111,,
DP03,PKG_F,RCP_2,Vibration,2026-03-08,22.145138888888887,,
DP03,PKG_F,RCP_3,Vibration,2026-03-02,28.191666666666666,,
DP03,PKG_F,RCP_4,Vibration,2026-02-23,32.541666666666664,,
DP03,PKG_F,RCP_5,Vibration,2026-03-04,26.181944444444444,,
DP03,PKG_F,RCP_6,Vibration,2026-03-11,19.760416666666668,,
DP03,PKG_F,RCP_7,Vibration,2026-02-28,30.816666666666666,,
DP03,PKG_F,RCP_8,Vibration,2026-03-04,26.677777777777777,,
DP03,PKG_F,RCP_9,Vibration,2026-02-28,17.377083333333335,,
DP04,PKG_A,RCP_1,CLN_Flow,2026-03-06,24.525694444444444,,
DP04,PKG_A,RCP_2,CLN_Flow,2026-03-03,19.32777777777778,,
DP04,PKG_A,RCP_3,CLN_Flow,2026-02-25,15.81875,,
DP04,PKG_A,RCP_4,CLN_Flow,2026-02-22,36.62430555555556,,
DP04,PKG_A,RCP_5,CLN_Flow,2026-02-21,37.12777777777778,,
DP04,PKG_A,RCP_6,CLN_Flow,2026-02-23,26.43888888888889,,
DP04,PKG_A,RCP_7,CLN_Flow,2026-02-21,37.125,,
DP04,PKG_A,RCP_8,CLN_Flow,2026-03-07,20.12152777777778,2026-03-27,20.0
DP04,PKG_A,RCP_9,CLN_Flow,2026-02-21,28.827083333333334,,
DP04,PKG_B,RCP_1,CLN_Flow,2026-02-22,36.484722222222224,,
DP04,PKG_B,RCP_2,CLN_Flow,2026-02-24,34.69861111111111,,
DP04,PKG_B,RCP_3,CLN_Flow,2026-02-20,34.84305555555556,,
DP04,PKG_B,RCP_4,CLN_Flow,2026-02-23,30.990277777777777,,
DP04,PKG_B,RCP_5,CLN_Flow,2026-02-24,34.38333333333333,,
DP04,PKG_B,RCP_6,CLN_Flow,2026-02-23,35.63263888888889,,
DP04,PKG_B,RCP_7,CLN_Flow,2026-03-05,25.081944444444446,,
DP04,PKG_B,RCP_8,CLN_Flow,2026-02-26,31.9375,,
DP04,PKG_B,RCP_9,CLN_Flow,2026-02-22,18.653472222222224,,
DP04,PKG_C,RCP_1,CLN_Flow,2026-02-23,15.802083333333334,,
DP04,PKG_C,RCP_2,CLN_Flow,2026-02-23,30.30625,2026-03-20,25.0
DP04,PKG_C,RCP_3,CLN_Flow,2026-02-23,35.891666666666666,,
DP04,PKG_C,RCP_4,CLN_Flow,2026-02-24,34.234722222222224,,
DP04,PKG_C,RCP_5,CLN_Flow,2026-02-22,36.490972222222226,,
DP04,PKG_C,RCP_6,CLN_Flow,2026-03-07,23.781944444444445,,
DP04,PKG_C,RCP_7,CLN_Flow,2026-02-22,31.03263888888889,,
DP04,PKG_C,RCP_8,CLN_Flow,2026-02-20,38.27152777777778,,
DP04,PKG_C,RCP_9,CLN_Flow,2026-02-22,36.19513888888889,,
DP04,PKG_D,RCP_1,CLN_Flow,2026-02-21,37.31666666666667,,
DP04,PKG_D,RCP_2,CLN_Flow,2026-02-24,33.725,,
DP04,PKG_D,RCP_3,CLN_Flow,2026-02-22,36.166666666666664,,
DP04,PKG_D,RCP_4,CLN_Flow,2026-02-24,34.49722222222222,,
DP04,PKG_D,RCP_5,CLN_Flow,2026-02-20,38.31805555555555,,
DP04,PKG_D,RCP_6,CLN_Flow,2026-02-21,17.600694444444443,,
DP04,PKG_D,RCP_7,CLN_Flow,2026-03-09,21.22361111111111,2026-03-08,-1.0
DP04,PKG_D,RCP_8,CLN_Flow,2026-02-21,37.18055555555556,,
DP04,PKG_D,RCP_9,CLN_Flow,2026-02-23,14.628472222222221,,
DP04,PKG_E,RCP_1,CLN_Flow,2026-02-23,26.905555555555555,,
DP04,PKG_E,RCP_2,CLN_Flow,2026-02-23,35.175694444444446,,
DP04,PKG_E,RCP_3,CLN_Flow,2026-02-21,36.96875,,
DP04,PKG_E,RCP_4,CLN_Flow,2026-02-22,21.413888888888888,,
DP04,PKG_E,RCP_5,CLN_Flow,2026-02-20,18.86111111111111,,
DP04,PKG_E,RCP_6,CLN_Flow,2026-02-24,34.238194444444446,,
DP04,PKG_E,RCP_7,CLN_Flow,2026-02-27,31.21875,,
DP04,PKG_E,RCP_8,CLN_Flow,2026-02-22,36.20902777777778,,
DP04,PKG_E,RCP_9,CLN_Flow,2026-02-24,27.834027777777777,,
DP04,PKG_F,RCP_1,CLN_Flow,2026-02-22,36.768055555555556,,
DP04,PKG_F,RCP_2,CLN_Flow,2026-02-23,35.672222222222224,,
DP04,PKG_F,RCP_3,CLN_Flow,2026-02-23,16.147916666666667,,
DP04,PKG_F,RCP_4,CLN_Flow,2026-02-23,35.22430555555555,,
DP04,PKG_F,RCP_5,CLN_Flow,2026-02-19,16.022916666666667,,
DP04,PKG_F,RCP_6,CLN_Flow,2026-02-23,35.5,,
DP04,PKG_F,RCP_7,CLN_Flow,2026-03-08,22.197916666666668,2026-03-22,14.0
DP04,PKG_F,RCP_8,CLN_Flow,2026-02-23,35.264583333333334,,
DP04,PKG_F,RCP_9,CLN_Flow,2026-02-21,28.22361111111111,2026-03-25,32.0
