column,matched_defect,group_key,threshold,n_NG,NG_rate_below,NG_rate_above,risky_direction
Coating_Thickness,Remain_Coat,PKG_A|RCP_5,9.7006,53,0.32,0.02033,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_6,296.97351,45,0.32773,0.00358,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_6,9.719,45,0.17391,0.02316,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_6,0.60005,151,0.01355,0.22059,high_is_risky
Coating_Thickness,Remain_Coat,PKG_A|RCP_6,9.85875,45,0.0627,0.01696,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_7,297.0975,40,0.17969,0.00968,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_7,9.6915,40,0.38462,0.0187,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_7,0.60005,157,0.01124,0.22379,high_is_risky
Coating_Thickness,Remain_Coat,PKG_A|RCP_7,9.7105,40,0.26786,0.01367,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_8,297.28799,39,0.14599,0.01093,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_8,9.7005,39,0.4,0.01877,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_8,0.60005,141,0.01185,0.2069,high_is_risky
Coating_Thickness,Remain_Coat,PKG_A|RCP_8,9.7413,39,0.2069,0.01174,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_9,297.0005,34,0.168,0.0073,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_9,9.7055,34,0.3,0.01634,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_9,0.60005,152,0.01173,0.21815,high_is_risky
Coating_Thickness,Remain_Coat,PKG_A|RCP_9,9.7054,34,0.23529,0.01185,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_1,296.9875,45,0.24638,0.0061,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_1,9.698,45,0.5,0.01871,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_1,0.59945,145,0.0123,0.20125,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_1,9.71145,45,0.10204,0.02113,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_2,297.0,46,0.19492,0.01282,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_2,9.7305,46,0.24242,0.02022,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_2,0.60005,135,0.01015,0.19334,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_2,9.6991,46,0.3617,0.01555,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_3,296.99651,40,0.25833,0.00522,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_3,9.9445,40,0.04139,0.01515,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_3,0.60025,151,0.00967,0.23013,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_3,9.6879,40,0.32258,0.01654,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_4,296.93599,43,0.21951,0.00902,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_4,9.699,43,0.5,0.01862,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_4,0.6002,160,0.01006,0.24338,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_4,9.6951,43,0.21622,0.01883,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_5,296.78349,35,0.21429,0.0082,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_5,9.6995,35,0.4,0.0162,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_5,0.60085,136,0.00754,0.20752,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_5,9.82765,35,0.06696,0.01265,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_6,297.1835,58,0.24667,0.01258,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_6,9.699,58,0.64286,0.02715,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_6,0.6001,169,0.01505,0.24238,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_6,9.71145,58,0.32653,0.02373,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_7,297.026,43,0.19841,0.01071,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_7,9.6955,43,0.5,0.02062,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_7,0.60035,171,0.0094,0.25157,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_7,9.68915,43,0.38462,0.01585,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_8,297.16049,45,0.22727,0.00905,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_8,9.7395,45,0.19444,0.02166,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_8,0.60005,129,0.0132,0.1955,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_8,9.6968,45,0.29268,0.01887,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_9,297.0,49,0.21528,0.01078,low_is_risky
CLN_Flow,Remain_Coat,PKG_B|RCP_9,10.0575,49,0.03049,0.0,low_is_risky
Surface_Roughness,Particle,PKG_B|RCP_9,0.60005,149,0.01598,0.20833,high_is_risky
Coating_Thickness,Remain_Coat,PKG_B|RCP_9,9.71025,49,0.22222,0.02103,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_1,296.98399,40,0.23529,0.0072,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_1,9.9145,40,0.03906,0.01961,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_1,0.59935,137,0.01187,0.20264,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_1,9.70015,40,0.30556,0.01657,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_2,296.9895,41,0.17164,0.01022,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_2,9.6985,41,0.46154,0.01859,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_2,0.60015,129,0.01239,0.18678,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_2,9.6991,41,0.32609,0.01405,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_3,296.9915,39,0.19403,0.0075,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_3,9.727,39,0.24,0.01791,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_3,0.60035,137,0.00876,0.20588,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_3,9.6901,39,0.29412,0.01581,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_4,296.97801,45,0.19403,0.01134,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_4,9.7505,45,0.14815,0.02108,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_4,0.60035,150,0.01393,0.22581,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_4,9.69295,45,0.39474,0.01694,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_5,297.02951,46,0.2197,0.00981,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_5,9.692,46,0.38462,0.02214,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_5,0.60025,137,0.00651,0.20251,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_5,9.6969,46,0.35,0.01753,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_6,296.94901,50,0.24409,0.01151,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_6,9.714,50,0.66667,0.02269,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_6,0.6017,121,0.01384,0.18909,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_6,9.6989,50,0.35294,0.02179,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_7,296.97249,41,0.22059,0.00647,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_7,9.7575,41,0.13636,0.01809,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_7,0.60035,133,0.01057,0.19835,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_7,9.6935,41,0.34615,0.01769,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_8,296.94749,53,0.24771,0.01486,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_8,9.7,53,0.78571,0.02276,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_8,0.60005,139,0.01331,0.20962,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_8,9.7166,53,0.28125,0.0195,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_9,296.9675,37,0.11458,0.01414,low_is_risky
CLN_Flow,Remain_Coat,PKG_C|RCP_9,9.6975,37,0.69231,0.01457,low_is_risky
Surface_Roughness,Particle,PKG_C|RCP_9,0.60035,121,0.00969,0.18212,high_is_risky
Coating_Thickness,Remain_Coat,PKG_C|RCP_9,9.7002,37,0.4186,0.01004,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_1,297.51801,37,0.12371,0.00777,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_1,9.8965,37,0.072,0.01174,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_1,0.59925,130,0.00952,0.19408,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_1,9.7009,37,0.3,0.0121,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_2,296.98401,54,0.22764,0.01574,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_2,9.7,54,0.8,0.02386,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_2,0.59825,139,0.01533,0.20133,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_2,9.68365,54,0.4375,0.02295,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_3,296.95399,44,0.22881,0.00986,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_3,9.7335,44,0.32258,0.01876,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_3,0.60005,152,0.01542,0.21768,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_3,9.7054,44,0.29268,0.01776,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_4,296.77951,31,0.12658,0.01252,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_4,9.699,31,0.46154,0.01434,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_4,0.60025,137,0.00883,0.20385,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_4,9.69505,31,0.39535,0.00817,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_5,297.91051,40,0.11067,0.00756,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_5,9.7,40,0.26667,0.01972,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_5,0.60025,132,0.01065,0.19194,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_5,9.69795,40,0.32609,0.01393,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_6,297.26649,36,0.15862,0.00758,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_6,9.8505,36,0.06395,0.01482,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_6,0.60015,147,0.00724,0.22403,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_6,9.68625,36,0.34375,0.01368,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_7,296.9635,53,0.21277,0.01364,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_7,9.6905,53,0.72727,0.02478,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_7,0.60015,143,0.0145,0.21331,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_7,9.7044,53,0.42424,0.02174,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_8,297.058,36,0.18803,0.00839,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_8,9.897,36,0.06019,0.01465,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_8,0.60005,128,0.00759,0.19833,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_8,9.6973,36,0.24,0.01382,low_is_risky
CLN_Pressure,Remain_Coat,PKG_D|RCP_9,296.972,39,0.17323,0.00966,low_is_risky
CLN_Flow,Remain_Coat,PKG_D|RCP_9,9.705,39,0.57143,0.01655,low_is_risky
Surface_Roughness,Particle,PKG_D|RCP_9,0.6006,134,0.01336,0.19024,high_is_risky
Coating_Thickness,Remain_Coat,PKG_D|RCP_9,9.6997,39,0.40625,0.01402,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_1,298.4185,42,0.0725,0.00887,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_1,9.699,42,0.66667,0.01834,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_1,0.60035,140,0.00786,0.21922,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_1,9.699,42,0.34211,0.01586,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_2,297.103,40,0.19512,0.00921,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_2,9.704,40,0.6,0.01838,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_2,0.60015,142,0.00891,0.20927,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_2,9.7007,40,0.30769,0.01538,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_3,296.9865,41,0.18261,0.01138,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_3,9.9425,41,0.0463,0.01457,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_3,0.60055,161,0.016,0.22632,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_3,9.69325,41,0.51724,0.0141,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_4,296.97549,43,0.20492,0.01012,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_4,9.7595,43,0.16176,0.01747,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_4,0.60015,144,0.01084,0.21346,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_4,9.7112,43,0.26531,0.01621,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_5,296.83551,47,0.21622,0.01333,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_5,9.725,47,0.32,0.02152,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_5,0.6001,142,0.01224,0.20752,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_5,9.7003,47,0.42222,0.01562,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_6,297.123,34,0.15924,0.0054,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_6,9.7015,34,0.5,0.01598,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_6,0.60015,143,0.00822,0.21875,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_6,9.69545,34,0.2,0.0156,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_7,296.9785,40,0.21053,0.00936,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_7,9.7495,40,0.16,0.01804,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_7,0.60015,142,0.01147,0.21227,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_7,9.69565,40,0.26829,0.01626,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_8,297.0515,51,0.24476,0.00882,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_8,9.697,51,0.6,0.02311,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_8,0.6,172,0.01875,0.21861,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_8,9.6979,51,0.33333,0.01833,low_is_risky
CLN_Pressure,Remain_Coat,PKG_E|RCP_9,296.99249,44,0.25581,0.00636,low_is_risky
CLN_Flow,Remain_Coat,PKG_E|RCP_9,9.698,44,0.5,0.01953,low_is_risky
Surface_Roughness,Particle,PKG_E|RCP_9,0.60025,135,0.01475,0.1831,high_is_risky
Coating_Thickness,Remain_Coat,PKG_E|RCP_9,9.65685,44,0.30769,0.02167,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_1,296.996,47,0.2,0.01005,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_1,9.6995,47,0.375,0.02135,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_1,0.60035,154,0.01676,0.21188,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_1,9.70885,47,0.3125,0.01695,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_2,296.98849,47,0.22963,0.00923,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_2,10.0605,47,0.0277,0.0,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_2,0.60015,149,0.01121,0.21809,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_2,9.6996,47,0.32143,0.016,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_3,296.9895,35,0.17742,0.00764,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_3,9.6985,35,0.36364,0.01708,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_3,0.60015,126,0.01211,0.1891,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_3,9.79845,35,0.09639,0.01145,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_4,296.9915,40,0.15603,0.00992,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_4,9.9095,40,0.03717,0.01779,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_4,0.60045,149,0.015,0.2074,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_4,9.69685,40,0.34,0.01207,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_5,297.0305,51,0.20472,0.01439,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_5,9.6975,51,0.75,0.0211,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_5,0.60015,164,0.01461,0.23101,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_5,9.69645,51,0.29412,0.01986,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_6,296.991,42,0.19658,0.01083,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_6,9.6995,42,0.5,0.0178,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_6,0.60035,154,0.01066,0.21593,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_6,9.69875,42,0.29268,0.01638,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_7,296.98401,42,0.20968,0.00932,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_7,9.7005,42,0.46154,0.01969,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_7,0.60025,141,0.01317,0.19968,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_7,9.72515,42,0.22,0.01731,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_8,296.98851,41,0.16794,0.01089,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_8,9.7315,41,0.15625,0.01953,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_8,0.60025,128,0.01016,0.19328,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_8,9.69995,41,0.34043,0.01368,low_is_risky
CLN_Pressure,Remain_Coat,PKG_F|RCP_9,296.998,52,0.26316,0.01023,low_is_risky
CLN_Flow,Remain_Coat,PKG_F|RCP_9,9.711,52,0.5,0.02528,low_is_risky
Surface_Roughness,Particle,PKG_F|RCP_9,0.59955,158,0.01607,0.22712,high_is_risky
Coating_Thickness,Remain_Coat,PKG_F|RCP_9,9.6857,52,0.23077,0.0245,low_is_risky
